receiver_type,drift_pc_1_mean,drift_pc_2_mean
Ex,-0.452418386206932,0.3457087703868833
EX-NP1,-0.8831502782564913,-0.4892633561258272
EX-NP2,-2.191390024762629,-1.0911509153571142
RG,-0.7773338859678833,-0.6646583317533168
Inh-NP,-0.0785027255614027,0.0277188574237856
Inh1,-0.0335258406154041,0.1267454936250269
Inh2,-0.1405272502144463,0.0439767102674868
Inh3,-0.1269996282122119,0.0712144046497286
Inh4,-0.1219200861814895,0.1406854336659306
