pathway,summed_S,n_positive_pairs,share_pct,display_rank
PTN,0.0237166334275717,56,59.34256202082807,1
MK,0.004014549808633,52,10.045003719944283,2
GRN,0.0024095412485628,56,6.029032384434096,3
MIF,0.0021374568095326,38,5.348236446538414,4
NT,0.0020895569314578,52,5.228383791475821,5
ENHO,0.0016790809445017,51,4.201311513768687,6
VISFATIN,0.0007064966962661,56,1.7677603418595238,7
KIT,0.0006131654068931,44,1.5342315045979475,8
