time,space,n_predicted_full,n_observed_full,predicted_mass_full,observed_mass_relative_full,tmv_absolute_full,tmv_full,w1_full,w2_full,ot_predicted_points_full,ot_observed_points_full,predicted_nn_median_full,observed_nn_median_full,nn_dispersion_ratio_full,support_recall_at_observed_q95_full,support_precision_at_observed_q95_full,clump_fraction_at_0_1_observed_nn_full,structure_predicted_points_full,structure_observed_points_full,n_predicted_no_interaction,n_observed_no_interaction,predicted_mass_no_interaction,observed_mass_relative_no_interaction,tmv_absolute_no_interaction,tmv_no_interaction,w1_no_interaction,w2_no_interaction,ot_predicted_points_no_interaction,ot_observed_points_no_interaction,predicted_nn_median_no_interaction,observed_nn_median_no_interaction,nn_dispersion_ratio_no_interaction,support_recall_at_observed_q95_no_interaction,support_precision_at_observed_q95_no_interaction,clump_fraction_at_0_1_observed_nn_no_interaction,structure_predicted_points_no_interaction,structure_observed_points_no_interaction,w1_delta_no_interaction_minus_full,w1_relative_change,w2_delta_no_interaction_minus_full,w2_relative_change,tmv_delta_no_interaction_minus_full,tmv_relative_change
1.0,pca,2048,14985,3.1311992796254344,3.230918499353169,0.099719219727735,0.0308640467866022,7.121829865718135,7.293011249998125,1024,1024,5.445996807091307,5.789698286468392,0.9406356838696794,0.93994140625,0.943359375,0.0,2048,2048,2048,14985,3.125811841295217,3.230918499353169,0.1051066580579522,0.0325315101817005,7.365845780258938,7.57364221868329,1024,1024,5.373465332781297,5.789698286468392,0.9281080061356722,0.91748046875,0.92529296875,0.0,2048,2048,0.2440159145408023,0.0342630923711622,0.2806309686851644,0.0384794372400339,0.0016674633950983,0.054026077870713
2.0,pca,2048,29679,6.201762455428252,6.399094437257439,0.197331981829187,0.030837485485487,7.396259097670511,7.54285104443429,1024,1024,5.921806520438997,6.019713114883733,0.9837356710234808,0.91357421875,0.91259765625,0.0,2048,2048,2048,29679,6.074466397541983,6.399094437257439,0.3246280397154564,0.0507303092489735,7.654346218923616,7.843379075271445,1024,1024,5.753694631817613,6.019713114883733,0.9558087772640876,0.86181640625,0.8662109375,0.0,2048,2048,0.258087121253105,0.034894278018788,0.3005280308371549,0.0398427635739815,0.0198928237634865,0.6450857925121241
