metric,full,no_interaction,delta_no_interaction_minus_full,relative_change,higher_is_better
tv_agreement,0.471617046630122,0.465867384539658,-0.0057496620904639,-0.0121913788561024,True
js_similarity,0.5359076344381789,0.5284835920512703,-0.0074240423869086,-0.0138532125870751,True
dominant_fate_match,0.4971705739692805,0.4858528698464026,-0.0113177041228779,-0.0227642276422763,True
