node,n_available,n_used,top_n_y_rule_applied,centroid_x,centroid_y
Brain,17071,17071,False,-0.07939752589573632,3.574533124012472
Choroid plexus,1974,1974,False,-0.6395786144330026,3.7071604066223602
Meninges,11866,11866,False,0.4832551322555749,3.076841116085907
