"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","query_id","query_symbol_count","query_mapped_symbol_count","query_entrez_count","background_symbol_count","background_mapped_symbol_count","background_entrez_count","clusterprofiler_pool","multiple_testing_scope"
"BP","GO:0051963","regulation of synapse assembly","11/210","28/1569",0.00051066322672028,0.0146423832136825,0.012464546920051,"Epha7/Nrxn1/Ntrk1/Snca/Lingo2/Lrrtm4/Mdga2/Negr1/Il1rapl1/Flrt2/Il1rapl2",11,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0005604","basement membrane","9/210","20/1569",0.000516299015843344,0.0146588426459051,0.0124785582570187,"Alb/Lama2/Lama3/Lama5/Matn2/Itgb4/Sparc/Trf/Ush2a",9,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0050954","sensory perception of mechanical stimulus","10/210","24/1569",0.0005317841521828,0.0149519116963242,0.0127280376536752,"Cdh1/Col11a1/Col11a2/Col1a1/Jag2/Ntrk1/Ush2a/Cntn5/Piezo2/Myh14",10,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0034220","monoatomic ion transmembrane transport","21/210","76/1569",0.00056047688273597,0.0156071255038786,0.0132857981717373,"Pcsk9/Grm5/Cacna2d3/Dpp6/Kcnd2/Kcns1/Pkd1/Rgs4/Slc4a1/Snca/Gabrp/Trf/Trpv2/Trpm3/Kcnq5/Kel/Nalcn/Slc25a37/Kcnip4/Atp1a2/Kcnb2",21,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","7/210","13/1569",0.000587970360785951,0.0160637940078879,0.0136745440413177,"Cdh1/Dsc2/Ptprm/Cadm2/Cntn5/Robo2/Kirrel3",7,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"MF","GO:0005178","integrin binding","7/210","13/1569",0.000587970360785951,0.0160637940078879,0.0136745440413177,"Itga9/Col3a1/Ibsp/Igf2/Lama3/Lama5/Itgb4",7,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"MF","GO:0008324","monoatomic cation transmembrane transporter activity","14/210","42/1569",0.000643556172284521,0.0174181184573455,0.0148274329118578,"Cacna2d3/Cpox/Kcnd2/Kcns1/Pkd1/Trpv2/Trpm3/Kcnq5/Nalcn/Piezo2/Slc25a37/Kcnip4/Atp1a2/Kcnb2",14,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"MF","GO:0005518","collagen binding","5/210","7/1569",0.000686803325728725,0.0179436249027444,0.0152747781049096,"Itga9/Dcn/Sparc/Ush2a/Col6a4",5,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0032963","collagen metabolic process","5/210","7/1569",0.000686803325728725,0.0179436249027444,0.0152747781049096,"Col1a1/Col1a2/Serpinf2/Adamts2/Tgfbr3",5,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0007010","cytoskeleton organization","32/210","138/1569",0.000689531951010382,0.0179436249027444,0.0152747781049096,"Mybpc1/Dsp/Krt5/Acta1/Cdh1/Eln/Gja1/Krt14/Krt15/Krt17/Krt19/Krt4/Krt6a/Anxa1/Mapt/Myh11/Nefl/Nefm/Pkd1/Serpinf2/Ppl/Prph/Rgs4/S100a9/Snca/Tnnt3/Trf/Rhov/Iqsec3/Tacstd2/Myh14/Nebl",32,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0044291","cell-cell contact zone","6/210","10/1569",0.00070673318294066,0.0179436249027444,0.0152747781049096,"Dsp/Dsc2/Gja1/Slc4a1/Ctnna3/Atp1a2",6,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
