,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0
FZD10,0.008785389,0.01022927,0.011086223,0.009457184,0.008640775,0.009283891,0.011850652,0.013729365,0.011961157
TMEM132B,0.02438258,0.027624778,0.028836986,0.023727352,0.02170535,0.03794398,0.048245944,0.04183853,0.03135426
ZNF268,0.010140846,0.012041861,0.013618581,0.011253051,0.010309863,0.0127713345,0.016326658,0.015516171,0.013449247
DNAI1,0.009310687,0.011109116,0.012278364,0.011587961,0.010384904,0.0141495615,0.015524272,0.013085106,0.010020231
PUS1,0.01000439,0.01143934,0.013588964,0.011454367,0.011639136,0.018790485,0.023884898,0.018157218,0.012975226
GP1BB[nr] | AMEX60DD000145,0.008302081,0.007786263,0.0075850626,0.0071594594,0.0074268216,0.010394974,0.0120002385,0.009625808,0.0070863958
AMEX60DD000156,0.015275376,0.0184302,0.01928137,0.016522342,0.012032203,0.01501353,0.017725306,0.016998496,0.016677136
TANGO2,0.055958103,0.0698497,0.0755652,0.06959638,0.055960495,0.058145512,0.06410939,0.06518035,0.06453518
GOLGA3,0.011403579,0.014812786,0.01545605,0.014243572,0.0091401,0.009264744,0.009224646,0.009342184,0.010021322
TOP3B,0.049259853,0.056862388,0.06327346,0.05655159,0.0527776,0.056291394,0.066566184,0.066359565,0.06293507
nan | AMEX60DD000274,0.036387775,0.030719128,0.038684588,0.04712692,0.092887655,0.0999178,0.11205091,0.10276963,0.08469728
GGT5,0.00397365,0.0033208341,0.0035697103,0.004305899,0.0063810865,0.011163897,0.011014403,0.0069615967,0.0027580555
GUCD1,0.0132404035,0.014508029,0.015170464,0.012831572,0.010595241,0.010867269,0.014203618,0.015708487,0.016029004
AMEX60DD000447,0.0019637751,0.0018760149,0.00184265,0.0019385542,0.0023175064,0.0021941646,0.0020463152,0.0018033566,0.0013907842
GATC,0.05048719,0.06143975,0.067635424,0.054403786,0.043152556,0.059091818,0.07824693,0.0728129,0.061351236
AMEX60DD000513,0.03399325,0.036124337,0.036764495,0.030823248,0.026133839,0.044345383,0.05428018,0.044460755,0.03389166
PXN,0.037214704,0.04133356,0.04758192,0.04435699,0.047027905,0.0781894,0.087540045,0.064822994,0.040908057
CCDC92,0.076623045,0.08477659,0.085087806,0.07324491,0.05550379,0.06754615,0.079728626,0.07801837,0.07444048
EIF2B1,0.0683231,0.07246765,0.07557858,0.066485554,0.05950049,0.06662099,0.07833119,0.07648238,0.07548293
