gene,variance,cluster
LOC115072993[nr] | AMEX60DD005903,0.001202052691951394,2
CRABP2,0.0012012989027425647,2
SULF2,0.0011746995151042938,2
BAIAP3,0.0011715780710801482,2
COL6A1,0.0011684407945722342,2
FGFBP3,0.0011650172527879477,2
CSMD2,0.0011647514766082168,1
MYT1L,0.0011611796217039227,1
DAD1,0.0011460724053904414,2
FOXP1,0.0011338966432958841,2
PLPPR3,0.0011324954684823751,2
HID1,0.0011002321261912584,2
FOSL2,0.0010956634068861604,1
LRRTM1,0.001086335047148168,2
GRIN2B,0.001079886918887496,1
ST6GALNAC6,0.0010732165537774563,2
BHMT,0.0010723838349804282,2
LAMP5,0.00106227514334023,1
NPY,0.0010479161283001304,1
KRTCAP2,0.0010367630748078227,2
CA14,0.0010359202278777957,2
PMEPA1,0.001035819761455059,2
CDH2,0.0010275945533066988,1
BCAN,0.0010251938365399837,2
PAX6,0.001020833384245634,1
MFAP2,0.0010138485813513398,2
CCND1,0.0010113617172464728,2
NEFM,0.0010087346890941262,2
FSTL4,0.001005860511213541,1
NPPC,0.0010023312643170357,1
NTRK3,0.0009928642539307475,1
NCOA4,0.0009879571152850986,2
CD9,0.0009846922475844622,2
NEGR1,0.0009771676268428564,1
CNKSR2,0.0009623469086363912,1
RALYL,0.0009605434606783092,1
nan | AMEX60DD000274,0.0009586496162228286,2
HBE1__2,0.000958311662543565,2
MMP2__2,0.0009197410545311868,2
MCHR2,0.0009054088732227683,1
TENM2,0.0008881077519617975,2
GRN,0.0008876403444446623,2
PABPN1,0.0008736235904507339,2
SWAP70,0.0008706885855644941,1
NTSR1,0.0008558305562473834,1
MCM3,0.0008276606095023453,2
LOC108699649[nr] | AMEX60DD014991,0.0008177352137863636,2
SLC16A1,0.000814247177913785,2
SELENOH,0.0008108275360427797,2
nan | AMEX60DD016350,0.0008096578530967236,2
BGN,0.0008014453342184424,2
EPHA3,0.000798201363068074,1
COL6A2,0.0007933890447020531,2
LFNG,0.0007905326201580465,2
GJA1,0.000784536823630333,1
ETS2,0.0007843566709198058,1
NLGN3,0.0007827419321984053,1
TMEM167A,0.0007776884012855589,2
TSHZ1,0.0007695091771893203,1
ANXA4,0.0007654906366951764,2
PLXNA3,0.0007509546121582389,1
GPR37L1,0.0007492157747037709,2
LRFN1,0.0007439362234435976,1
NLGN2,0.0007432008278556168,1
NRN1,0.0007388463709503412,2
AMEX60DD041525,0.0007367973448708653,1
NMB,0.0007347623468376696,1
CBLN2,0.0007144671399146318,1
CACNA1E,0.0007076431647874415,1
OLFM2,0.0007070758147165179,2
CYP7B1,0.0006966163637116551,1
CHSY3,0.0006961385952308774,1
AEBP1,0.0006951651885174215,2
AMEX60DDU001038372,0.0006949774106033146,2
TMCC2,0.0006939296144992113,1
AMEX60DD053544,0.0006918228464201093,1
SFRP1,0.00068914849543944,1
ASIC2,0.0006863399758003652,2
PLXNA1,0.0006840357091277838,2
