,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0
FZD10,0.008577711,0.010130969,0.010935184,0.009242988,0.008272737,0.008949753,0.011648753,0.013682211,0.011857777
TMEM132B,0.023796277,0.027335566,0.028241022,0.023117555,0.020563317,0.03783841,0.0482336,0.04179309,0.031154003
ZNF268,0.0100655565,0.012014418,0.013564898,0.01119392,0.010159313,0.012732305,0.016317753,0.015511175,0.013418831
DNAI1,0.00921852,0.011076495,0.012229654,0.011557982,0.010294806,0.014138821,0.015511341,0.013060915,0.009895454
PUS1,0.009677863,0.011246682,0.013390007,0.011249178,0.011439007,0.018730206,0.023883149,0.018129623,0.012838894
GP1BB[nr] | AMEX60DD000145,0.00810621,0.0075653703,0.00725638,0.0069115334,0.007131595,0.010343276,0.0119491005,0.0095454855,0.0068254746
AMEX60DD000156,0.015085705,0.018385714,0.019206326,0.016430842,0.011709114,0.014728586,0.017661022,0.016886828,0.016604045
TANGO2,0.05595431,0.0698497,0.07556402,0.06959638,0.05595139,0.058139663,0.06409926,0.065178774,0.06453239
GOLGA3,0.0113566425,0.014807429,0.015443595,0.014227526,0.008991026,0.009101713,0.009016832,0.0091805365,0.009921997
TOP3B,0.04924416,0.05686068,0.06324903,0.056548133,0.052759565,0.056284066,0.06656215,0.066359565,0.06293177
nan | AMEX60DD000274,0.032653157,0.02514315,0.035607435,0.04475573,0.092708506,0.099882506,0.112016894,0.10276314,0.08464626
GGT5,0.0035841302,0.0026974874,0.0031216259,0.003942861,0.006146702,0.011161893,0.010997754,0.006865565,0.0020949172
GUCD1,0.013220281,0.014498988,0.015152612,0.012792237,0.010448186,0.0107582025,0.014104163,0.015702197,0.016022762
AMEX60DD000447,0.0018027406,0.001717977,0.0017461631,0.0018278642,0.0022063758,0.0021415113,0.0019654117,0.0017104141,0.0012396572
GATC,0.05046734,0.061439633,0.06762215,0.054373372,0.042891093,0.059046835,0.0782436,0.0728129,0.061343584
AMEX60DD000513,0.033925045,0.0360855,0.03666079,0.03066809,0.025800519,0.04429236,0.054280177,0.044446554,0.033768564
PXN,0.03716039,0.04131227,0.04753428,0.04434537,0.047008775,0.0781894,0.087540045,0.06481981,0.04083796
