cluster,time,mean,std,n_profiles
1,0.0,0.5532802099901349,0.9569426277688594,104
1,0.5,0.7919453926838433,0.559136122983651,104
1,1.0,0.7193824640593406,0.6368674707671456,104
1,1.5,0.2567773008950034,0.6710466596906968,104
1,2.0,-0.7016344251857666,0.7337104553944458,104
1,2.5,-0.9108208158355517,0.5024856614617078,104
1,3.0,-0.8626173747672394,0.6973498723685839,104
1,3.5,-0.16361656020695892,0.94811222710618,104
1,4.0,0.3173038083671943,1.0146422239958222,104
2,0.0,-0.7975431844412917,0.6432087464724363,146
2,0.5,-0.6252714640377129,0.4926845052175016,146
2,1.0,-0.36605253752797984,0.5368141520138474,146
2,1.5,-0.543057519896261,0.5007410568490163,146
2,2.0,-0.36342602874533037,1.0793998970429743,146
2,2.5,0.7011264735256146,0.7739849451318042,146
2,3.0,1.3421184408806521,0.6268679580330961,146
2,3.5,0.7538400492100752,0.726954992271925,146
2,4.0,-0.10173422896776582,0.8121211477770651,146
