dataset,n_scored_pairs,n_multisubunit_pairs,global_spearman,global_pearson,min_per_time_spearman,min_top10_jaccard,max_symmetric_relative_difference,primary_reproduction_max_abs_error,status
Zebrafish,1832,973,0.998558096968551,0.999948850487228,0.954636383167269,1.0,0.959262648372808,3.552713678800501e-15,completed
MOSTA,1757,887,0.985880444142207,0.992167597104337,0.983058612295019,1.0,0.956125432967142,4.547473508864641e-13,completed
ARISTA,530,293,0.961117944161558,0.997407725678706,0.951494615493979,0.818181818181818,0.957819961971273,1.06581410364015e-14,completed
Chicken Heart,745,386,0.977058616952474,0.97377354253145,0.957706951340703,0.428571428571429,0.958971214396242,4.547473508864641e-13,completed
AD mouse,7,0,1.0,1.0,1.0,1.0,0.0,,mathematically_invariant_no_multisubunit_pair
