pair_id,pearson,rmsd
"[""Adcyap1"",""Adcyap1r1""]",0.9996115948288327,0.008903801971723666
"[""Adgre5"",""Cd55b""]",0.9999781141868204,0.0031400743115422222
"[""Adipoq"",""Adipor1""]",0.9999312536310684,0.004120820267687135
"[""Adipoq"",""Adipor2""]",0.9999647559847119,0.0031714191259921663
"[""Adm"",""Calcr""]",0.99777566852478,0.028714543734812817
"[""Adm"",""Calcrl""]",0.9982971912869185,0.02248171014514184
"[""Agrn"",""Dag1""]",0.9993524315909291,0.014118052352043145
"[""Agt"",""Agtr1a""]",0.9959127312373877,0.03563608434283866
"[""Agt"",""Agtr1b""]",0.9938214286461761,0.044002208849121996
"[""Agt"",""Mas1""]",0.9969807809496518,0.029220432773811585
"[""Alcam"",""Cd6""]",0.9997465268393038,0.00845061080612381
"[""Amh"",""Amhr2_Acvr1""]",0.9998959994018508,0.005283559023602504
"[""Amh"",""Amhr2_Bmpr1a""]",0.9998959994018508,0.005283559023602504
"[""Angpt1"",""Tek""]",0.9984597242967415,0.021436348497821056
"[""Angpt2"",""Itga5_Itgb1""]",0.9997266628652147,0.008830546199042106
"[""Angpt2"",""Tek""]",0.9987686936106193,0.01939381006817119
"[""Angptl1"",""Itga1_Itgb1""]",0.9999857664789931,0.0018417980674084147
"[""Angptl1"",""Pirb""]",0.9999179352658623,0.00583333372560873
"[""Angptl2"",""Itga5_Itgb1""]",0.9997553770034456,0.00811510387624471
"[""Angptl2"",""Pirb""]",0.9995517519218517,0.011184809985559723
"[""Angptl2"",""Tlr4""]",0.9991280169678882,0.01608194988111537
"[""Angptl3"",""Itgav_Itgb3""]",0.9985079566532746,0.024841115576907814
"[""Angptl4"",""Cdh11""]",0.9995594688953647,0.010790077235429636
"[""Angptl4"",""Cdh5""]",0.9988527406189216,0.018393434933241956
"[""Angptl4"",""Itga5_Itgb1""]",0.9996027960930619,0.010498565618902654
"[""Angptl4"",""Itgav_Itgb3""]",0.9989021906683839,0.017595443029343488
"[""Angptl4"",""Sdc1""]",0.9995211523962206,0.011594889113871503
"[""Angptl4"",""Sdc2""]",0.9995625241770353,0.01096223903482147
"[""Angptl4"",""Sdc3""]",0.9991583002087705,0.018435944934538796
"[""Angptl4"",""Sdc4""]",0.9986100262792748,0.02116404085034937
"[""Angptl7"",""Pirb""]",0.9993103764756616,0.013236452110553484
"[""Anxa1"",""Fpr1""]",0.9971583359241265,0.046697248617082805
"[""Anxa1"",""Fpr2""]",0.9879922712654094,0.08938502224930109
"[""Anxa1"",""Fpr2_Fpr3""]",0.9879922712654094,0.08938502224930109
"[""Apela"",""Aplnr""]",0.9995223938238731,0.0117903625961424
"[""Apln"",""Aplnr""]",0.9996903959793001,0.00960187370487925
"[""App"",""Cd74""]",0.9995197721324675,0.012803797523088668
"[""Areg"",""Egfr""]",0.999949840828261,0.0035384963349958274
"[""Areg"",""Egfr_Erbb2""]",0.9996764106172992,0.010823426350057045
"[""Artn"",""Gfra1_Ret""]",0.9979318657410652,0.03707263856063895
"[""Artn"",""Gfra3_Ret""]",0.9997433634677358,0.009123243766792567
"[""Avp"",""Avpr1a""]",0.9987222500734075,0.020068849077746708
"[""Bdnf"",""Ntrk2""]",0.9999845886225354,0.003432635621164748
"[""Bmp10"",""Acvrl1_Acvr2a""]",0.9875587043216699,0.06189215830071732
"[""Bmp10"",""Acvrl1_Bmpr2""]",0.9875587043216699,0.06189215830071732
"[""Bmp2"",""Bmpr1a_Acvr2a""]",0.9997629432636785,0.008030800323218923
"[""Bmp2"",""Bmpr1a_Acvr2b""]",0.9997769191974363,0.007794027057046305
"[""Bmp2"",""Bmpr1a_Bmpr2""]",0.9996045986563057,0.010400640706357775
"[""Bmp2"",""Bmpr1b_Acvr2a""]",0.9998526055166456,0.006404634026456013
"[""Bmp2"",""Bmpr1b_Acvr2b""]",0.999779760947401,0.0077873516192822605
"[""Bmp2"",""Bmpr1b_Bmpr2""]",0.9999421428955996,0.003837281003302427
"[""Bmp4"",""Bmpr1a_Acvr2a""]",0.9999482113758296,0.003675284972700757
"[""Bmp4"",""Bmpr1a_Acvr2b""]",0.9999449271671889,0.0037609946007788097
"[""Bmp4"",""Bmpr1a_Bmpr2""]",0.9998836892138987,0.005477569715848176
"[""Bmp4"",""Bmpr1b_Acvr2a""]",0.9999652604032034,0.0029835118733958343
"[""Bmp4"",""Bmpr1b_Acvr2b""]",0.9999465511891208,0.0037026868969595107
"[""Bmp4"",""Bmpr1b_Bmpr2""]",0.9999871309629937,0.0017863204401184795
"[""Bmp5"",""Acvr1_Acvr2a""]",0.9999399308621456,0.003910845538633256
"[""Bmp5"",""Acvr1_Acvr2b""]",0.999984051769058,0.002034535729259025
"[""Bmp5"",""Acvr1_Bmpr2""]",0.999936603362468,0.004015102763356432
"[""Bmp5"",""Bmpr1a_Acvr2a""]",0.9999849916176635,0.002030415390597207
"[""Bmp5"",""Bmpr1a_Acvr2b""]",0.9999803681308201,0.0022575708954014444
"[""Bmp5"",""Bmpr1a_Bmpr2""]",0.9999368476975894,0.0040241417791041295
"[""Bmp5"",""Bmpr1b_Acvr2a""]",0.9999907191869882,0.0015812639591435515
"[""Bmp5"",""Bmpr1b_Acvr2b""]",0.9999811185901476,0.0021949456996963566
"[""Bmp5"",""Bmpr1b_Bmpr2""]",0.9999955408990691,0.0010698884367342006
"[""Bmp6"",""Acvr1_Acvr2a""]",0.9995064495565704,0.011726517070100008
"[""Bmp6"",""Acvr1_Acvr2b""]",0.9996195403603041,0.010307117758676277
"[""Bmp6"",""Acvr1_Bmpr2""]",0.9995073668269769,0.01167153741767632
"[""Bmp6"",""Bmpr1a_Acvr2a""]",0.9995516538890985,0.011160549291371192
"[""Bmp6"",""Bmpr1a_Acvr2b""]",0.9995710692033751,0.010942909183532088
"[""Bmp6"",""Bmpr1a_Bmpr2""]",0.999489990245107,0.011974885198098908
"[""Bmp6"",""Bmpr1b_Acvr2a""]",0.9997202125325813,0.009088561401543904
"[""Bmp6"",""Bmpr1b_Acvr2b""]",0.9995825018616876,0.010930905929270656
"[""Bmp6"",""Bmpr1b_Bmpr2""]",0.9998957197104753,0.005305218010292498
"[""Bmp7"",""Acvr1_Acvr2a""]",0.9994873620534913,0.01193289703105539
"[""Bmp7"",""Acvr1_Acvr2b""]",0.9996705353917509,0.009550184569710714
"[""Bmp7"",""Acvr1_Bmpr2""]",0.9994663031722185,0.012146086590159704
"[""Bmp7"",""Bmpr1a_Acvr2a""]",0.9996162896193899,0.010288393599062423
