seed,time,cell_type,n_available,n_sampled
44,0.0,Brain,11397,2692
44,0.0,Cartilage primordium,3830,950
44,0.0,Cavity,6527,1583
44,0.0,Choroid plexus,432,104
44,0.0,Connective tissue,2567,628
44,0.0,Dorsal root ganglion,1330,311
44,0.0,Epidermis,1180,302
44,0.0,GI tract,1461,339
44,0.0,Heart,1541,389
44,0.0,Jaw and tooth,2587,603
44,0.0,Kidney,266,53
44,0.0,Liver,1391,312
44,0.0,Lung primordium,580,158
44,0.0,Meninges,4868,1186
44,0.0,Mesentery,778,170
44,0.0,Mesothelium,579,124
44,0.0,Mucosal epithelium,554,134
44,0.0,Muscle,5285,1248
44,0.0,Ovary,322,80
44,0.0,Pancreas,44,8
44,0.0,Sympathetic nerve,162,50
44,0.0,Urogenital ridge,895,221
44,0.5,Blood vessel,1272,255
44,0.5,Brain,15055,2922
44,0.5,Cartilage primordium,3705,677
44,0.5,Cavity,7998,1547
44,0.5,Choroid plexus,292,49
44,0.5,Connective tissue,2936,527
44,0.5,Dorsal root ganglion,1647,329
44,0.5,Epidermis,1842,344
44,0.5,GI tract,2408,451
44,0.5,Heart,2056,366
44,0.5,Jaw and tooth,3643,678
44,0.5,Kidney,371,68
44,0.5,Liver,2223,430
44,0.5,Lung,26,3
44,0.5,Lung primordium,606,127
44,0.5,Meninges,4791,893
44,0.5,Mesentery,654,126
44,0.5,Mesothelium,838,145
44,0.5,Mucosal epithelium,665,129
44,0.5,Muscle,9335,1745
44,0.5,Ovary,384,69
44,0.5,Pancreas,8,1
44,0.5,Spinal cord,13,3
44,0.5,Sympathetic nerve,208,48
44,0.5,Urogenital ridge,318,68
44,1.0,Adipose tissue,1,1
44,1.0,Blood vessel,1,1
44,1.0,Brain,18429,2931
44,1.0,Cartilage primordium,3257,514
44,1.0,Cavity,11792,1849
44,1.0,Choroid plexus,219,34
44,1.0,Connective tissue,4506,742
44,1.0,Dorsal root ganglion,2028,332
44,1.0,Epidermis,3781,574
44,1.0,GI tract,3059,489
44,1.0,Heart,2205,368
44,1.0,Jaw and tooth,4821,767
44,1.0,Kidney,312,46
44,1.0,Liver,3257,515
44,1.0,Lung,818,127
44,1.0,Meninges,4330,665
44,1.0,Mesentery,268,34
44,1.0,Mesothelium,371,53
44,1.0,Mucosal epithelium,545,84
44,1.0,Muscle,11384,1778
44,1.0,Ovary,101,11
44,1.0,Pancreas,38,4
44,1.0,Smooth muscle,8,0
44,1.0,Spinal cord,368,56
44,1.0,Sympathetic nerve,124,25
44,1.5,Adipose tissue,121,19
44,1.5,Blood vessel,11,1
44,1.5,Brain,21568,2989
44,1.5,Cartilage,2,0
44,1.5,Cartilage primordium,3454,468
44,1.5,Cavity,13504,1896
44,1.5,Choroid plexus,150,23
44,1.5,Connective tissue,9045,1244
44,1.5,Dorsal root ganglion,2278,321
44,1.5,Epidermis,4320,590
44,1.5,GI tract,2710,346
44,1.5,Heart,2598,381
44,1.5,Jaw and tooth,5877,778
44,1.5,Kidney,243,33
44,1.5,Liver,4223,604
44,1.5,Lung,1273,169
44,1.5,Meninges,4111,601
44,1.5,Mesentery,173,16
44,1.5,Mesothelium,92,13
44,1.5,Mucosal epithelium,423,67
44,1.5,Muscle,7786,1091
44,1.5,Ovary,3,0
44,1.5,Pancreas,87,10
44,1.5,Smooth muscle,98,12
44,1.5,Spinal cord,2418,316
44,1.5,Sympathetic nerve,75,12
44,2.0,Adipose tissue,550,71
44,2.0,Adrenal gland,12,1
44,2.0,Blood vessel,15,3
44,2.0,Brain,24684,3114
44,2.0,Cartilage,25,0
44,2.0,Cartilage primordium,3503,429
44,2.0,Cavity,12080,1555
44,2.0,Choroid plexus,111,11
44,2.0,Connective tissue,15873,2003
44,2.0,Dorsal root ganglion,2385,300
44,2.0,Epidermis,3557,458
44,2.0,Facial nerve,20,3
44,2.0,GI tract,1504,200
44,2.0,Heart,3430,390
44,2.0,Inner ear,1,0
44,2.0,Jaw and tooth,6364,848
44,2.0,Kidney,214,29
44,2.0,Liver,5026,635
44,2.0,Lung,1511,174
44,2.0,Meninges,4110,523
44,2.0,Mesentery,37,5
44,2.0,Mesothelium,49,7
44,2.0,Mucosal epithelium,388,51
44,2.0,Muscle,3510,401
44,2.0,Pancreas,76,10
44,2.0,Smooth muscle,566,76
44,2.0,Spinal cord,5272,700
44,2.0,Sympathetic nerve,24,3
44,2.5,Adipose tissue,1035,118
44,2.5,Adrenal gland,34,3
44,2.5,Blood vessel,97,11
44,2.5,Brain,26952,3266
44,2.5,Cartilage,254,25
44,2.5,Cartilage primordium,2604,324
44,2.5,Cavity,11798,1400
44,2.5,Choroid plexus,264,40
44,2.5,Connective tissue,19612,2280
44,2.5,Dorsal root ganglion,2287,272
44,2.5,Epidermis,2940,347
44,2.5,Facial nerve,23,4
44,2.5,GI tract,792,85
44,2.5,Heart,4121,538
44,2.5,Inner ear,22,2
