time,pair_id,ligand,receptor,pair,sender_type,receiver_type,ligand_mean,receptor_mean,communication_weight,lr_score,sender_expression_supported,receiver_expression_supported,expression_supported_edge,expression_source
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Cavity,0.004046232905238867,0.09909687936306,0.0740160093429031,2.9678129253392565e-05,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Choroid plexus,0.004046232905238867,0.06811472028493881,0.1041603114496342,2.8707417466623812e-05,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Connective tissue,0.004046232905238867,0.19814270734786987,0.0,0.0,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Dorsal root ganglion,0.004046232905238867,0.1345275193452835,0.011344956689698,6.1753965927279474e-06,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Epidermis,0.004046232905238867,0.20572710037231445,0.0003062661661243,2.549420094280217e-07,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,GI tract,0.004046232905238867,0.21195538341999054,0.0022226750462794,1.9062124554324652e-06,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Heart,0.004046232905238867,0.08417846262454987,0.0,0.0,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Jaw and tooth,0.004046232905238867,0.2186741679906845,0.0,0.0,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Kidney,0.004046232905238867,0.22017186880111694,0.0,0.0,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Liver,0.004046232905238867,0.044163767248392105,0.0,0.0,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Lung primordium,0.004046232905238867,0.2471616268157959,0.0016283704298437,1.6284901270134827e-06,True,True,True,observed
