gene
krt4
apoa2
apobb.1
cyt1
apoa1b
hspb1
apoa1a
apoc1
krt5
bhmt
ctsll
gpx4a
gatm
snrpb
fabp1b.1
tfa
apoeb
apoa4b.1
rps5
si:ch211-152c2.3
pla2g12b
fabp2
nbn
glula
id1
si:dkey-238d18.15
CR383676.2
pvalb9
rpl19
apoba
rps13
ctss2.1
actc1b
ctsc
anxa1a
hmgn2
npc2
zgc:174153
vox
sdc4
AL935186.2
anxa1c
apoc2
epcam
cst3
he1.1
ak3
s100a1
ponzr5
ifi30
tagln2
zgc:136410
si:dkey-239j18.2
zgc:174855
serpina1
he1.2
acp5a
slc7a8a
fahd2a
nme2b.1
atp2a1
mdka
si:dkey-26g8.5
ucp2
mylpfa
zgc:193505
txn
mid1ip1a
serpina1l
gadd45bb
jtb
zgc:56699
pck2
siva1
mvp
psap
mthfd1b
tbx16
eppk1
tbxta
pou5f3
cyp11a1
fbp1b
atp1a1a.4
si:ch211-226h8.14
slc43a2b
cldne
pvalb2
aif1l
cdo1
slc26a1
msgn1
wu:fj16a03
zgc:153018
anxa1b
rpa3
im:7150988
znrf2a
myl1
arl6ip5a
dhfr
c3a.1
sult6b1
snw1
ripply1
col1a2
col11a1a
gngt2a
rcc1
ctsh
spata6l
mt2
mgst1.2
nnr
zgc:153665
sesn3
ckbb
si:ch211-262h13.3
efhd1
si:ch211-125o16.4
postnb
ifi45
dusp19b
col2a1a
gyg1a
isg15
mxtx1
notch3
stard14
cntn1a
mdkb
col2a1b
znfl2a
mkrn4
rnf19a
apom
f11r.1
anxa6
sox32
snai1a
si:dkey-239j18.3
si:dkey-85k7.7
angptl2b
lrrc15
wnk4b
myhz1.3
zgc:174154
kif23
gpd1c
nmnat1-rbp7a
meox1
insb
rrm2b
alas1
col1a1a
stm
slc25a20
si:ch73-132f6.5
polr3gla
avd
col1a1b
vrtn
mrpl20
cldn7b
ttn.2
mrpl57
s100a11
si:dkey-239h2.3
zgc:114119
zgc:100951
hnf4a
cdx4
hbbe3
MYG1
bambia
rnf185
med11
diabloa
rpf2
irx7
mrps24
slc3a2a
znf395a
TMEM233
rdh10b
zgc:101744
vtnb
cebpb
nipsnap1
ppp1r3ca
ccne1
cers2b
pfkfb4b
cart4
thy1
efemp2b
si:ch211-251b21.1
tcf15
si:ch73-23l24.1
BX470229.1
degs1
fn1a
MED9
si:ch1073-80i24.3
klf17
asb11
hikeshi
gpa33a
cxcl12a
lama5
apela
gata6
smc4
bckdhbl
gpr137
alox5b.3
entpd1
fzd7a
cxcl12b
im:7138239
appa
szl
ubl7b
FO704758.1
myl13
cfap100
nip7
c1d
fzd7b
gata3
rfc4
gpt2
hsd17b12a
fopnl
sod2
gch2
ipcef1
si:dkey-74k8.4
ftr83
ccna1
si:ch211-260e23.9
si:dkey-90l23.1
slc16a3
nap1l1
slc47a1
fn1b
prdx6
mmp30
nup93
ccnb2
