variant,metric,time,mean,sem,n
remove_YSL,w1,0.0,0.055131552435818,0.0,5
remove_YSL,w1,0.05,0.0639712241023074,0.0014036321749769,5
remove_YSL,w1,0.1,0.0672875817537256,0.002521752844354,5
remove_YSL,w1,0.15,0.069580773151652,0.0037222402455019,5
remove_YSL,w1,0.2,0.0726673428513218,0.0041515378233508,5
remove_YSL,w1,0.25,0.0778990446952219,0.0045952023718208,5
remove_YSL,w1,0.3,0.0800428190842537,0.0043704080495047,5
remove_YSL,w1,0.35,0.083826015078999,0.0046742483326624,5
remove_YSL,w1,0.4,0.0863435903153832,0.0039747832324129,5
remove_YSL,w1,0.45,0.0892709207197096,0.003250582793143,5
remove_YSL,w1,0.5,0.0918779902905474,0.0026856490898633,5
remove_YSL,w1,0.55,0.098302510481505,0.0020226861538088,5
remove_YSL,w1,0.6000000000000001,0.0998650600754117,0.0028896487272221,5
remove_YSL,w1,0.65,0.1030284695484655,0.002702103814996,5
remove_YSL,w1,0.7000000000000001,0.1059100095887953,0.0035612587556928,5
remove_YSL,w1,0.75,0.1080258519551781,0.0036067890195344,5
remove_YSL,w1,0.8,0.1092971465713032,0.0043466315513528,5
remove_YSL,w1,0.8500000000000001,0.1120577856093135,0.0049325269404905,5
remove_YSL,w1,0.9,0.1159360791134878,0.005203669732698,5
remove_YSL,w1,0.95,0.1192746907975976,0.0055450137326934,5
remove_YSL,w1,1.0,0.119799465342671,0.0064914371713927,5
remove_YSL,w1,1.05,0.1204373784259484,0.0077585546488327,5
remove_YSL,w1,1.1,0.1220256440091225,0.0086392145196824,5
remove_YSL,w1,1.15,0.1262468340043167,0.0098150108511159,5
remove_YSL,w1,1.2000000000000002,0.130454983386024,0.0102206262333572,5
remove_YSL,w1,1.25,0.1334209763994951,0.0126192204928627,5
remove_YSL,w1,1.3,0.1333361842119591,0.0119093608362842,5
remove_YSL,w1,1.35,0.1305780202348644,0.0096280934538431,5
