track,target,benchmark,split,method,space,projection_repeat,projection_seed,projection_sha256,n_projections,primary_metric,primary_value,sliced_w2,exact_w1,exact_w2,n_predicted,n_observed,predicted_weight_sum,exact_ot_predicted_points,exact_ot_observed_points,source_time,truth_reference,truth_reference_sha256
loto,1,zebrafish,loto_t1,Exact OT displacement,spatial,0,1063295513,e2e93f1d17671b349872a551d52b9a25e796b637bcc8d5a6c430e778e86eafe3,1024,sliced_w2,0.07550497984130458,0.07550497984130458,0.11431917377239967,0.17011463985019268,5000,1036,5000.0,800,800,0.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t1/truth_t1.npz,522ab57665740ad54b466e010721c071970f2998edc9b53c8cd249c73eaae7c0
loto,1,zebrafish,loto_t1,Exact OT displacement,spatial,1,1475483039,a5060969418aef8c460237047005fccdf09b33ed0df9090d2b3d60b21421af33,1024,sliced_w2,0.07522253127153886,0.07522253127153886,0.11431917377239967,0.17011463985019268,5000,1036,5000.0,800,800,0.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t1/truth_t1.npz,522ab57665740ad54b466e010721c071970f2998edc9b53c8cd249c73eaae7c0
loto,1,zebrafish,loto_t1,Exact OT displacement,spatial,2,26201262,1a4bc2fa02ad35fd5cbd7cfdf4611f41999ccf14bf9990d8d4cbc29ef9d1c230,1024,sliced_w2,0.07497148498487691,0.07497148498487691,0.11431917377239967,0.17011463985019268,5000,1036,5000.0,800,800,0.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t1/truth_t1.npz,522ab57665740ad54b466e010721c071970f2998edc9b53c8cd249c73eaae7c0
loto,1,zebrafish,loto_t1,Exact OT displacement,spatial,3,1504073328,44216100fca66847373e8d9f714571e418867ee48360be98b378cc0d848434bf,1024,sliced_w2,0.07552040846581486,0.07552040846581486,0.11431917377239967,0.17011463985019268,5000,1036,5000.0,800,800,0.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t1/truth_t1.npz,522ab57665740ad54b466e010721c071970f2998edc9b53c8cd249c73eaae7c0
loto,1,zebrafish,loto_t1,Exact OT displacement,spatial,4,2829479438,ebabc3a63d16f789bfffc4804d55202bdf9bf676706d090d7afb977df7d0116e,1024,sliced_w2,0.07492417305379272,0.07492417305379272,0.11431917377239967,0.17011463985019268,5000,1036,5000.0,800,800,0.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t1/truth_t1.npz,522ab57665740ad54b466e010721c071970f2998edc9b53c8cd249c73eaae7c0
loto,2,zebrafish,loto_t2,Exact OT displacement,joint,0,802572536,36a3f6a28087e8b79c227f1dbe744fe09d0de917fabb266950fbf1efcc6b24ba,1024,sliced_w2,0.062288355326024565,0.062288355326024565,1.2754898260025005,1.3079617637361205,5000,2081,5000.0,800,800,1.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t2/truth_t2.npz,331f18d513f2de98a33c4efd14f694459fafa7852cdb3b290daa48094f637eb3
loto,2,zebrafish,loto_t2,Exact OT displacement,joint,1,3656984464,7a883684e6df594dfd3575c82b59df9819362404eb53857df6e363dd6066aa91,1024,sliced_w2,0.06146300289547203,0.06146300289547203,1.2754898260025005,1.3079617637361205,5000,2081,5000.0,800,800,1.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t2/truth_t2.npz,331f18d513f2de98a33c4efd14f694459fafa7852cdb3b290daa48094f637eb3
loto,2,zebrafish,loto_t2,Exact OT displacement,joint,2,4153810970,0a9910ea7a65eff157dba6acde60aab75b3f8987f36d11fa24a981fae520d81c,1024,sliced_w2,0.06015267970539075,0.06015267970539075,1.2754898260025005,1.3079617637361205,5000,2081,5000.0,800,800,1.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t2/truth_t2.npz,331f18d513f2de98a33c4efd14f694459fafa7852cdb3b290daa48094f637eb3
loto,2,zebrafish,loto_t2,Exact OT displacement,joint,3,2490435265,25a5ae71a76182128bcbbcee59de9b5d29c1924420a007153192bf5006896eab,1024,sliced_w2,0.06245052410111529,0.06245052410111529,1.2754898260025005,1.3079617637361205,5000,2081,5000.0,800,800,1.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t2/truth_t2.npz,331f18d513f2de98a33c4efd14f694459fafa7852cdb3b290daa48094f637eb3
loto,2,zebrafish,loto_t2,Exact OT displacement,joint,4,3199375425,7935c0bbb7a7c6ee058d45f31a396acd5e92d80f52778d77ec904315a6002483,1024,sliced_w2,0.06126469710530951,0.06126469710530951,1.2754898260025005,1.3079617637361205,5000,2081,5000.0,800,800,1.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t2/truth_t2.npz,331f18d513f2de98a33c4efd14f694459fafa7852cdb3b290daa48094f637eb3
loto,2,zebrafish,loto_t2,Exact OT displacement,state,0,2506383432,8adfd59b60c363f7c9146a25b47964da708cd4967402dc68bc5928417bb88289,1024,sliced_w2,0.06671969973203204,0.06671969973203204,1.181736253365651,1.2143081278441747,5000,2081,5000.0,800,800,1.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t2/truth_t2.npz,331f18d513f2de98a33c4efd14f694459fafa7852cdb3b290daa48094f637eb3
loto,2,zebrafish,loto_t2,Exact OT displacement,state,1,1136634402,fc1cb58042939937eacd3bae433ee2f69b338eed2b32e0c967f7782d7499ab05,1024,sliced_w2,0.06677661627872884,0.06677661627872884,1.181736253365651,1.2143081278441747,5000,2081,5000.0,800,800,1.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t2/truth_t2.npz,331f18d513f2de98a33c4efd14f694459fafa7852cdb3b290daa48094f637eb3
loto,2,zebrafish,loto_t2,Exact OT displacement,state,2,1906539253,0f207e8e61db26413377036dfafd6e5f284183ef75a3575defb755e686f05715,1024,sliced_w2,0.06741620052368634,0.06741620052368634,1.181736253365651,1.2143081278441747,5000,2081,5000.0,800,800,1.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t2/truth_t2.npz,331f18d513f2de98a33c4efd14f694459fafa7852cdb3b290daa48094f637eb3
loto,2,zebrafish,loto_t2,Exact OT displacement,state,3,2556305812,74bbba482931e0112c3dbb24558a80aad60ca5d1cec8147973cbb4fb7138aaf0,1024,sliced_w2,0.0658225866968213,0.0658225866968213,1.181736253365651,1.2143081278441747,5000,2081,5000.0,800,800,1.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t2/truth_t2.npz,331f18d513f2de98a33c4efd14f694459fafa7852cdb3b290daa48094f637eb3
loto,2,zebrafish,loto_t2,Exact OT displacement,state,4,1458909173,fe0245bc8cedd8c9f532ea10ed5c9921e4cb0d7c9210b522ba7b4926b48f0de3,1024,sliced_w2,0.0665294355742978,0.0665294355742978,1.181736253365651,1.2143081278441747,5000,2081,5000.0,800,800,1.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t2/truth_t2.npz,331f18d513f2de98a33c4efd14f694459fafa7852cdb3b290daa48094f637eb3
loto,2,zebrafish,loto_t2,Exact OT displacement,spatial,0,3716708970,16b83a1767db559a8dbbb3aa26bee2e875b5afbc258dc36d6f380325a24613b7,1024,sliced_w2,0.04334180064846676,0.04334180064846676,0.09103825839837824,0.11208109477324614,5000,2081,5000.0,800,800,1.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t2/truth_t2.npz,331f18d513f2de98a33c4efd14f694459fafa7852cdb3b290daa48094f637eb3
loto,2,zebrafish,loto_t2,Exact OT displacement,spatial,1,750891629,88057079882194b7ee3b08402790053483a355f84dfb5574469e09794857cbac,1024,sliced_w2,0.04384205019139903,0.04384205019139903,0.09103825839837824,0.11208109477324614,5000,2081,5000.0,800,800,1.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t2/truth_t2.npz,331f18d513f2de98a33c4efd14f694459fafa7852cdb3b290daa48094f637eb3
loto,2,zebrafish,loto_t2,Exact OT displacement,spatial,2,3492434686,75dbbf8ced050ec293832743853b53226b7c434e0fec3da283524a764b255200,1024,sliced_w2,0.04357896693662221,0.04357896693662221,0.09103825839837824,0.11208109477324614,5000,2081,5000.0,800,800,1.0,/data/cytobridge/projects/CytoBridge-ST-1104/runs/corrected-benchmark-20260813-matched-3c87a3e-c4f8e203-ff55c7a-r4/zebrafish/inputs/loto_t2/truth_t2.npz,331f18d513f2de98a33c4efd14f694459fafa7852cdb3b290daa48094f637eb3
