time,state,n_calculation_rows,n_display_sample,n_display,n_not_displayed,display_q05,display_q95
0.0,observed,7668,2500,2500,0,-0.1049727355,0.1422366444999999
0.5,simulated,7780,2500,2500,0,-0.0601359373499999,0.1974511674999999
1.0,observed,8106,2500,2500,0,-0.04509195625,0.2053692579999998
1.5,simulated,8608,2500,2500,0,-0.0066749185849999,0.3050657024999999
2.0,observed,9436,2500,2500,0,0.0016529703349999,0.2868392329999999
2.5,simulated,9684,2500,2500,0,-0.1321777215,0.2329978899999999
3.0,observed,9673,2500,2500,0,-0.128283676,0.1916618699999996
3.5,simulated,10035,2500,2500,0,-0.0702263257,0.3321054369999997
4.0,observed,11316,2500,2500,0,0.1342489815,0.4705866214999999
