pattern,time,mean,std,n_profiles
1,0.0,0.35531900048722154,0.9541312586906123,484
1,0.5,1.023584884939313,0.3341300032711906,484
1,1.0,1.0777000340317218,0.5735558618452744,484
1,1.5,0.5933023891850614,0.6415535606676529,484
1,2.0,-0.7437951240540752,0.7681462421635238,484
1,2.5,-0.9092855618481629,0.5340652737959488,484
1,3.0,-0.8255970409324547,0.7224185483034844,484
1,3.5,-0.47614377893845533,0.5880817785357236,484
1,4.0,-0.09508480287016917,0.7138709073651482,484
2,0.0,-0.7509446377800963,0.6960215785879192,1516
2,0.5,-0.3426591821706897,0.6528726963868313,1516
2,1.0,0.005830985707244459,0.6992838670327062,1516
2,1.5,-0.3249228453941727,0.5621156301863035,1516
2,2.0,-0.4926422237517727,1.2406816678419177,1516
2,2.5,0.43284543968908973,0.9782941962805909,1516
2,3.0,1.0402825985795832,0.8369235848690291,1516
2,3.5,0.6039360191930407,0.7726553360455839,1516
2,4.0,-0.17172615407222594,0.892827742615702,1516
