raw_gene,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0
AMEX60DD021526,0.0741473,0.07288639,0.12917346,0.048143778,0.07622231,1.3212664,1.837556,0.9749173,0.08598934
NPTXR,1.5075903,1.8560001,1.8130229,1.0704399,0.17193896,0.91954875,1.7633731,1.8261243,1.6250082
AMEX60DDU001033882,4.209095,3.973428,3.8200407,4.1002965,4.2863064,3.5180037,3.052843,3.475573,4.073178
AMEX60DDU001010113,3.893008,3.6893349,3.56535,3.7985225,3.986329,3.30667,2.9449062,3.3324711,3.8666215
HBD,1.8333018,1.7767363,1.6709503,1.2439543,0.9591792,1.4259892,2.0233724,1.9015439,1.6406527
AMEX60DD002299,0.04541298,0.0542437,0.09467409,0.048782196,0.07744988,0.62278044,0.82474816,0.41711232,0.047236912
VIM,0.8956528,0.96173656,1.089429,1.2933291,1.4269029,1.7017379,1.5383337,1.2674065,1.0190377
FABP7[nr] | AMEX60DD034100,0.3548739,0.30870247,0.3887904,0.25039822,0.4374906,0.43948805,0.8469426,0.9329841,0.91208917
B2M,0.2804663,0.25051743,0.2946441,0.52191687,0.84711874,0.9652583,0.7071168,0.3804756,0.27418038
GLUL,0.60473365,1.0263555,1.2850894,1.1402992,0.9417476,0.7551696,0.9876272,1.3627063,1.4046977
TMSB15A,0.98970455,1.2857049,1.4097977,1.1423715,0.87419724,1.2802098,1.7298844,1.5504149,1.2385026
RPS3,0.7831678,0.9549353,1.1429505,0.9336893,0.8905913,1.1064837,1.4918363,1.3822066,1.2095139
RPS18,1.1955363,1.2458028,1.3402414,1.2440535,1.3225898,1.5480956,1.8264787,1.6404094,1.4496459
RPL7,0.93999785,1.1061579,1.258484,1.1246384,1.0939993,1.2005479,1.5338631,1.4928771,1.4037399
RPS4X,0.76361954,0.987831,1.1236978,1.0167181,0.9381677,1.075873,1.3931044,1.3166388,1.2041566
ACVR2A,0.7767689,0.77524185,0.7452583,0.7579767,0.74602,0.41281208,0.2939789,0.5878135,0.8871254
DDIT4,0.2211433,0.1981888,0.21241118,0.13595128,0.21265127,0.084473036,0.24950431,0.5233681,0.6513185
RPL30,0.8875213,0.934969,0.9760192,0.9053395,0.94825274,1.1794121,1.4335247,1.2139323,1.0672203
