cluster,time,mean,std,n_profiles
1,0.0,0.9940075107328636,0.03574545345182021,1655
1,0.5,0.601664473386459,0.16051783454927812,1655
1,1.0,0.2769231503007643,0.1215606265779741,1655
1,1.5,0.14851409074459623,0.09662903236165626,1655
1,2.0,0.0771889089088001,0.06576617398090147,1655
1,2.5,0.03209495506557207,0.034861750242945445,1655
1,3.0,0.0014211612036336698,0.018430603097317297,1655
2,0.0,0.49639376023537796,0.2573220771217743,84
2,0.5,0.9992900178074171,0.0053308097875413305,84
2,1.0,0.7174439616972038,0.1364733856018821,84
2,1.5,0.5903111383128496,0.14275313464313938,84
2,2.0,0.4106915573946435,0.13496346459112224,84
2,2.5,0.20318423440393096,0.07698306934904774,84
2,3.0,0.0046272722846684225,0.022859126101440176,84
3,0.0,0.008353656827354918,0.034443009459346446,18
3,0.5,0.8393178468806238,0.15880856100288893,18
3,1.0,0.8220010852325167,0.12305390687994358,18
3,1.5,0.9195368824265088,0.07943657762416256,18
3,2.0,0.8819017385964032,0.12004965379259677,18
3,2.5,0.7130584676268459,0.17749424154408217,18
3,3.0,0.4966323955462235,0.2625825012216066,18
