rank,target_label,count,probability,percent,centroid_x,centroid_y
1,Cartilage,348,0.2714508580343214,27.1450858034,0.789077818394,2.19954776764
2,Cartilage primordium,253,0.19734789391575663,19.7347893916,0.606448352337,2.35484051704
3,Connective tissue,243,0.18954758190327614,18.9547581903,0.598693966866,1.94430327415
