"ligand","target","weight","ligand_type","target_type","model_time","age_months","window"
"Cd300c2","Ntng1",0.518949460230332,"Microglia","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Cdh4","Cdh4",0.149974680644658,"Inhibitory neurons","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Clu","Trem2",0.385024411082621,"Astrocytes","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Col1a1","Cd44",0.851345938072987,"Fibroblast","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Col1a1","Cd93",0.505137451794435,"Fibroblast","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Fn1","Cd44",0.653771070756008,"Pericytes/Endothelial","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Nts","Ntsr2",1.04323941404026,"Inhibitory neurons","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Pecam1","Pecam1",0.1484426572942,"Pericytes/Endothelial","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Sema3e","Nrp2",0.394810482981869,"Excitatory neurons","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Spp1","Cd44",0.877495978441446,"Fibroblast","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Spp1","Itgb5",0.644074118622928,"Fibroblast","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Vcan","Cd44",0.809276861458011,"OPC","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Apoe","Sorl1",0.727703877116285,"Astrocytes","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"Apoe","Trem2",0.385024411082621,"Astrocytes","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"C1qa","Cd33",0.377182762570128,"Microglia","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"C1qa","Cd93",0.715989947226285,"Microglia","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"C1qa","Cspg4",0.634342236212051,"Microglia","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"C1qb","Cd33",0.377182762570128,"Microglia","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"C3","Itgam",0.552472339061861,"Fibroblast","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"C3","Itgax",0.702538341419386,"Fibroblast","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"Col1a1","Cd44",0.851345938072987,"Fibroblast","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"Col1a1","Cd93",0.505137451794435,"Fibroblast","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"Lcn2","Fcgr3",0.343775259943773,"Fibroblast","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"Lgals3bp","Cd33",0.533331866566671,"Fibroblast","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"Nts","Ntsr2",1.04323941404026,"Inhibitory neurons","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"Pecam1","Pecam1",0.1484426572942,"Pericytes/Endothelial","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"Sema3d","Nrp2",0.124704323501066,"OPC","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"Spp1","Cd44",0.877495978441446,"Fibroblast","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"Spp1","Itgb5",0.644074118622928,"Fibroblast","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"Vcan","Cd44",0.809276861458011,"OPC","Microglia receptor",1.5,11.8,"t1p45_to_t1p50"
"Apoe","Sorl1",0.727703877116285,"Astrocytes","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
"Apoe","Trem2",0.385024411082621,"Astrocytes","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
"C1qa","Cd33",0.377182762570128,"Microglia","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
"C1qa","Cd93",0.715989947226285,"Microglia","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
"C1qa","Cspg4",0.634342236212051,"Microglia","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
