gene,cluster,temporal_variance,peak_time
Ifit3,4,0.1614506901260497,2.5
Ifitm3,4,0.0655869170143048,2.5
Igf1,4,0.0015197893425264,2.5
Igf2,4,0.0463748924677018,2.5
Igfbp4,1,0.0311785539366085,0.0
Igfbp5,4,562.313568215508,2.5
Igfbp6,1,0.0039695264338759,0.0
Igsf21,1,0.0407108046093808,0.0
Ikzf1,4,0.0929089468524487,2.5
Il1a,4,0.0016996749000507,2.5
Inpp4b,1,0.0006641342803238,0.0
Irf7,4,0.0002280871093006,2.5
Itgam,4,0.3157367920463173,2.5
Itgax,4,0.0032463182569384,2.5
Itgb4,2,7.758673963458102e-05,0.0
Itgb5,4,0.760675131863972,2.5
Itm2b,4,164.8560860980961,2.5
Kcnh5,1,0.501943149822743,0.0
Kcnmb2,1,0.0013922000786238,0.0
Kctd12,1,117.82693979869418,0.0
Kctd8,1,0.0014134977166397,0.0
Kdr,1,0.0019636450082836,0.0
Lamp5,1,0.3339853341092449,0.0
Laptm5,4,521.095137482479,2.5
Lcn2,4,9.621902649555748e-06,2.5
Lgals3bp,4,0.0108990355012327,2.5
Ly6a,4,0.0037726158375444,0.0
Ly86,4,31.06105419463625,2.5
Lypd6,1,0.0263057665479346,0.0
Lyz2,4,16.053721291896405,2.5
Man2b1,4,128.78137067877307,2.5
Mapk4,3,1.3404493132575086,0.9
Mbp,1,590.0905850086232,0.7
Mdga1,1,0.0002317527479408,0.1
Mecom,4,0.0001434016464489,2.5
Mef2c,1,130.79360242127902,0.0
Megf10,1,0.0282087070745915,0.0
Meis2,1,2.4937519155521604,0.3
Mertk,1,1.3256001987590669,0.0
Mobp,1,60.0170904985724,0.0
Mpeg1,4,3.976853180016572,2.5
Myl4,2,0.0001604707367135,0.0
Myo16,1,0.0371596123018779,0.4
Ndst3,1,0.0217310628963447,0.0
Ndst4,2,0.0002085760628028,0.0
Necab1,1,3.332360615335084,0.0
Necab2,1,0.4350796092077936,0.0
Nell1,1,0.0174406418832616,0.0
Neto2,2,0.1671761051893123,0.0
Neurod6,2,0.0485742573519418,0.2
Nme8,4,1.10138844876102e-05,2.5
Nmral1,1,0.0005948935911527,0.0
Nostrin,1,0.0001446548159522,0.1
Npc2,4,5467.281693383575,2.5
Npnt,2,0.0005070814046087,2.5
