cluster,time,mean,std,n_genes
1,0.0,1.5394914027702593,0.5632177244049268,127
1,0.1,1.453137436065183,0.40359533712440837,127
1,0.2,1.3251284610797573,0.3030518380956123,127
1,0.3,1.2090858876650135,0.20934386615361117,127
1,0.4,1.0744567060139103,0.15128769219421112,127
1,0.5,0.9734810602080164,0.13990623012484454,127
1,0.6,0.856767771194726,0.14970105294193434,127
1,0.7,0.7265250257852249,0.18484903987612555,127
1,0.8,0.6357843427034658,0.23550344285838892,127
1,0.9,0.4742985781742672,0.25457362935892586,127
1,1.0,0.3790333563344618,0.28099292775614093,127
1,1.1,0.23074643381392998,0.30442467765434683,127
1,1.2,0.08007282468306691,0.3219877851386656,127
1,1.3,-0.06234927043913151,0.3155639096873829,127
1,1.4,-0.2051821041027064,0.2931081544305645,127
1,1.5,-0.32997475511571367,0.32366153800584124,127
1,1.6,-0.4472121701454259,0.2582369831255603,127
1,1.7,-0.5898389214018066,0.2286337819862523,127
1,1.8,-0.7366831928332237,0.1645078069633202,127
1,1.9,-0.9074872419807822,0.12277209144651409,127
1,2.0,-1.0287633169561683,0.07729255433687073,127
1,2.1,-1.1377123105607099,0.12267987016356299,127
1,2.2,-1.24035927190332,0.19142920303319208,127
1,2.3,-1.3347713865424544,0.2676728000142761,127
1,2.4,-1.4288848038725415,0.3691347494749513,127
1,2.5,-1.5087905406372972,0.4654604324029365,127
2,0.0,2.48149503106828,0.3105457873776159,63
2,0.1,2.0350559421344347,0.21825820272546695,63
2,0.2,1.6073972597445505,0.20575080461711692,63
2,0.3,1.199922295707659,0.21431067761541234,63
2,0.4,0.8120053672674645,0.24578583974250193,63
2,0.5,0.5071445579879674,0.26677452499986404,63
2,0.6,0.2042576208029974,0.27840977235486847,63
2,0.7,-0.03232418041188517,0.32573668445159454,63
2,0.8,-0.23495691649041867,0.28709060989546004,63
2,0.9,-0.4638825708168002,0.2624076783624945,63
2,1.0,-0.607266216239866,0.24679914929053998,63
2,1.1,-0.7343303796139753,0.24255620965401867,63
2,1.2,-0.8382103168374622,0.2389483050751335,63
2,1.3,-0.9018330827446266,0.22484560387436253,63
2,1.4,-0.905170358037063,0.15841333435367475,63
2,1.5,-0.9186026447168216,0.1955632410456293,63
2,1.6,-0.8888587382078554,0.12877008096294687,63
2,1.7,-0.8289727966691923,0.17623680747340337,63
2,1.8,-0.788329215721987,0.2157778543848613,63
2,1.9,-0.7229151013968447,0.19246085965741414,63
2,2.0,-0.581528102778051,0.28457013650302876,63
2,2.1,-0.3547589729519182,0.3247755312826348,63
2,2.2,-0.19481483362716956,0.41050408613172895,63
2,2.3,0.08347986057923765,0.48147422466050793,63
2,2.4,0.3701476205893112,0.5984545443923607,63
2,2.5,0.695848871380034,0.7370066718415368,63
3,0.0,-0.7049571624626144,0.8513156982008487,8
3,0.1,-0.43101348805258033,0.45060864430141956,8
3,0.2,-0.1795620972624079,0.3669662128135811,8
3,0.3,0.0030299859008954128,0.36022407167995407,8
3,0.4,0.1445525556528942,0.42198439184132475,8
3,0.5,0.4195767808181263,0.4830477446789541,8
3,0.6,0.4828208385197978,0.47655722462790984,8
3,0.7,0.707933620610308,0.6351551640232548,8
3,0.8,1.0795578569644897,0.4758276822601924,8
3,0.9,1.0444749009995233,0.5193807726668309,8
3,1.0,1.114708632746052,0.1646723083870551,8
3,1.1,1.0614796920193668,0.2153351870606259,8
3,1.2,0.9619585236009544,0.31370620130199706,8
3,1.3,0.8294933498891073,0.42282414613226377,8
3,1.4,0.6909473606409201,0.39207693943151606,8
3,1.5,0.44795517776415916,0.5123000019811802,8
3,1.6,0.5616173647121082,0.3880239596022219,8
3,1.7,0.4071050641458701,0.4472345523918894,8
3,1.8,0.004975684905335599,0.2783247754983469,8
3,1.9,-0.3758064826617469,0.19180454819733536,8
3,2.0,-0.7394605274220336,0.17961193820029953,8
3,2.1,-0.9514125735807057,0.15637036812025623,8
3,2.2,-1.2562778890643074,0.17739651445101656,8
3,2.3,-1.6751673928226154,0.21592282027351714,8
3,2.4,-1.6304446352448283,0.32169040806566773,8
3,2.5,-2.0180851413160674,0.21559225459301296,8
4,0.0,-0.39936225112084195,0.8083942863093678,149
4,0.1,-0.4688476601947444,0.6751194115217634,149
4,0.2,-0.5495095724421619,0.5544263780995203,149
4,0.3,-0.6323152180620066,0.4354268450601325,149
4,0.4,-0.6930007392504831,0.33530241397209054,149
4,0.5,-0.7308654376074697,0.25412783494445235,149
4,0.6,-0.772861022948948,0.1634160853701394,149
4,0.7,-0.7724520848807241,0.1350025476639247,149
4,0.8,-0.7608355550623577,0.15343389288946815,149
4,0.9,-0.7513456405789906,0.1533624767334172,149
4,1.0,-0.7212270726200488,0.19376180662675294,149
4,1.1,-0.6747339719247488,0.24527098570343872,149
4,1.2,-0.6315470931869375,0.3016569410160065,149
4,1.3,-0.5450187631758133,0.33670638645797396,149
4,1.4,-0.4304294636830828,0.3334809454350588,149
4,1.5,-0.3012000060216283,0.36822563054241364,149
4,1.6,-0.11845502953021769,0.34410802105217436,149
4,1.7,0.07020787406951767,0.3184917170787454,149
4,1.8,0.2616114916066493,0.3047014277245262,149
4,1.9,0.4611793043327602,0.29107949951403317,149
4,2.0,0.7098376124831524,0.2603333092484644,149
4,2.1,1.0073705061379634,0.20698575204698963,149
4,2.2,1.2975218926494532,0.21296668157483623,149
4,2.3,1.6684257012389831,0.20334096835749643,149
4,2.4,2.04007896207793,0.25051124566105526,149
4,2.5,2.437773237694794,0.3840941238261623,149
