gene,cluster,temporal_variance,peak_time
2010300C02Rik,1,7.2202012976597505,0.2
Acsbg1,1,26.275150493607484,0.0
Arhgap6,1,0.0004174248935309,0.0
Bcl11b,1,0.9508949237158656,0.1
Bdnf,1,0.0144946133633045,0.7
Btbd11,1,0.0089851589822558,0.0
Cacna2d2,1,0.0403928858515134,0.4
Calb2,1,0.0906209459364967,0.0
Car4,1,0.0622051021857301,0.0
Cbln1,1,0.0001265879796275,0.0
Cbln4,1,0.0038781940342646,0.0
Ccn2,1,0.0002005994102001,0.0
Cdh13,1,0.2650075483946068,0.0
Cdh20,1,0.0478951502771782,0.0
Cdh4,1,0.001384776783306,0.0
Cdh6,1,0.0039172255938253,0.0
Cdh9,1,0.0157053387727384,0.0
Chrm2,1,0.0040929805478929,0.0
Clmn,1,5.521059602831405,0.0
Cnp,1,5.397794753923114,0.0
Cntnap4,1,0.0106142699965764,0.0
Cntnap5b,1,0.0033857872436659,0.0
Col19a1,1,0.0041448047152295,0.0
Cort,1,1.96489173696518e-05,0.0
Cplx3,1,0.0019974889285299,0.1
Crh,1,5.61926903986043e-05,0.8
Cux2,1,0.8138044504753223,0.1
Cwh43,1,2.4918102038526216e-05,0.0
Emcn,1,0.0010939923449559,0.1
Fhod3,1,0.0349406259331656,0.0
Fign,1,0.0006232814815527,0.0
Foxp2,1,0.0103388223838589,0.0
Gad1,1,12.04162180384574,0.1
Gad2,1,0.9339394604436406,0.1
Galnt14,1,0.0051190991929198,0.1
Garnl3,1,1.2158305242529446,0.0
Gatm,1,512.3179756400439,0.0
Gfra2,1,0.2550633295400545,0.2
Gja1,1,115.23755987658724,0.0
Gli3,1,0.0045828041474269,0.0
Gm19410,1,0.0003487653721798,0.0
Gm2115,1,0.0002097132855963,0.2
Gpx4,1,20.518161486515627,0.0
Grik3,1,0.0444359063270546,0.0
Gsg1l,1,0.0157820689107163,0.6
Gucy1a1,1,0.2009492911608398,0.0
Hapln1,1,0.0055429818206938,0.0
Hs3st2,1,0.0294124261801415,0.2
Igfbp4,1,0.0311785539366085,0.0
Igfbp6,1,0.0039695264338759,0.0
Igsf21,1,0.0407108046093808,0.0
Inpp4b,1,0.0006641342803238,0.0
Kcnh5,1,0.501943149822743,0.0
Kcnmb2,1,0.0013922000786238,0.0
Kctd12,1,117.82693979869418,0.0
Kctd8,1,0.0014134977166397,0.0
Kdr,1,0.0019636450082836,0.0
Lamp5,1,0.3339853341092449,0.0
Lypd6,1,0.0263057665479346,0.0
Mbp,1,590.0905850086232,0.7
Mdga1,1,0.0002317527479408,0.1
Mef2c,1,130.79360242127902,0.0
Megf10,1,0.0282087070745915,0.0
Meis2,1,2.4937519155521604,0.3
Mertk,1,1.3256001987590669,0.0
Mobp,1,60.0170904985724,0.0
Myo16,1,0.0371596123018779,0.4
Ndst3,1,0.0217310628963447,0.0
Necab1,1,3.332360615335084,0.0
Necab2,1,0.4350796092077936,0.0
Nell1,1,0.0174406418832616,0.0
Nmral1,1,0.0005948935911527,0.0
Nostrin,1,0.0001446548159522,0.1
Nrn1,1,29.065850732820973,0.0
Nrp2,1,0.002832756548159,0.1
Nts,1,0.0011190479689856,0.0
Ntsr2,1,37.67363509332515,0.0
Nwd2,1,0.0116803006984746,0.0
Nxph3,1,0.0022877984833205,0.0
Opalin,1,0.0009346362656262,0.0
Pcsk5,1,0.0009306295665595,0.0
Pde7b,1,0.3865552917511429,0.1
Pdyn,1,0.0003142938444555,0.1
Pdzd2,1,0.2216239734954201,0.7
Penk,1,0.2674373559712838,0.4
Pglyrp1,1,7.503529433012642e-06,0.6
Picalm,1,71.32391802629137,0.0
Plcxd2,1,0.8901099368404635,0.4
Plcxd3,1,0.0110293283821091,1.3
Pou3f1,1,0.0013272157712881,0.3
Ppp1r1b,1,3.435361687535426,0.4
Prr16,1,0.0177341245419579,0.0
Pthlh,1,1.283887666105489e-05,0.0
Pvalb,1,0.2140902492895928,0.0
Rab3b,1,0.0052321833770261,0.0
Rasl10a,1,0.0041593227612442,0.8
Rims3,1,13.911553725820848,0.0
Rorb,1,5.842381977558792,0.0
Rspo1,1,0.0032504212048624,0.0
Satb2,1,0.2341059493183611,0.0
Sdk2,1,0.0014853707050483,0.0
Sema3a,1,0.0188570143256479,0.0
Sema5b,1,0.000415523856487,0.1
Sipa1l3,1,0.0048034196717071,0.8
Slc17a6,1,0.3819620739659253,0.0
Slc17a7,1,28.50614368995654,0.0
Slc39a12,1,0.1041026659539497,0.0
Slfn5,1,0.0001409846186374,0.0
Sorcs3,1,0.0225579602304812,0.6
Sox11,1,0.1946119888534851,0.0
Sparcl1,1,3565.230036482453,0.0
Sst,1,0.001302522620867,0.0
Syndig1,1,0.0340581576756174,0.1
Syngr1,1,14.99408343880098,0.0
Syt2,1,0.0251189727099554,0.5
Syt6,1,0.0298729804190891,0.4
Tacr1,1,5.448217490743962e-05,0.0
Tle4,1,0.2823508504568475,0.0
Tmem132d,1,0.0240504443573231,0.1
Tmem163,1,0.0055991494046343,0.0
Trbc2,1,0.0002710671405576,0.0
Unc13c,1,0.0113451104182079,0.0
Vat1l,1,0.1068932347126263,0.0
Vip,1,0.0002488481868811,0.0
Wfs1,1,0.2185709787580185,0.1
Zfp366,1,5.650880173450701e-05,0.1
Zfp536,1,0.0423796860958463,0.8
