dataset,arm,target,space,projection_repeat,projection_seed,projection_sha256,n_projections,sliced_w2,n_predicted,n_observed,predicted_mass,observed_mass_relative,tmv_absolute,tmv,weights_semantics,inference_seed
zebrafish,interaction_on,4.0,spatial,4,3447347896,e8495ce7b502e9821d154354982cf5061c1b88f8f0480cb3ba08acea6e5f0d15,1024,0.0604827428628917,5000,5271,9.469718221691435,9.36234458259325,0.1073736390981867,0.0114686698562472,native_unnormalised_growth_mass,42
zebrafish,interaction_off,1.0,joint,0,1459036019,e45629b3707b31872916c1d1c90bd7afd2dfc8afb09ec7c21bd31badcb476390,1024,0.0300459319403645,5000,1036,1.8409112796507543,1.8401420959147423,0.0007691837360117,0.0004180023584697,native_unnormalised_growth_mass,42
zebrafish,interaction_off,1.0,joint,1,3958881870,f4fedc00449e3353c974ef8af2642db6f5b31754a21ecc904af9eed4c0256eda,1024,0.0301433811328068,5000,1036,1.8409112796507543,1.8401420959147423,0.0007691837360117,0.0004180023584697,native_unnormalised_growth_mass,42
zebrafish,interaction_off,1.0,joint,2,3510727012,4c41cc518f091f88c12516f0d9d9bd0768246a2a538a28a41f7660de63bcc9b0,1024,0.0301819215197709,5000,1036,1.8409112796507543,1.8401420959147423,0.0007691837360117,0.0004180023584697,native_unnormalised_growth_mass,42
zebrafish,interaction_off,1.0,joint,3,371533113,10c301ceb6f64aa57759a3f19c3057161798f95c91687d8081b60308c84e171a,1024,0.0302962808646201,5000,1036,1.8409112796507543,1.8401420959147423,0.0007691837360117,0.0004180023584697,native_unnormalised_growth_mass,42
zebrafish,interaction_off,1.0,joint,4,3110794264,58cf265de59cb5892109becba428ea95269bab240bb6b5b87ee2d92d4b02ee2e,1024,0.0301194635821362,5000,1036,1.8409112796507543,1.8401420959147423,0.0007691837360117,0.0004180023584697,native_unnormalised_growth_mass,42
zebrafish,interaction_off,1.0,state,0,487788036,a7822afd3640ed8a95c2ca97a39159db0e119179671380a19920a0648f61fdd2,1024,0.0305725449512439,5000,1036,1.8409112796507543,1.8401420959147423,0.0007691837360117,0.0004180023584697,native_unnormalised_growth_mass,42
zebrafish,interaction_off,1.0,state,1,1980219439,66d43ac5c5cbeb3b2f040d8c8b2c87c15fc6a1c63d6404b0ef3e7b0470c8854c,1024,0.0300045329865864,5000,1036,1.8409112796507543,1.8401420959147423,0.0007691837360117,0.0004180023584697,native_unnormalised_growth_mass,42
zebrafish,interaction_off,1.0,state,2,3678780881,0782d8a192db86b8946a1794acdd2150022d6e736a9fc431d7e23fc9076bb14b,1024,0.0301486824018369,5000,1036,1.8409112796507543,1.8401420959147423,0.0007691837360117,0.0004180023584697,native_unnormalised_growth_mass,42
zebrafish,interaction_off,1.0,state,3,1745126195,84aee1cb65e0a771fbbbdcb28ac3c238e424f7bf7d106248b8a23522aac14bb1,1024,0.0312665998553429,5000,1036,1.8409112796507543,1.8401420959147423,0.0007691837360117,0.0004180023584697,native_unnormalised_growth_mass,42
