time,pair,score_min,score_geometric_mean,ligand,receptor,ligand_n_subunits,receptor_n_subunits,is_multisubunit,score_difference,absolute_difference,symmetric_relative_difference
0.0,Adcyap1_Adcyap1r1,74.76852583781131,74.76851868143959,Adcyap1,Adcyap1r1,1,1,False,-7.156371722771837e-06,7.156371722771837e-06,9.571369292869991e-08
0.0,Adgre5_Cd55b,10.665626450766878,10.66562505467423,Adgre5,Cd55b,1,1,False,-1.3960926477096791e-06,1.3960926477096791e-06,1.308964507761565e-07
0.0,Adipoq_Adipor1,40.344003806996746,40.34400209756602,Adipoq,Adipor1,1,1,False,-1.709430726748451e-06,1.709430726748451e-06,4.237137035100094e-08
0.0,Adipoq_Adipor2,19.336456955401676,19.336456369816204,Adipoq,Adipor2,1,1,False,-5.855854716685371e-07,5.855854716685371e-07,3.0284010820552763e-08
0.0,Adm_Calcr,4.582521603325604,4.582521015157974,Adm,Calcr,1,1,False,-5.881676301555672e-07,5.881676301555672e-07,1.283502143729612e-07
0.0,Adm_Calcrl,81.35861143496467,81.35860156018177,Adm,Calcrl,1,1,False,-9.874782904262247e-06,9.874782904262247e-06,1.2137354276450276e-07
0.0,Agrn_Dag1,23721.68458842053,23721.68388771738,Agrn,Dag1,1,1,False,-0.0007007031490502413,0.0007007031490502413,2.9538507117335235e-08
0.0,Agt_Agtr1a,27.57037082079368,27.570368307078414,Agt,Agtr1a,1,1,False,-2.513715266161398e-06,2.513715266161398e-06,9.117451783657347e-08
0.0,Agt_Agtr1b,1.75548541094903,1.755485297585104,Agt,Agtr1b,1,1,False,-1.1336392602423473e-07,1.1336392602423473e-07,6.457696846534843e-08
0.0,Agt_Mas1,9.796097818632868,9.796096703409436,Agt,Mas1,1,1,False,-1.1152234318245746e-06,1.1152234318245746e-06,1.1384363983211163e-07
0.0,Alcam_Cd6,59.184398077646286,59.18439166638517,Alcam,Cd6,1,1,False,-6.411261118444145e-06,6.411261118444145e-06,1.0832687881750466e-07
0.0,Amh_Amhr2_Acvr1,0.455708135177903,2.548673665362216,Amh,Amhr2_Acvr1,1,2,True,2.092965530184313,2.092965530184313,0.8211979268388846
0.0,Amh_Amhr2_Bmpr1a,0.455708135177903,4.627413895686216,Amh,Amhr2_Bmpr1a,1,2,True,4.1717057605083125,4.1717057605083125,0.9015199103752692
0.0,Angpt1_Tek,1503.0320814292495,1503.032069151956,Angpt1,Tek,1,1,False,-1.2277293535589706e-05,1.2277293535589706e-05,8.168350953570528e-09
0.0,Angpt2_Itga5_Itgb1,226.36041926410783,797.0795561689131,Angpt2,Itga5_Itgb1,1,2,True,570.7191369048053,570.7191369048053,0.7160127649590117
0.0,Angpt2_Tek,217.41216934669325,217.4121656377557,Angpt2,Tek,1,1,False,-3.7089375553023274e-06,3.7089375553023274e-06,1.705947540308989e-08
0.0,Angptl1_Itga1_Itgb1,1269.3847035928015,4581.203811730984,Angptl1,Itga1_Itgb1,1,2,True,3311.8191081381824,3311.8191081381824,0.7229145971758958
0.0,Angptl1_Pirb,46.03881917129569,46.03881768394466,Angptl1,Pirb,1,1,False,-1.4873510352231278e-06,1.4873510352231278e-06,3.23064549003564e-08
0.0,Angptl2_Itga5_Itgb1,1875.4477979453093,6474.759971863186,Angptl2,Itga5_Itgb1,1,2,True,4599.312173917877,4599.312173917877,0.7103448149282315
0.0,Angptl2_Pirb,61.84002860670831,61.84002520809295,Angptl2,Pirb,1,1,False,-3.398615355365564e-06,3.398615355365564e-06,5.495817890027443e-08
0.0,Angptl2_Tlr4,213.1269117693944,213.12689763617624,Angptl2,Tlr4,1,1,False,-1.4133218172673878e-05,1.4133218172673878e-05,6.631362531995101e-08
0.0,Angptl3_Itgav_Itgb3,26.092212869157805,70.26647653775547,Angptl3,Itgav_Itgb3,1,2,True,44.17426366859766,44.17426366859766,0.6286676925498323
0.0,Angptl4_Cdh11,50261.83962285167,50261.83897549321,Angptl4,Cdh11,1,1,False,-0.0006473584653576836,0.0006473584653576836,1.287972088199017e-08
0.0,Angptl4_Cdh5,2744.5306868473326,2744.530711368544,Angptl4,Cdh5,1,1,False,2.452121134410845e-05,2.452121134410845e-05,8.93457349285084e-09
0.0,Angptl4_Itga5_Itgb1,1756.132069015121,6170.332404241797,Angptl4,Itga5_Itgb1,1,2,True,4414.2003352266765,4414.2003352266765,0.7153910107326038
0.0,Angptl4_Itgav_Itgb3,376.7024169636389,1210.0100711872944,Angptl4,Itgav_Itgb3,1,2,True,833.3076542236556,833.3076542236556,0.6886782796824094
0.0,Angptl4_Sdc1,4616.211543006446,4616.211589875175,Angptl4,Sdc1,1,1,False,4.68687294414849e-05,4.68687294414849e-05,1.0153072173789212e-08
0.0,Angptl4_Sdc2,4714.521624110672,4714.521663451106,Angptl4,Sdc2,1,1,False,3.934043434128398e-05,3.934043434128398e-05,8.34452297595047e-09
0.0,Angptl4_Sdc3,4752.478529766895,4752.478534897084,Angptl4,Sdc3,1,1,False,5.13018858327996e-06,5.13018858327996e-06,1.0794764343719557e-09
0.0,Angptl4_Sdc4,1386.4238103388184,1386.4238754288851,Angptl4,Sdc4,1,1,False,6.509006675514684e-05,6.509006675514684e-05,4.6948172134594455e-08
0.0,Angptl7_Pirb,2.19237801374204,2.192377708885739,Angptl7,Pirb,1,1,False,-3.048563010921157e-07,3.048563010921157e-07,1.390527998279706e-07
0.0,Anxa1_Fpr1,3.881245901476619,3.881245405181525,Anxa1,Fpr1,1,1,False,-4.962950939102484e-07,4.962950939102484e-07,1.2787004650270498e-07
0.0,Anxa1_Fpr2,3.394227258878173,3.3942269936729152,Anxa1,Fpr2,1,1,False,-2.652052577545305e-07,2.652052577545305e-07,7.813420773781175e-08
0.0,Anxa1_Fpr2_Fpr3,3.394227258878173,70.25951127841554,Anxa1,Fpr2_Fpr3,1,2,True,66.86528401953737,66.86528401953737,0.951690138500566
0.0,Apela_Aplnr,284.2923105650212,284.2923136024654,Apela,Aplnr,1,1,False,3.0374442303582327e-06,3.0374442303582327e-06,1.0684229171969748e-08
0.0,Apln_Aplnr,221.9790398664216,221.9790292299071,Apln,Aplnr,1,1,False,-1.0636514502948557e-05,1.0636514502948557e-05,4.791675155162938e-08
0.0,App_Cd74,500.8953824144401,500.89535358802135,App,Cd74,1,1,False,-2.8826418770222517e-05,2.8826418770222517e-05,5.754977941955069e-08
0.0,Areg_Egfr,21.206327627626912,21.206326469613938,Areg,Egfr,1,1,False,-1.1580129744004353e-06,1.1580129744004353e-06,5.460695480776284e-08
0.0,Areg_Egfr_Erbb2,13.750667374475956,17.813325474896864,Areg,Egfr_Erbb2,1,2,True,4.062658100420908,4.062658100420908,0.22806848199939658
