pair_id,ligand,receptor,pair,auc,peak_time,peak_score,start_score,end_score,delta_end_start,score_range,cluster
"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,0.0066537329337218384,3.5,0.0031187340357310455,0.0021588830936837855,0.001408617921018762,-0.0007502651726650235,0.002580940639438087,2
"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,0.02558536129300962,3.5,0.012318422561175988,0.00909508764727599,0.005824621789942346,-0.0032704658573336435,0.009523239813818066,2
"[""ADM"",""CALCR""]",ADM,CALCR,ADM_CALCR,0.23362003614451143,3.5,0.10594997231859629,0.024409620108500864,0.06240528878312885,0.03799566867462799,0.08154035221009542,2
"[""ADM"",""CALCRL""]",ADM,CALCRL,ADM_CALCRL,0.4166683732955996,3.5,0.18604128006330656,0.07173991561339789,0.11843964701477591,0.04669973140137802,0.13276375872286772,2
"[""AGRN"",""DAG1""]",AGRN,DAG1,AGRN_DAG1,47.3025435959311,3.5,20.858244588815644,8.030325268252412,15.59474783749356,7.564422569241149,13.398163475094794,2
"[""AGT"",""AGTR1""]",AGT,AGTR1,AGT_AGTR1,0.23218641922330122,2.5,0.18268527112086988,0.01410064676722916,0.013081294112574103,-0.001019352654655057,0.17206145360202824,2
"[""ANGPT1"",""TEK""]",ANGPT1,TEK,ANGPT1_TEK,0.022491517119987113,3.5,0.010785884706270904,0.0013379093340402395,0.0056745834682154685,0.004336674134175229,0.009447975372230664,2
"[""ANGPT2"",""ITGA5_ITGB1""]",ANGPT2,ITGA5_ITGB1,ANGPT2_ITGA5_ITGB1,0.08235221831774595,3.5,0.047778601851123814,0.010132815454992988,0.020215299383073395,0.010082483928080407,0.03764578639613082,2
"[""ANGPT2"",""TEK""]",ANGPT2,TEK,ANGPT2_TEK,0.016408240279242804,3.5,0.01107487941616953,0.002006985130708859,0.002683761871911012,0.0006767767412021531,0.010172468014366876,2
"[""ANGPTL1"",""ITGA1_ITGB1""]",ANGPTL1,ITGA1_ITGB1,ANGPTL1_ITGA1_ITGB1,0.03073798652676362,1.5,0.011156665062446083,0.0038735143258427276,0.0037347458309548867,-0.00013876849488784083,0.008006214850085801,2
"[""ANGPTL2"",""ITGA5_ITGB1""]",ANGPTL2,ITGA5_ITGB1,ANGPTL2_ITGA5_ITGB1,0.6408157632956448,3.5,0.3053459106056467,0.11796033721532508,0.14382738842976953,0.02586705121444445,0.20967852448586988,2
"[""ANGPTL4"",""CDH5""]",ANGPTL4,CDH5,ANGPTL4_CDH5,0.3385267689306566,2.5,0.15227803551931984,0.10368770059297484,0.024763276825299198,-0.07892442376767564,0.12751475869402065,2
"[""ANGPTL4"",""ITGA5_ITGB1""]",ANGPTL4,ITGA5_ITGB1,ANGPTL4_ITGA5_ITGB1,0.5478464546602104,3.5,0.19931374922313289,0.16073556463578031,0.1250329854909935,-0.035702579144786806,0.1444870387950643,2
"[""ANGPTL4"",""SDC2""]",ANGPTL4,SDC2,ANGPTL4_SDC2,7.183003043567902,3.5,2.6523020681886216,2.6206042827610143,1.3911750355734673,-1.229429247187547,1.456414469318607,2
"[""ANGPTL4"",""SDC3""]",ANGPTL4,SDC3,ANGPTL4_SDC3,19.17062460922289,3.5,8.399804672540665,7.428027681977897,4.215696055161379,-3.2123316268165185,5.915745208214928,2
"[""ANGPTL4"",""SDC4""]",ANGPTL4,SDC4,ANGPTL4_SDC4,5.561130150193742,0.0,2.372661625148926,2.372661625148926,1.0558582505539256,-1.3168033745950003,1.431165543976376,2
"[""BAG6"",""NCR3""]",BAG6,NCR3,BAG6_NCR3,0.35706955602454804,3.5,0.28595652869106203,0.02436232322139507,0.058409820890368766,0.03404749766897369,0.2823190937555091,2
"[""BMP5"",""BMPR1A_ACVR2A""]",BMP5,BMPR1A_ACVR2A,BMP5_BMPR1A_ACVR2A,0.046592558370459676,2.5,0.021072929635649034,0.01800443986170814,0.0023956476644540984,-0.015608792197254041,0.018677281971194934,2
"[""BMP5"",""BMPR1A_BMPR2""]",BMP5,BMPR1A_BMPR2,BMP5_BMPR1A_BMPR2,0.046592558370459676,2.5,0.021072929635649034,0.01800443986170814,0.0023956476644540984,-0.015608792197254041,0.018677281971194934,2
"[""BMP6"",""BMPR1A_ACVR2A""]",BMP6,BMPR1A_ACVR2A,BMP6_BMPR1A_ACVR2A,0.1619288189657495,1.5,0.058948404467970984,0.042494154899783275,0.02341761821284731,-0.019076536686935965,0.035530786255123674,2
"[""BMP6"",""BMPR1A_BMPR2""]",BMP6,BMPR1A_BMPR2,BMP6_BMPR1A_BMPR2,0.1619288189657495,1.5,0.058948404467970984,0.042494154899783275,0.02341761821284731,-0.019076536686935965,0.035530786255123674,2
