noise_sigma,median_adjusted_rand_index,minimum_adjusted_rand_index,maximum_adjusted_rand_index
0.01,0.9849488168712209,0.9625899662000755,1.0
0.02,0.970013891493422,0.9259047815079926,0.992459864284325
0.05,0.9042341287578106,0.882786748532162,0.94782509354444
0.1,0.8064639120248136,0.7079523478075523,0.84767993076027
