omitted_time,adjusted_rand_index,cluster_counts
0.0,0.8199092726493798,1:327;2:204
0.5,0.8616461593310837,1:226;2:305
1.0,0.7400810882230647,1:301;2:230
1.5,0.6760759906742918,1:200;2:331
2.0,0.9774609471756083,1:214;2:317
2.5,0.720721789411838,1:231;2:300
3.0,0.5919290405641086,1:208;2:323
3.5,0.5525321036597526,1:259;2:272
4.0,0.5457176279356412,1:343;2:188
