pattern,term,term_name,term_id,query_size,background_size,set_size_in_background,overlap_count,gene_ratio,p_value,fold_enrichment,overlap_genes,adjusted_p_value,significant
2,Extracellular Matrix Assembly (GO:0085029),Extracellular Matrix Assembly,GO:0085029,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,EMILIN1;FBLN5;GAS6;MYH11;PXDN;RAMP2,0.9997662475896321,False
2,Mesenchyme Development (GO:0060485),Mesenchyme Development,GO:0060485,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,BMP7;BMPR2;ISL1;PKD2;TGFBR1;WNT11,0.9997662475896321,False
2,Mesoderm Formation (GO:0001707),Mesoderm Formation,GO:0001707,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,BMPR2;ITGA3;ITGA8;ITGB1;ITGB3;ITGB4,0.9997662475896321,False
2,Mismatch Repair (GO:0006298),Mismatch Repair,GO:0006298,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,MSH6;RNASEH2A;RNASEH2B;RPA2;RPA3;XPC,0.9997662475896321,False
2,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),Mitochondrial Respiratory Chain Complex Assembly,GO:0033108,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,BCS1L;CHCHD4;LYRM2;NDUFA8;NDUFB2;SDHAF2,0.9997662475896321,False
2,Monocarboxylic Acid Metabolic Process (GO:0032787),Monocarboxylic Acid Metabolic Process,GO:0032787,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,AOAH;CYP1A1;GGT5;LCP1;NAAA;TSPO,0.9997662475896321,False
2,Negative Regulation Of Cell Activation (GO:0050866),Negative Regulation Of Cell Activation,GO:0050866,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,C1QTNF1;EMILIN1;LDLR;PDGFA;PDGFRA;TREM2,0.9997662475896321,False
2,Negative Regulation Of Neuroinflammatory Response (GO:0150079),Negative Regulation Of Neuroinflammatory Response,GO:0150079,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,CST7;GRN;LDLR;PTPRC;TNFRSF1B;TREM2,0.9997662475896321,False
2,Negative Regulation Of Ossification (GO:0030279),Negative Regulation Of Ossification,GO:0030279,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,ECM1;LRP4;RBPJ;SFRP1;SRGN;TMEM53,0.9997662475896321,False
2,Neutral Amino Acid Transport (GO:0015804),Neutral Amino Acid Transport,GO:0015804,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,SLC38A4;SLC6A6;SLC6A9;SLC7A10;SLC7A11;SLC7A5,0.9997662475896321,False
2,Organic Hydroxy Compound Transport (GO:0015850),Organic Hydroxy Compound Transport,GO:0015850,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,ABCC3;CEACAM1;SLC10A6;SLC16A1;SLC22A3;SLC51A,0.9997662475896321,False
2,Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0048008),Platelet-Derived Growth Factor Receptor Signaling Pathway,GO:0048008,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,NR4A3;PDGFA;PDGFC;PDGFD;PDGFRA;PDGFRB,0.9997662475896321,False
2,Positive Regulation Of Amyloid-Beta Formation (GO:1902004),Positive Regulation Of Amyloid-Beta Formation,GO:1902004,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,CHRNA7;CLU;EFNA1;EPHA4;IFNGR1;ROCK2,0.9997662475896321,False
2,Positive Regulation Of Cell Development (GO:0010720),Positive Regulation Of Cell Development,GO:0010720,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,BAD;SERPINF1;SNW1;SPEN;TGM2;TRIM32,0.9997662475896321,False
2,Positive Regulation Of Peptidase Activity (GO:0010952),Positive Regulation Of Peptidase Activity,GO:0010952,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,CTSS;CTSV;DDRGK1;GRN;PRELID1;VSIR,0.9997662475896321,False
2,Protein Lipidation (GO:0006497),Protein Lipidation,GO:0006497,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,DPM2;GLUL;PIGM;SELENOK;WDR45;ZDHHC16,0.9997662475896321,False
2,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)","RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile",GO:0000377,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,GEMIN7;LSM3;PLRG1;RBM41;SNW1;SRSF7,0.9997662475896321,False
2,Regulation Of Amyloid-Beta Formation (GO:1902003),Regulation Of Amyloid-Beta Formation,GO:1902003,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,CHRNA7;CLU;EFNA1;EPHA4;IFNGR1;ROCK2,0.9997662475896321,False
2,Regulation Of Cellular Catabolic Process (GO:0031329),Regulation Of Cellular Catabolic Process,GO:0031329,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,ABCD1;ACER2;DRAM1;DRAM2;OSBPL7;PSAP,0.9997662475896321,False
2,Regulation Of Exocytosis (GO:0017157),Regulation Of Exocytosis,GO:0017157,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,ANXA2;CHMP3;S100A10;SNCA;STXBP5L;UNC13D,0.9997662475896321,False
2,Regulation Of Integrin-Mediated Signaling Pathway (GO:2001044),Regulation Of Integrin-Mediated Signaling Pathway,GO:2001044,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,FLNA;LAMA1;LAMA2;LAMC1;LOXL3;TIMP1,0.9997662475896321,False
2,Regulation Of Organelle Organization (GO:0033043),Regulation Of Organelle Organization,GO:0033043,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,CLIC4;MUL1;NEXN;PREB;RDX;RUVBL2,0.9997662475896321,False
2,Ureteric Bud Development (GO:0001657),Ureteric Bud Development,GO:0001657,1076,1538,6,6,0.0055762081784386614,0.11676473073530803,1.4293680297397768,BMP7;FOXC1;NPNT;PKD2;SLIT2;WNT11,0.9997662475896321,False
2,Defense Response To Virus (GO:0051607),Defense Response To Virus,GO:0051607,1076,1538,15,13,0.012081784386617101,0.12494790341764579,1.2387856257744734,CHMP3;DDIT4;IFITM2;IRF1;PTPRC;RNASEL;SHFL;SKP2;STAT1;TBKBP1;TRIM32;USP18;USP20,0.9997662475896321,False
