cluster,time,mean_normalized_score,std_normalized_score,n_pairs
1,0.0,1.0,0.0,1
1,0.5,0.022102772461241694,0.0,1
1,1.0,0.0,0.0,1
1,1.5,0.023694392639803264,0.0,1
1,2.0,0.02626831423237788,0.0,1
1,2.5,0.029934515306432857,0.0,1
1,3.0,0.03192377263438119,0.0,1
1,3.5,0.057315992894059135,0.0,1
1,4.0,0.010084741423980819,0.0,1
2,0.0,0.16804625046520338,0.23753366351468466,530
2,0.5,0.22285949258505955,0.16821765850251497,530
2,1.0,0.18929613609765802,0.2405010990761061,530
2,1.5,0.4850686779318938,0.25046617028282153,530
2,2.0,0.3040696360259344,0.2526364645135282,530
2,2.5,0.6072754005039102,0.25453742868197243,530
2,3.0,0.28858952438363084,0.2686936553182196,530
2,3.5,0.9053470751725047,0.16023902415280877,530
2,4.0,0.39009593051485036,0.29566229872438243,530
