raw_gene,variance,rank,display_gene,gene_symbol,raw_cluster,pattern
SLC26A5,0.0033274392815170017,96,SLC26A5,SLC26A5,2,1
DOCK4,0.0032211871681049418,97,DOCK4,DOCK4,1,2
COL1A2,0.003135872506648262,98,COL1A2,COL1A2,1,2
CD74,0.003061700490703365,99,CD74,CD74,1,2
SLC6A1,0.002986451203563889,100,SLC6A1,SLC6A1,2,1
AMEX60DD053529,0.0029676918996536313,101,AMEX60DD053529,,2,1
SSR3,0.0029648569378284907,102,SSR3,SSR3,1,2
PLPP3,0.0029438078867013214,103,PLPP3,PLPP3,1,2
NRXN3,0.0029333091264622402,104,NRXN3,NRXN3,2,1
nan | AMEX60DD016339,0.0029159353774013577,105,AMEX60DD016339,,2,1
NCAM2,0.002905687330040654,106,NCAM2,NCAM2,1,2
UCN,0.0028830157600397976,107,UCN,UCN,2,1
SV2B,0.002867027922390624,108,SV2B,SV2B,2,1
NRXN2,0.0028457080378809425,109,NRXN2,NRXN2,2,1
ADCYAP1,0.002838119426960224,110,ADCYAP1,ADCYAP1,2,1
KRT18,0.0028167004526632217,111,KRT18,KRT18,1,2
NRCAM,0.002703222177635044,112,NRCAM,NRCAM,2,1
NLGN1,0.0026367154203847773,113,NLGN1,NLGN1,1,2
LUM,0.002631154056710897,114,LUM,LUM,1,2
KRT19,0.0026029673098682243,115,KRT19,KRT19,1,2
HIF3A,0.0025867983252860893,116,HIF3A,HIF3A,1,2
ANXA2,0.002562633950555418,117,ANXA2,ANXA2,1,2
HBZ,0.0024803389885201445,118,HBZ,HBZ,1,2
TGFBI,0.002436149231818773,119,TGFBI,TGFBI,1,2
SLC7A5,0.00239710157213318,120,SLC7A5,SLC7A5,1,2
MLC1,0.002358664670794156,121,MLC1,MLC1,1,2
RTN4RL2,0.0023466501091204003,122,RTN4RL2,RTN4RL2,1,2
WIPF3[nr] | AMEX60DD022821,0.0023380742121051432,123,WIPF3,WIPF3,2,1
PMP2[nr] | AMEX60DD039992,0.0022607438085510316,124,PMP2,PMP2,1,2
AMEX60DD009830,0.0022544923264923773,125,AMEX60DD009830,,1,2
CNR1,0.0022216775001258327,126,CNR1,CNR1,2,1
GAD2,0.0022189402276269663,127,GAD2,GAD2,1,2
COL1A1,0.002190427673246488,128,COL1A1,COL1A1,1,2
ZFP36L2,0.002145853272776289,129,ZFP36L2,ZFP36L2,1,2
AMEX60DD055398,0.0021352980092860002,130,AMEX60DD055398,,2,1
LOC115478996[nr] | AMEX60DD003305,0.0021338183011527416,131,LOC115478996,LOC115478996,2,1
UNC5D,0.002103635848669867,132,UNC5D,UNC5D,1,2
AMEX60DD054256,0.002077349497278271,133,AMEX60DD054256,,1,2
RPH3A,0.0020667640861713864,134,RPH3A,RPH3A,1,2
PDYN,0.002063139409257708,135,PDYN,PDYN,1,2
AMEX60DD040542,0.0020460597104922946,136,AMEX60DD040542,,1,2
NME3,0.002020394384516021,137,NME3,NME3,1,2
EPHA5,0.0020032155863643655,138,EPHA5,EPHA5,2,1
AMEX60DD027994,0.001988161910598602,139,AMEX60DD027994,,1,2
LOC115083494[nr] | AMEX60DD043350,0.0019714397620950327,140,LOC115083494,LOC115083494,2,1
AMEX60DD034076,0.0019434794938094763,141,AMEX60DD034076,,1,2
TMEM163,0.0019131976797110834,142,TMEM163,TMEM163,2,1
PLXNB2,0.0018901212939769023,143,PLXNB2,PLXNB2,2,1
NRP2,0.0018499172535497734,144,NRP2,NRP2,2,1
EFNA5,0.00182155424435605,145,EFNA5,EFNA5,1,2
CALB2,0.0018086202921406393,146,CALB2,CALB2,2,1
NXPH1,0.001757204257240655,147,NXPH1,NXPH1,1,2
SLC4A4,0.001754232787252111,148,SLC4A4,SLC4A4,1,2
SHISA6,0.0017475190509083434,149,SHISA6,SHISA6,1,2
LGALS3BP,0.0017046582763361531,150,LGALS3BP,LGALS3BP,1,2
ZIC2,0.001667590594477067,151,ZIC2,ZIC2,1,2
AMEX60DD009514,0.0016462440544928458,152,AMEX60DD009514,,1,2
PHACTR2,0.0015767601135168398,153,PHACTR2,PHACTR2,2,1
SEMA5B,0.0015628736916979112,154,SEMA5B,SEMA5B,2,1
IFITM2,0.001547908952903348,155,IFITM2,IFITM2,1,2
SCG3,0.0015255102217203351,156,SCG3,SCG3,1,2
NDUFB2,0.0015120915553591063,157,NDUFB2,NDUFB2,1,2
NPY__2,0.0015003516928108025,158,NPY__2,NPY__2,1,2
AMEX60DD010632,0.0014456186128790766,159,AMEX60DD010632,,1,2
GRIK2,0.0014350344080819879,160,GRIK2,GRIK2,2,1
AMEX60DD029717,0.0013651642039416165,161,AMEX60DD029717,,2,1
LYPLA2,0.001358325298755136,162,LYPLA2,LYPLA2,1,2
AGRN,0.0013249316590161558,163,AGRN,AGRN,1,2
SELENOK,0.0013067841536936224,164,SELENOK,SELENOK,1,2
AMEX60DD054908,0.0012984473583998834,165,AMEX60DD054908,,1,2
NRP1,0.001280314854336578,166,NRP1,NRP1,1,2
SEMA5A,0.001274219216854928,167,SEMA5A,SEMA5A,2,1
NFASC,0.001270263642015022,168,NFASC,NFASC,2,1
NECTIN1,0.0012652796727245284,169,NECTIN1,NECTIN1,2,1
RGR,0.001249515200455721,170,RGR,RGR,1,2
C1QB,0.0012114391218796437,171,C1QB,C1QB,1,2
LOC115072993[nr] | AMEX60DD005903,0.0012020527722820503,172,LOC115072993,LOC115072993,1,2
CRABP2,0.001201298906104033,173,CRABP2,CRABP2,1,2
SULF2,0.0011746994576564028,174,SULF2,SULF2,1,2
BAIAP3,0.0011715783336697112,175,BAIAP3,BAIAP3,1,2
COL6A1,0.0011684408204058994,176,COL6A1,COL6A1,1,2
FGFBP3,0.0011650172166645227,177,FGFBP3,FGFBP3,1,2
CSMD2,0.0011647514629224618,178,CSMD2,CSMD2,2,1
MYT1L,0.0011611796541995205,179,MYT1L,MYT1L,2,1
DAD1,0.0011460724174971212,180,DAD1,DAD1,1,2
FOXP1,0.0011338967307736828,181,FOXP1,FOXP1,1,2
PLPPR3,0.0011324953587854988,182,PLPPR3,PLPPR3,1,2
HID1,0.0011002323065525876,183,HID1,HID1,1,2
FOSL2,0.0010956633595604105,184,FOSL2,FOSL2,1,2
LRRTM1,0.0010863348876914954,185,LRRTM1,LRRTM1,1,2
GRIN2B,0.0010798869476856445,186,GRIN2B,GRIN2B,2,1
ST6GALNAC6,0.0010732165841706325,187,ST6GALNAC6,ST6GALNAC6,1,2
BHMT,0.001072383862470494,188,BHMT,BHMT,1,2
LAMP5,0.0010622752654830883,189,LAMP5,LAMP5,2,1
NPY,0.0010479160664048975,190,NPY,NPY,2,1
KRTCAP2,0.0010367629958678124,191,KRTCAP2,KRTCAP2,1,2
CA14,0.001035920235919106,192,CA14,CA14,1,2
PMEPA1,0.001035819769148834,193,PMEPA1,PMEPA1,1,2
CDH2,0.001027594613357778,194,CDH2,CDH2,2,1
BCAN,0.0010251938994486917,195,BCAN,BCAN,1,2
PAX6,0.001020833242345111,196,PAX6,PAX6,2,1
MFAP2,0.0010138485863830265,197,MFAP2,MFAP2,1,2
CCND1,0.0010113616808223496,198,CCND1,CCND1,1,2
NEFM,0.0010087347299795027,199,NEFM,NEFM,1,2
FSTL4,0.0010058605004681358,200,FSTL4,FSTL4,2,1
NPPC,0.0010023313002495847,201,NPPC,NPPC,2,1
NTRK3,0.0009928642021838022,202,NTRK3,NTRK3,1,2
NCOA4,0.0009879572743983775,203,NCOA4,NCOA4,1,2
CD9,0.0009846921889014911,204,CD9,CD9,1,2
NEGR1,0.0009771676443514543,205,NEGR1,NEGR1,2,1
CNKSR2,0.0009623470349769946,206,CNKSR2,CNKSR2,2,1
RALYL,0.000960543505291363,207,RALYL,RALYL,2,1
nan | AMEX60DD000274,0.0009586496123904149,208,AMEX60DD000274,,1,2
HBE1__2,0.00095831167589875,209,HBE1__2,HBE1__2,1,2
MMP2__2,0.0009197410187658846,210,MMP2__2,MMP2__2,1,2
MCHR2,0.0009054088575724101,211,MCHR2,MCHR2,2,1
TENM2,0.0008881076937533138,212,TENM2,TENM2,1,2
GRN,0.0008876402498528894,213,GRN,GRN,1,2
PABPN1,0.0008736236483046887,214,PABPN1,PABPN1,1,2
SWAP70,0.0008706886011468442,215,SWAP70,SWAP70,2,1
NTSR1,0.0008558306059345998,216,NTSR1,NTSR1,2,1
MCM3,0.0008276605581425683,217,MCM3,MCM3,1,2
LOC108699649[nr] | AMEX60DD014991,0.000817735275553845,218,LOC108699649,LOC108699649,1,2
SLC16A1,0.0008142471578832618,219,SLC16A1,SLC16A1,1,2
SELENOH,0.0008108275728042657,220,SELENOH,SELENOH,1,2
nan | AMEX60DD016350,0.0008096578548004694,221,AMEX60DD016350,,1,2
BGN,0.0008014453577296204,222,BGN,BGN,1,2
EPHA3,0.000798201238459595,223,EPHA3,EPHA3,2,1
COL6A2,0.0007933890545314786,224,COL6A2,COL6A2,1,2
LFNG,0.0007905326205739283,225,LFNG,LFNG,1,2
GJA1,0.0007845369070001336,226,GJA1,GJA1,1,2
ETS2,0.0007843566912028221,227,ETS2,ETS2,1,2
NLGN3,0.0007827420000771358,228,NLGN3,NLGN3,1,2
TMEM167A,0.0007776883957051333,229,TMEM167A,TMEM167A,1,2
TSHZ1,0.0007695092090190504,230,TSHZ1,TSHZ1,2,1
ANXA4,0.0007654906820300173,231,ANXA4,ANXA4,1,2
PLXNA3,0.0007509546310187339,232,PLXNA3,PLXNA3,2,1
GPR37L1,0.0007492156987136,233,GPR37L1,GPR37L1,1,2
LRFN1,0.000743936140040226,234,LRFN1,LRFN1,2,1
NLGN2,0.0007432007964487556,235,NLGN2,NLGN2,1,2
NRN1,0.0007388465371238543,236,NRN1,NRN1,1,2
AMEX60DD041525,0.0007367973917022432,237,AMEX60DD041525,,2,1
NMB,0.0007347622480679259,238,NMB,NMB,2,1
CBLN2,0.0007144671776153108,239,CBLN2,CBLN2,2,1
CACNA1E,0.0007076430962581915,240,CACNA1E,CACNA1E,2,1
OLFM2,0.0007070757689810343,241,OLFM2,OLFM2,1,2
CYP7B1,0.0006966163397173546,242,CYP7B1,CYP7B1,2,1
CHSY3,0.0006961386166570173,243,CHSY3,CHSY3,2,1
AEBP1,0.0006951652379080951,244,AEBP1,AEBP1,1,2
AMEX60DDU001038372,0.0006949774590382725,245,AMEX60DDU001038372,,1,2
TMCC2,0.0006939295833404838,246,TMCC2,TMCC2,1,2
AMEX60DD053544,0.0006918228821564891,247,AMEX60DD053544,,2,1
SFRP1,0.0006891486398176693,248,SFRP1,SFRP1,1,2
ASIC2,0.0006863400581145593,249,ASIC2,ASIC2,1,2
PLXNA1,0.0006840357603779553,250,PLXNA1,PLXNA1,1,2
LOC115480479[nr] | AMEX60DD025374,0.0006810429609658002,251,LOC115480479,LOC115480479,1,2
AMEX60DD004787,0.000677650489821175,252,AMEX60DD004787,,1,2
PPP1R10,0.0006725763964637136,253,PPP1R10,PPP1R10,1,2
PTPRF,0.0006683144418033332,254,PTPRF,PTPRF,1,2
LOC106702273[nr] | AMEX60DD006662,0.0006523234475939933,255,LOC106702273,LOC106702273,1,2
LOC115094431[nr] | AMEX60DD022547,0.0006507182362167016,256,LOC115094431,LOC115094431,1,2
RALGPS1,0.000650029208058758,257,RALGPS1,RALGPS1,1,2
GAL3ST3,0.0006389797251635722,258,GAL3ST3,GAL3ST3,1,2
IGSF11,0.0006369554527253775,259,IGSF11,IGSF11,2,1
NDUFA8,0.0006353674470102618,260,NDUFA8,NDUFA8,1,2
PTPRR,0.000635145125741358,261,PTPRR,PTPRR,1,2
SLC7A3,0.0006255689668364213,262,SLC7A3,SLC7A3,1,2
DUSP1,0.0006186755490332597,263,DUSP1,DUSP1,1,2
PTPRT,0.0006074941809922174,264,PTPRT,PTPRT,2,1
GABRB2,0.000605465431256778,265,GABRB2,GABRB2,2,1
YARS1,0.0005958150654961879,266,YARS1,YARS1,1,2
BTBD6[nr] | AMEX60DD011029,0.0005851945178727558,267,BTBD6,BTBD6,1,2
AMEX60DD053827,0.0005793940040334878,268,AMEX60DD053827,,2,1
