display_order,title,time,origin,celltype,count,fraction,color
4,1.0 (generated),1.0,generated_global_t0,Cavity,11792,0.15511095326414376,#dfdce0ff
4,1.0 (generated),1.0,generated_global_t0,Lung,818,0.010759901608723676,#7ec136ff
4,1.0 (generated),1.0,generated_global_t0,Brain,18429,0.242413480131013,#ef833aff
4,1.0 (generated),1.0,generated_global_t0,Connective tissue,4506,0.05927153624560988,#0bd3b1ff
4,1.0 (generated),1.0,generated_global_t0,Epidermis,3781,0.049734948633966033,#036df4ff
4,1.0 (generated),1.0,generated_global_t0,Liver,3257,0.04284229772568828,#c923b1ff
4,1.0 (generated),1.0,generated_global_t0,Jaw and tooth,4821,0.06341501913894479,#f062f9ff
4,1.0 (generated),1.0,generated_global_t0,GI tract,3059,0.040237822764163475,#5c5ca6ff
4,1.0 (generated),1.0,generated_global_t0,Kidney,312,0.004104021151493627,#62cfe8ff
4,1.0 (generated),1.0,generated_global_t0,Choroid plexus,219,0.0028807071544137957,#bd3addff
4,1.0 (generated),1.0,generated_global_t0,Meninges,4330,0.05695644739092117,#dfca43ff
4,1.0 (generated),1.0,generated_global_t0,Muscle,11384,0.149744156373729,#af1041ff
4,1.0 (generated),1.0,generated_global_t0,Mesentery,268,0.003525248937821449,#e71d36ff
4,1.0 (generated),1.0,generated_global_t0,Mesothelium,371,0.00488010207437223,#ff8383ff
4,1.0 (generated),1.0,generated_global_t0,Heart,2205,0.029004380253344383,#d3245aff
4,1.0 (generated),1.0,generated_global_t0,Cartilage primordium,3257,0.04284229772568828,#3cb44bff
4,1.0 (generated),1.0,generated_global_t0,Spinal cord,368,0.004840640332530945,#f9d5baff
4,1.0 (generated),1.0,generated_global_t0,Dorsal root ganglion,2028,0.026676137484708574,#b74c11ff
4,1.0 (generated),1.0,generated_global_t0,Sympathetic nerve,124,0.0016310853294397747,#cc5a0dff
4,1.0 (generated),1.0,generated_global_t0,Mucosal epithelium,545,0.007168883101166752,#2f7dd1ff
4,1.0 (generated),1.0,generated_global_t0,Ovary,101,0.0013285453086565907,#55afd9ff
4,1.0 (generated),1.0,generated_global_t0,Smooth muscle,8,0.00010523131157675967,#fc5151ff
4,1.0 (generated),1.0,generated_global_t0,Pancreas,38,0.0004998487299896084,#739b1eff
4,1.0 (generated),1.0,generated_global_t0,Blood vessel,1,1.3153913947094959e-05,#b3a726ff
4,1.0 (generated),1.0,generated_global_t0,Adipose tissue,1,1.3153913947094959e-05,#bf024fff
5,1.5,1.5,generated_global_t0,Cartilage primordium,3454,0.03986473229227981,#3cb44bff
5,1.5,1.5,generated_global_t0,Lung,1273,0.014692473713975739,#7ec136ff
5,1.5,1.5,generated_global_t0,Brain,21568,0.2489295153676581,#ef833aff
5,1.5,1.5,generated_global_t0,Spinal cord,2418,0.027907620927253213,#f9d5baff
5,1.5,1.5,generated_global_t0,Cavity,13504,0.15585794582366724,#dfdce0ff
5,1.5,1.5,generated_global_t0,Epidermis,4320,0.04985976939856653,#036df4ff
5,1.5,1.5,generated_global_t0,Liver,4223,0.048740232909756126,#c923b1ff
5,1.5,1.5,generated_global_t0,Jaw and tooth,5877,0.06783006128596655,#f062f9ff
5,1.5,1.5,generated_global_t0,GI tract,2710,0.031277772006971134,#5c5ca6ff
5,1.5,1.5,generated_global_t0,Kidney,243,0.0028046120286693674,#62cfe8ff
5,1.5,1.5,generated_global_t0,Meninges,4111,0.04744757222164514,#dfca43ff
5,1.5,1.5,generated_global_t0,Muscle,7786,0.08986300105028681,#af1041ff
5,1.5,1.5,generated_global_t0,Connective tissue,9045,0.10439389217824868,#0bd3b1ff
5,1.5,1.5,generated_global_t0,Heart,2598,0.029985111318860152,#d3245aff
5,1.5,1.5,generated_global_t0,Adipose tissue,121,0.0013965352076913311,#bf024fff
5,1.5,1.5,generated_global_t0,Dorsal root ganglion,2278,0.02629179506711448,#b74c11ff
