display_order,title,time,origin,source_anchor_time,spatial_warp,n_cells,n_labels,x_q001,x_q01,x_median,x_q99,x_q999,y_q001,y_q01,y_median,y_q99,y_q999,robust_x_span_q01_q99,robust_y_span_q01_q99,robust_area_proxy,robust_aspect_y_over_x,central_x_span_q05_q95,central_y_span_q05_q95,nearest_neighbor_q50,nearest_neighbor_q99,nearest_neighbor_q999,nearest_neighbor_max,path,sha256
1,0.0 (observed),0.0,observed_real,0.0,False,51365,23,-1.1415056138038635,-1.0548424196243287,-0.04994087666273117,0.9753886222839356,1.0382435598373412,0.35989589762687685,0.4350125527381897,2.0695276260375977,3.5255462074279786,3.617817160606384,2.030231041908264,3.090533654689789,6.274497361813405,1.5222571179804838,1.6951629042625427,2.6898206830024716,0.005013845432311132,0.012407731896186063,0.017097777879636986,0.029762286868523002,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_si_shared_compute_20260825_v1/server_download/si-s4-s10-global-t0-n50000-dense13-2b3c79e-seed42-20260825-v1/s4/observed_t0.h5ad,567b4344aee1d7d83e66b4f828141ea8a75cd50c412bbb67b77160688ee9e2d4
2,0.0 (generated),0.0,generated_global_t0,0.0,False,50000,23,-1.1412097107172012,-1.0556651389598846,-0.05087917670607567,0.9754517066478732,1.038302998304366,0.35952813005447387,0.4349349904060364,2.068588972091675,3.525725133419037,3.6182887959480277,2.031116845607758,3.0907901430130007,6.277755925712117,1.5217195158893793,1.6941002368927,2.6907866239547715,0.005075443712370295,0.012564857562309037,0.01712018742462408,0.029762286868523002,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_si_shared_compute_20260825_v1/server_download/si-s4-s10-global-t0-n50000-dense13-2b3c79e-seed42-20260825-v1/generated_states/time_0.h5ad,0a8da2286bb583e0d3ec2abcf8fb63df22067cf90356b9aa761cb0f832f87911
3,0.5,0.5,generated_global_t0,0.0,False,63294,25,-1.202599795937538,-1.1058434343338013,-0.04994603246450424,1.0436783003807069,1.1174631762504588,0.27152511838078497,0.36213628977537154,2.0415443181991577,3.629313669204712,3.7438978242874152,2.149521734714508,3.26717737942934,7.022868788250955,1.5199554983161292,1.8397041350603103,2.876340290904045,0.0038009629252032523,0.014237096027570218,0.02386554067107922,0.061150291937895784,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_si_shared_compute_20260825_v1/server_download/si-s4-s10-global-t0-n50000-dense13-2b3c79e-seed42-20260825-v1/generated_states/time_0p5.h5ad,c93ced84bc95840fed0fbc8a8af2c72fbc152cadad35f3c83dce9fd7e86ab1f1
4,1.0 (generated),1.0,generated_global_t0,0.0,False,76023,25,-1.2727082226276398,-1.1624692678451538,-0.041334521025419235,1.1155093908309937,1.211966926574708,0.1722266627252102,0.2787403029203415,2.0375516414642334,3.752879066467285,3.8822854046821615,2.2779786586761475,3.4741387635469434,7.914013960639475,1.525097151509728,1.975449800491333,3.066918286681174,0.003936703430503936,0.014654436092424944,0.027530923267983703,0.06927555407960655,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_si_shared_compute_20260825_v1/server_download/si-s4-s10-global-t0-n50000-dense13-2b3c79e-seed42-20260825-v1/generated_states/time_1.h5ad,e9a06dbde3e5dc87e5c6274e4dbcfe37483a94ae87250c27e24c04bd8b2c7df1
5,1.5,1.5,generated_global_t0,0.0,False,86643,26,-1.3454884338378905,-1.2235881805419921,-0.0349542498588562,1.1934562849998473,1.3072439703941339,0.06708166566491126,0.19115591138601304,2.0560402870178223,3.875498766899109,4.017462368965145,2.4170444655418395,3.684342855513096,8.905220508076546,1.5243173669488785,2.0891652345657348,3.2488386720418925,0.004138914246655702,0.014954455816114109,0.0318358521173146,0.1196153524790835,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_si_shared_compute_20260825_v1/server_download/si-s4-s10-global-t0-n50000-dense13-2b3c79e-seed42-20260825-v1/generated_states/time_1p5.h5ad,df6fcdbb8750a2fb2be291f544ccb037abbeb557b7ad79fc0b1cbcad2a3d205b
6,2.0 (generated),2.0,generated_global_t0,0.0,False,94897,28,-1.4426527013778687,-1.2872989559173584,-0.03731444478034973,1.2598232603073116,1.3963076438903814,-0.03402119269967079,0.10048636794090271,2.0819690227508545,3.9990394306182853,4.152039161682133,2.54712221622467,3.8985530626773826,9.930091117076289,1.5305716537056457,2.1834672451019284,3.42205268740654,0.004308137838147344,0.01537070336346369,0.033510721230175594,0.164471246119378,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_si_shared_compute_20260825_v1/server_download/si-s4-s10-global-t0-n50000-dense13-2b3c79e-seed42-20260825-v1/generated_states/time_2.h5ad,14be08446516f28f7b669debc432409ed030a1506144f94c5d532f1f25112daf
7,2.5,2.5,generated_global_t0,0.0,False,100920,28,-1.539593407511711,-1.3512262117862701,-0.04301079921424389,1.3242650830745695,1.484613925337794,-0.14073973859846592,0.011148786563426261,2.107027053833008,4.118797430992125,4.284610592365268,2.67549129486084,4.107648644428699,10.989978190515913,1.5352876132764057,2.2694718599319446,3.5826228514313696,0.004483937977068336,0.016028466246073104,0.03781232407727912,0.20304979767239073,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_si_shared_compute_20260825_v1/server_download/si-s4-s10-global-t0-n50000-dense13-2b3c79e-seed42-20260825-v1/generated_states/time_2p5.h5ad,f06bd310f43bd538c0806bce64da4ccafd05db5f0f8576988f164bd3dfe3f2c5
8,3.0 (generated),3.0,generated_global_t0,0.0,False,105165,27,-1.6386568975448608,-1.4182331275939941,-0.05339530110359192,1.379941873550415,1.5761046891212447,-0.23308322280645372,-0.07092782497406004,2.1308345794677734,4.232190952301026,4.419437538146972,2.798175001144409,4.303118777275086,12.040879389526241,1.5378304700439316,2.346231508255004,3.740430435538292,0.004632752263343164,0.016946203133208198,0.04174737052659674,0.23809872320595443,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_si_shared_compute_20260825_v1/server_download/si-s4-s10-global-t0-n50000-dense13-2b3c79e-seed42-20260825-v1/generated_states/time_3.h5ad,5d68a7778d6ac70ce9d4232b1a3827ea6784c73908bf7828bc5bbd8e4735e78b
