condition,condition_label,condition_order,sender_type,receiver_type,pair_label,pair_order,reference_mean_D_AB_state,condition_mean_D_AB_state,condition_percentile,condition_rank_descending,n_directed_pairs
formal_seed44_cutoff1p2,"1.2×, seed 44",10,Nervous System,Nervous System,Nervous System → Nervous System,10,2.5767699415755927,1.4793627325521421,97.99426934097421,15.0,698
formal_seed44_cutoff1p2,"1.2×, seed 44",10,Spinal Cord Ventral Region,Fast Muscle Cell,Spinal Cord Ventral Region → Fast Muscle Cell,11,2.30249348445646,0.8511841312843944,97.56446991404012,18.0,698
alpha_expr_005_seed42_cutoff1p0,Expression 0.05,11,"Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer → Musculature System, Yolk Syncytial Layer",0,23.604977536873676,25.63211370690034,100.0,1.0,698
alpha_expr_005_seed42_cutoff1p0,Expression 0.05,11,Fast Muscle Cell,Fast Muscle Cell,Fast Muscle Cell → Fast Muscle Cell,1,10.634106021669831,10.657628862355072,99.8567335243553,2.0,698
alpha_expr_005_seed42_cutoff1p0,Expression 0.05,11,Spinal Cord Ventral Region,Spinal Cord Ventral Region,Spinal Cord Ventral Region → Spinal Cord Ventral Region,2,8.99144364987238,8.912515252110492,99.7134670487106,3.0,698
alpha_expr_005_seed42_cutoff1p0,Expression 0.05,11,Pigment Cell,Pigment Cell,Pigment Cell → Pigment Cell,3,5.859461148984961,5.950282444412639,99.5702005730659,4.0,698
alpha_expr_005_seed42_cutoff1p0,Expression 0.05,11,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region → Spinal Cord Dorsal Region,4,5.536850381900846,5.773306871817159,99.42693409742121,5.0,698
alpha_expr_005_seed42_cutoff1p0,Expression 0.05,11,"Musculature System, Yolk Syncytial Layer",Yolk Syncytial Layer,"Musculature System, Yolk Syncytial Layer → Yolk Syncytial Layer",5,4.326627911006477,4.781661629982296,99.2836676217765,6.0,698
alpha_expr_005_seed42_cutoff1p0,Expression 0.05,11,Eye,Eye,Eye → Eye,6,4.22893406444942,3.730413930895188,98.9971346704871,8.0,698
alpha_expr_005_seed42_cutoff1p0,Expression 0.05,11,Pronephros,Pronephros,Pronephros → Pronephros,7,4.172555226311167,4.508878284696955,99.14040114613181,7.0,698
alpha_expr_005_seed42_cutoff1p0,Expression 0.05,11,Spinal Cord Anterior Region,Spinal Cord Anterior Region,Spinal Cord Anterior Region → Spinal Cord Anterior Region,8,3.632030316478843,3.307544044978977,98.8538681948424,9.0,698
alpha_expr_005_seed42_cutoff1p0,Expression 0.05,11,Nervous System,Spinal Cord Anterior Region,Nervous System → Spinal Cord Anterior Region,9,3.4997444291859767,3.106850368547787,98.71060171919771,10.0,698
alpha_expr_005_seed42_cutoff1p0,Expression 0.05,11,Nervous System,Nervous System,Nervous System → Nervous System,10,2.5767699415755927,2.2679423916073764,98.28080229226362,13.0,698
alpha_expr_005_seed42_cutoff1p0,Expression 0.05,11,Spinal Cord Ventral Region,Fast Muscle Cell,Spinal Cord Ventral Region → Fast Muscle Cell,11,2.30249348445646,2.473380930773738,98.567335243553,11.0,698
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,12,"Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer → Musculature System, Yolk Syncytial Layer",0,23.604977536873676,23.595948764558347,100.0,1.0,698
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,12,Fast Muscle Cell,Fast Muscle Cell,Fast Muscle Cell → Fast Muscle Cell,1,10.634106021669831,9.391653057050313,99.8567335243553,2.0,698
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,12,Spinal Cord Ventral Region,Spinal Cord Ventral Region,Spinal Cord Ventral Region → Spinal Cord Ventral Region,2,8.99144364987238,6.901289015042766,99.7134670487106,3.0,698
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,12,Pigment Cell,Pigment Cell,Pigment Cell → Pigment Cell,3,5.859461148984961,4.111827304394521,99.42693409742121,5.0,698
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,12,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region → Spinal Cord Dorsal Region,4,5.536850381900846,5.6662484979555,99.5702005730659,4.0,698
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,12,"Musculature System, Yolk Syncytial Layer",Yolk Syncytial Layer,"Musculature System, Yolk Syncytial Layer → Yolk Syncytial Layer",5,4.326627911006477,3.6086437170448735,99.14040114613181,7.0,698
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,12,Eye,Eye,Eye → Eye,6,4.22893406444942,3.951818682507478,99.2836676217765,6.0,698
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,12,Pronephros,Pronephros,Pronephros → Pronephros,7,4.172555226311167,3.543629961107677,98.9971346704871,8.0,698
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,12,Spinal Cord Anterior Region,Spinal Cord Anterior Region,Spinal Cord Anterior Region → Spinal Cord Anterior Region,8,3.632030316478843,3.4890563741488063,98.8538681948424,9.0,698
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,12,Nervous System,Spinal Cord Anterior Region,Nervous System → Spinal Cord Anterior Region,9,3.4997444291859767,3.1316066193435628,98.71060171919771,10.0,698
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,12,Nervous System,Nervous System,Nervous System → Nervous System,10,2.5767699415755927,2.469061252121354,98.42406876790831,12.0,698
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,12,Spinal Cord Ventral Region,Fast Muscle Cell,Spinal Cord Ventral Region → Fast Muscle Cell,11,2.30249348445646,1.7344607971711856,98.13753581661891,14.0,698
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,13,"Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer → Musculature System, Yolk Syncytial Layer",0,23.604977536873676,14.23870028946514,100.0,1.0,698
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,13,Fast Muscle Cell,Fast Muscle Cell,Fast Muscle Cell → Fast Muscle Cell,1,10.634106021669831,6.6792145234243705,99.7134670487106,3.0,698
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,13,Spinal Cord Ventral Region,Spinal Cord Ventral Region,Spinal Cord Ventral Region → Spinal Cord Ventral Region,2,8.99144364987238,2.638453927417116,99.14040114613181,7.0,698
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,13,Pigment Cell,Pigment Cell,Pigment Cell → Pigment Cell,3,5.859461148984961,3.988147137933984,99.42693409742121,5.0,698
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,13,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region → Spinal Cord Dorsal Region,4,5.536850381900846,7.364779022344865,99.8567335243553,2.0,698
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,13,"Musculature System, Yolk Syncytial Layer",Yolk Syncytial Layer,"Musculature System, Yolk Syncytial Layer → Yolk Syncytial Layer",5,4.326627911006477,2.6144150288667687,98.9971346704871,8.0,698
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,13,Eye,Eye,Eye → Eye,6,4.22893406444942,1.1413685544758825,98.13753581661891,14.0,698
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,13,Pronephros,Pronephros,Pronephros → Pronephros,7,4.172555226311167,3.1639126191256457,99.2836676217765,6.0,698
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,13,Spinal Cord Anterior Region,Spinal Cord Anterior Region,Spinal Cord Anterior Region → Spinal Cord Anterior Region,8,3.632030316478843,1.088689755361464,97.99426934097421,15.0,698
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,13,Nervous System,Spinal Cord Anterior Region,Nervous System → Spinal Cord Anterior Region,9,3.4997444291859767,0.9291011212891512,97.56446991404012,18.0,698
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,13,Nervous System,Nervous System,Nervous System → Nervous System,10,2.5767699415755927,1.0783918221686333,97.85100286532952,16.0,698
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,13,Spinal Cord Ventral Region,Fast Muscle Cell,Spinal Cord Ventral Region → Fast Muscle Cell,11,2.30249348445646,1.3239558588962614,98.567335243553,11.0,698
