condition,condition_label,condition_order,sender_type,receiver_type,pair_label,pair_order,reference_mean_D_AB_state,condition_mean_D_AB_state,condition_percentile,condition_rank_descending,n_directed_pairs
formal_seed44_cutoff1p0,Seed 44,2,Spinal Cord Ventral Region,Spinal Cord Ventral Region,Spinal Cord Ventral Region → Spinal Cord Ventral Region,2,8.99144364987238,5.840252637426686,99.8567335243553,2.0,698
formal_seed44_cutoff1p0,Seed 44,2,Pigment Cell,Pigment Cell,Pigment Cell → Pigment Cell,3,5.859461148984961,2.1201168872705267,98.71060171919771,10.0,698
formal_seed44_cutoff1p0,Seed 44,2,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region → Spinal Cord Dorsal Region,4,5.536850381900846,2.556887973770088,98.9971346704871,8.0,698
formal_seed44_cutoff1p0,Seed 44,2,"Musculature System, Yolk Syncytial Layer",Yolk Syncytial Layer,"Musculature System, Yolk Syncytial Layer → Yolk Syncytial Layer",5,4.326627911006477,4.348850786699758,99.7134670487106,3.0,698
formal_seed44_cutoff1p0,Seed 44,2,Eye,Eye,Eye → Eye,6,4.22893406444942,2.51242829947255,98.8538681948424,9.0,698
formal_seed44_cutoff1p0,Seed 44,2,Pronephros,Pronephros,Pronephros → Pronephros,7,4.172555226311167,2.9656219847987426,99.42693409742121,5.0,698
formal_seed44_cutoff1p0,Seed 44,2,Spinal Cord Anterior Region,Spinal Cord Anterior Region,Spinal Cord Anterior Region → Spinal Cord Anterior Region,8,3.632030316478843,2.5991864119709813,99.14040114613181,7.0,698
formal_seed44_cutoff1p0,Seed 44,2,Nervous System,Spinal Cord Anterior Region,Nervous System → Spinal Cord Anterior Region,9,3.4997444291859767,2.605128906567575,99.2836676217765,6.0,698
formal_seed44_cutoff1p0,Seed 44,2,Nervous System,Nervous System,Nervous System → Nervous System,10,2.5767699415755927,1.6868361859713203,98.28080229226362,13.0,698
formal_seed44_cutoff1p0,Seed 44,2,Spinal Cord Ventral Region,Fast Muscle Cell,Spinal Cord Ventral Region → Fast Muscle Cell,11,2.30249348445646,0.8236455341721488,97.27793696275072,20.0,698
