condition_a,condition_b,component,space,n_valid_cells,valid_cell_fraction,cosine_median,cosine_q25,cosine_q75,cosine_mean,flattened_cosine,setting,replicate
formal_seed42_cutoff1p2,formal_seed42_cutoff1p0,total,joint,11999,1.0,0.9946821331977844,0.9640856385231018,0.9972251951694489,0.9574064612388611,0.9537904262542725,Neighborhood 1.2×,42
formal_seed42_cutoff1p2,formal_seed42_cutoff1p0,total,spatial,11999,1.0,0.9982962608337402,0.9882328808307648,0.9997942447662354,0.9487947225570679,0.9683386087417603,Neighborhood 1.2×,42
formal_seed42_cutoff1p2,formal_seed42_cutoff1p0,total,state,11999,1.0,0.9946590065956116,0.9640202820301056,0.997239887714386,0.9572221040725708,0.9537529945373535,Neighborhood 1.2×,42
formal_seed42_cutoff1p2,formal_seed42_cutoff1p0,intrinsic,joint,11999,1.0,0.9969778060913086,0.9959700703620911,0.9976994395256042,0.9956434965133667,0.9958595633506775,Neighborhood 1.2×,42
formal_seed42_cutoff1p2,formal_seed42_cutoff1p0,intrinsic,spatial,11999,1.0,0.9992785453796387,0.9963949024677277,0.9999057948589325,0.9843683242797852,0.9983007907867432,Neighborhood 1.2×,42
formal_seed42_cutoff1p2,formal_seed42_cutoff1p0,intrinsic,state,11999,1.0,0.9969611167907715,0.9958755671977997,0.9977072179317474,0.9956139922142029,0.9958102703094482,Neighborhood 1.2×,42
formal_seed42_cutoff1p2,formal_seed42_cutoff1p0,interaction,joint,4711,0.39261605133761146,0.9256817102432251,0.814326673746109,0.9787942171096802,0.8382692337036133,0.9421311020851135,Neighborhood 1.2×,42
formal_seed42_cutoff1p2,formal_seed42_cutoff1p0,interaction,spatial,4711,0.39261605133761146,0.9098419547080994,0.33548398315906525,0.9916232228279114,0.540009081363678,0.7285941243171692,Neighborhood 1.2×,42
formal_seed42_cutoff1p2,formal_seed42_cutoff1p0,interaction,state,4711,0.39261605133761146,0.9260686039924622,0.8148419559001923,0.9793795943260193,0.8385416269302368,0.9422106742858887,Neighborhood 1.2×,42
formal_seed42_cutoff1p2,formal_seed42_cutoff1p0,growth,scalar,11999,1.0,0.9925465774317502,,,0.9925465774317502,0.9925465774317502,Neighborhood 1.2×,42
formal_seed43_cutoff1p2,formal_seed43_cutoff1p0,total,joint,11999,1.0,0.9959456324577332,0.9898636341094971,0.998378336429596,0.9848143458366394,0.974532961845398,Neighborhood 1.2×,43
formal_seed43_cutoff1p2,formal_seed43_cutoff1p0,total,spatial,11999,1.0,0.9993200302124023,0.9956025779247284,0.9999051988124847,0.9775695204734802,0.9919168949127197,Neighborhood 1.2×,43
formal_seed43_cutoff1p2,formal_seed43_cutoff1p0,total,state,11999,1.0,0.9957917928695679,0.9898677468299866,0.9983883798122406,0.9845036864280701,0.9744626879692078,Neighborhood 1.2×,43
formal_seed43_cutoff1p2,formal_seed43_cutoff1p0,intrinsic,joint,11999,1.0,0.9973283410072327,0.9958943724632263,0.9988386332988739,0.9972507357597351,0.9965673685073853,Neighborhood 1.2×,43
