condition,condition_label,time,n_cells,interaction_fraction_median,interaction_fraction_q25,interaction_fraction_q75
formal_seed47_cutoff1p0,Seed 47,3.0,3048,0.27969640493392944,0.0,0.4363287165760994
formal_seed47_cutoff1p0,Seed 47,4.0,5271,0.5619626045227051,0.0,0.7362319529056549
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,0.0,563,0.0,0.0,0.0
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,1.0,1036,0.0,0.0,0.0
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,2.0,2081,0.0,0.0,0.0
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,3.0,3048,0.2863907814025879,0.0,0.42909687012434006
ot_mass_10_to_1_seed42_cutoff1p0,Transport:mass 10:1,4.0,5271,0.6175833940505981,0.0,0.7933779358863831
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,0.0,563,0.0,0.0,0.0
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,1.0,1036,0.0,0.0,0.0
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,2.0,2081,0.0,0.0,0.0
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,3.0,3048,0.3474458158016205,0.0,0.5610159039497375
ot_mass_1_to_10_seed42_cutoff1p0,Transport:mass 1:10,4.0,5271,0.5385483503341675,0.0,0.7973826825618744
