time,cell_index,celltype,current_x,current_y,paper_x,paper_y,direct_spatial_vx,direct_spatial_vy,direct_embedded_vx,direct_embedded_vy,display_direct_embedded_vx_paper_basis,display_direct_embedded_vy_paper_basis,full_embedded_vx,full_embedded_vy,interaction_embedded_vx,interaction_embedded_vy,cosine_full_vs_interaction,in_roi,in_nested_red_display_annotation
1.0,3975,MSN,-0.6106964,0.026224352,-0.6041340827941895,0.0347184538841247,-0.03405972,0.012495488,-0.0036701823,0.002946076,-0.0033764018652832108,0.00328834414517222,0.008205573,0.0014394531,-0.0036095474,0.002659024,-0.6905347,False,False
1.0,3976,MSN,0.6313007,-0.0065323114,0.6172940135002136,-0.1531492471694946,0.008055412,0.048909813,-0.0038002573,0.002859454,-0.0035143639555676597,0.0032144550938250035,-0.0046140463,-0.00023943129,0.0011580507,-0.0023802228,-0.39031032,False,False
1.0,3977,dpEX,0.4393006,0.017012507,0.4273535013198852,-0.106447048485279,0.015402404,-0.03654877,0.0026780213,-0.0046920762,0.0022201235959125494,-0.004933797931805427,0.003701449,0.0013753711,-0.0024821474,-0.0037463305,-0.8080981,False,False
1.0,3978,mpEX,0.16959885,0.023539826,0.1910351514816284,-0.06101506203413,-0.039578862,-0.011066839,-0.0029895115,0.0028298663,-0.002709010076108508,0.0031073003296918492,-0.0046497006,-0.00030367772,0.002723498,0.00092534785,-0.96579397,False,False
1.0,3979,wntEGC,-0.41375506,0.02660295,-0.4086492359638214,0.0057284068316221,-0.0211647,-0.027597632,0.0027869786,-0.004071513,0.002388180190957335,-0.004325629596894622,-0.008922834,0.0006659378,0.008331311,0.0008539947,-0.9844392,False,False
1.0,3980,scgnIN,-0.6760855,0.0087053925,-0.6569392681121826,0.0183851476758718,-0.048215486,-0.0027461334,-0.0030029635,0.0036810308,-0.002640887538828462,0.003957068116759051,0.0047596795,0.0010161843,0.00091457606,-0.004282836,4.401475e-05,False,False
1.0,3981,MSN,-0.7237573,0.024281539,-0.705672025680542,0.0267259832471609,-0.04117588,-0.010592801,-0.003409092,0.003120421,-0.0030994350340634923,0.0034371295402956543,0.00095811766,0.0004641558,0.0043009724,-0.0008649515,0.7963345,False,False
1.0,3982,tlNBL,0.54399985,-0.025307044,0.5668584704399109,-0.1472825407981872,0.019093674,0.015220668,0.0032872502,-0.0031270091,0.0029773464533561947,-0.0034320258286498896,-0.0056810086,1.4996678e-05,0.004096439,0.00070986577,-0.9848612,False,False
1.0,3983,sfrpEGC,0.51172054,-0.05629891,0.5173447728157043,-0.1366969496011734,0.05229206,-0.051923573,0.0039603733,-0.0025828083,0.0037004743922995453,-0.002954019574161509,-0.0012612732,-0.0018925715,-0.006872924,-0.0030168772,0.8422638,False,False
1.0,3984,wntEGC,0.47985438,-0.01798731,0.4691510200500488,-0.1133651807904243,-0.06086942,-0.091818295,0.003944839,-0.0023523658,0.003707062775722003,-0.002722816068611866,0.0060116397,-0.00065806176,0.00541878,-0.0005433897,0.9999587,False,False
1.0,3985,obNBL,-0.91492206,0.048279323,-0.928129255771637,0.0702464655041694,-0.026411753,0.004823826,-0.00094451045,0.00345679,-0.0006104084925673983,0.0035363577923036454,0.00068129174,0.0019466289,-0.00072898,-0.0014088996,-0.99010164,False,False
1.0,3986,nptxEX,0.73717093,-0.007817894,0.7448383569717407,-0.1513651013374328,0.042883165,0.012098004,0.0024066353,-0.0040648472,0.002009675367451683,-0.004282552019191584,0.002910365,0.00072979095,0.0017444092,0.0026103624,0.7411602,False,False
1.0,3987,tlNBL,-0.5946036,0.044705316,-0.5630012154579163,0.0011358503252267,-0.048686497,0.0028963753,-0.003122505,0.003375566,-0.002789312066935273,0.0036640178563442905,0.0067064143,-0.0011022052,-0.0043903603,0.0039911442,-0.83924186,False,False
1.0,3988,obNBL,-0.8553964,0.0069256276,-0.848406195640564,0.0518256649374961,-0.036297474,0.029123673,-0.0036124815,0.0029799673,-0.00331563670702718,0.0033166014204154613,-3.2639368e-06,0.0012958766,-0.004971456,0.0039249407,0.62162954,False,False
1.0,3989,scgnIN,0.6595491,0.017172128,0.6688518524169922,-0.1593711972236633,0.03363131,0.026937779,0.0042831707,-0.002751212,0.0040061221150993745,-0.003152812522958447,-0.006769934,-0.0011612254,0.0028038346,-0.0017091231,-0.7535849,False,False
1.0,3990,mpEX,-0.050192103,0.023004606,-0.0421229936182498,-0.0628321468830108,-0.02715775,-0.009436164,-0.0035189074,0.002669391,-0.00325210751616587,0.0029980416025231025,0.008337064,0.0049375617,-0.006478551,0.00093068107,-0.77922046,False,False
