label,offset_x_points,offset_y_points
reaEGC,41.0110360967469,-6.302163136567422
sfrpEGC,22.285066220334244,-35.433278954496295
wntEGC,25.625668540262648,8.906876537250733
ribEGC,25.934365156957124,-31.401462281484527
rIPC4,9.639510483989232,-4.0004799517964225
rIPC1,22.080532493025462,-3.3481636891550393
rIPC2,19.506805190141716,18.661217827491487
dpEX,-15.153165187015007,12.477736249593212
mpEX,-11.20251928225195,38.81705190001681
nptxEX,-44.64125538960064,4.8918762615697915
scgnIN,-18.593910357742782,-20.501499166219997
Other,39.161275194169214,-30.302943392639126
