space,time,mean_w2,sd_w2,n,min_w2,max_w2,mean_n_predicted,sd_n_predicted,se_w2,ci95_halfwidth
gene,1.0,1.0005852298953137,0.00471342910190178,10,0.9956480745747636,1.0110584556732354,7312.5,33.81403390441448,0.0014905171551731506,0.0033717840587632678
gene,2.0,1.179081491788939,0.003419969661355832,10,1.1744060434904504,1.185134954532898,9429.1,53.46327919443601,0.0010814893658559165,0.0024464989153991736
gene,3.0,1.2819595389574903,0.0035163730158158835,10,1.2771288012419235,1.2884422541845852,10083.0,65.61334552597592,0.0011119747832733478,0.002515461720769165
physical,1.0,0.0224812133093761,0.0003430917399032857,10,0.0219658566898981,0.0230672868655903,7312.5,33.81403390441448,0.00010849513444844604,0.00024543304551509905
physical,2.0,0.02608318968070248,0.001092988962845031,10,0.0250989251190871,0.028882487868599,9429.1,53.46327919443601,0.0003456334580015448,0.0007818772027011321
physical,3.0,0.02852015712801964,0.0014388015109468894,10,0.0272631390505911,0.0317853953097376,10083.0,65.61334552597592,0.00045498898754838576,0.0010292565971508525
