pair_id,center_time,normalized_prominence
"[""Bmp8a"",""Acvr1_Acvr2b""]",0.5,-0.09183740191788758
"[""Bmp8a"",""Acvr1_Bmpr2""]",0.5,-0.10685079318795876
"[""Bmp8a"",""Bmpr1a_Acvr2a""]",0.5,-0.06605317357309126
"[""Bmp8a"",""Bmpr1a_Acvr2b""]",0.5,-0.09819186062477214
"[""Bmp8a"",""Bmpr1a_Bmpr2""]",0.5,-0.09552596433042487
"[""Bmp8a"",""Bmpr1b_Acvr2a""]",0.5,-0.06942398179357911
"[""Bmp8a"",""Bmpr1b_Acvr2b""]",0.5,-0.09852460256867418
"[""Bmp8a"",""Bmpr1b_Bmpr2""]",0.5,-0.13514980012225591
"[""Bmp8b"",""Acvr1_Acvr2a""]",0.5,-0.004267986122309275
"[""Bmp8b"",""Acvr1_Acvr2b""]",0.5,0.002416793675311779
"[""Bmp8b"",""Acvr1_Bmpr2""]",0.5,-0.015030782048188529
"[""Bmp8b"",""Bmpr1a_Acvr2a""]",0.5,0.03557079792276152
"[""Bmp8b"",""Bmpr1a_Acvr2b""]",0.5,-0.008851677379515421
"[""Bmp8b"",""Bmpr1a_Bmpr2""]",0.5,-0.0025040553276045596
"[""Bmp8b"",""Bmpr1b_Acvr2a""]",0.5,0.028905881664299193
"[""Bmp8b"",""Bmpr1b_Acvr2b""]",0.5,-0.009289253604114034
"[""Bmp8b"",""Bmpr1b_Bmpr2""]",0.5,-0.05335194302809543
"[""Btc"",""Egfr""]",0.5,-0.0984699196504758
"[""Btc"",""Egfr_Erbb2""]",0.5,0.021985258392043128
"[""Btc"",""Erbb2_Erbb4""]",0.5,0.025268599933867653
"[""Btc"",""Erbb4""]",0.5,-0.06114603549614639
"[""Btla"",""Tnfrsf14""]",0.5,-0.10938990914445146
"[""C3"",""C3ar1""]",0.5,0.15287213543836842
"[""C3"",""Cr2""]",0.5,-0.02122740673480239
"[""C3"",""Itgam_Itgb2""]",0.5,0.0030213032115201655
"[""C3"",""Itgax_Itgb2""]",0.5,0.003386392598493826
"[""C4b"",""Cr2""]",0.5,0.06237412157357791
"[""Cadm1"",""Cadm1""]",0.5,-0.12871399236235653
"[""Cadm3"",""Cadm3""]",0.5,0.47304315191779267
"[""Calca"",""Calcr""]",0.5,0.040858169071638084
"[""Calca"",""Calcrl""]",0.5,-0.1372958381633576
"[""Calcb"",""Calcr""]",0.5,0.2678624914068195
"[""Calcb"",""Calcrl""]",0.5,-0.014140544165709312
"[""Cck"",""Cckar""]",0.5,0.1353273983788229
"[""Cck"",""Cckbr""]",0.5,0.26395976374828156
"[""Ccl1"",""Ackr1""]",0.5,0.7244879386660114
"[""Ccl1"",""Ackr4""]",0.5,0.018236647374151205
"[""Ccl11"",""Ackr1""]",0.5,0.5428829437147877
"[""Ccl11"",""Ackr2""]",0.5,0.03888546048412844
"[""Ccl12"",""Ccr2""]",0.5,0.05174770757872338
"[""Ccl17"",""Ackr1""]",0.5,0.4587037944378318
"[""Ccl17"",""Ackr2""]",0.5,0.04603097217763974
"[""Ccl17"",""Ccr4""]",0.5,-0.06618350696795805
