cluster,time,mean,std,n_profiles
1,0.0,0.9970785561220685,0.023396168605189394,1632
1,0.5,0.5977903133055488,0.1455930535953323,1632
1,1.0,0.26390969219898724,0.10746178979444093,1632
1,1.5,0.1568917305046866,0.09552629616580166,1632
1,2.0,0.08771961788753792,0.06682798151199502,1632
1,2.5,0.02158485578650924,0.024644783972701378,1632
1,3.0,0.003618723423555717,0.024528110327853705,1632
2,0.0,0.5894183139886472,0.2661875576881747,108
2,0.5,0.9946749723017656,0.02995445981719901,108
2,1.0,0.6886170485686874,0.13641193350587677,108
2,1.5,0.6224806872277172,0.15013278480999093,108
2,2.0,0.46516336060552316,0.13934526066821581,108
2,2.5,0.15027815224961524,0.07905751363330513,108
2,3.0,0.009911424744194005,0.03491100775017249,108
3,0.0,0.0,0.0,17
3,0.5,0.7452511691424456,0.18836508100982075,17
3,1.0,0.733687177218929,0.19587474735495133,17
3,1.5,0.9299252889720266,0.06062043634594919,17
3,2.0,0.918305188924614,0.10364140707139903,17
3,2.5,0.6075739114753843,0.14089998151732114,17
3,3.0,0.5239408032935639,0.23267865456819253,17
