time,pair_id,ligand,receptor,pair,score,max_edge,nonzero_edges,n_cell_types,n_expression_supported_cell_types,n_expression_unsupported_cell_types,n_expression_supported_type_edges,peak_sender,peak_receiver
1.5,"[""Adm"",""Calcr""]",Adm,Calcr,Adm_Calcr,2.7416265543515324,0.4899903281981187,206,24,24,0,576,Brain,Brain
2.0,"[""Adm"",""Calcr""]",Adm,Calcr,Adm_Calcr,2.37605275314161,0.5320835458178881,218,27,27,0,729,Brain,Brain
2.5,"[""Adm"",""Calcr""]",Adm,Calcr,Adm_Calcr,1.8944612118786774,0.45508559768308543,235,26,26,0,676,Brain,Brain
3.0,"[""Adm"",""Calcr""]",Adm,Calcr,Adm_Calcr,1.6510413271319277,0.3940418593903878,254,27,27,0,729,Brain,Brain
0.0,"[""Adm"",""Calcrl""]",Adm,Calcrl,Adm_Calcrl,81.35861143496467,19.259246401435757,193,23,23,0,529,Heart,Heart
0.5,"[""Adm"",""Calcrl""]",Adm,Calcrl,Adm_Calcrl,45.41499952308135,10.641404054364305,229,25,25,0,625,Heart,Heart
1.0,"[""Adm"",""Calcrl""]",Adm,Calcrl,Adm_Calcrl,22.597695661938396,3.5135026391711857,205,23,23,0,529,Heart,Muscle
1.5,"[""Adm"",""Calcrl""]",Adm,Calcrl,Adm_Calcrl,16.272615700123673,2.6614250496701275,206,24,24,0,576,Heart,Heart
2.0,"[""Adm"",""Calcrl""]",Adm,Calcrl,Adm_Calcrl,12.431745537986444,2.0517457269609056,218,27,27,0,729,Heart,Heart
2.5,"[""Adm"",""Calcrl""]",Adm,Calcrl,Adm_Calcrl,9.343933826100402,1.5649573756170851,235,26,26,0,676,Connective tissue,Connective tissue
3.0,"[""Adm"",""Calcrl""]",Adm,Calcrl,Adm_Calcrl,7.820793199290776,1.2659747046761254,254,27,27,0,729,Connective tissue,Connective tissue
0.0,"[""Agrn"",""Dag1""]",Agrn,Dag1,Agrn_Dag1,23721.684588420532,3592.9996451282896,193,23,23,0,529,Muscle,Muscle
0.5,"[""Agrn"",""Dag1""]",Agrn,Dag1,Agrn_Dag1,17348.261948582636,3143.133513835324,229,25,25,0,625,Muscle,Muscle
1.0,"[""Agrn"",""Dag1""]",Agrn,Dag1,Agrn_Dag1,10615.594727634141,1562.770760154205,205,23,23,0,529,Muscle,Muscle
1.5,"[""Agrn"",""Dag1""]",Agrn,Dag1,Agrn_Dag1,8388.047036835744,1423.4027174501034,206,24,24,0,576,Brain,Brain
2.0,"[""Agrn"",""Dag1""]",Agrn,Dag1,Agrn_Dag1,7078.671275406365,1481.3109227830205,218,27,27,0,729,Brain,Brain
2.5,"[""Agrn"",""Dag1""]",Agrn,Dag1,Agrn_Dag1,5748.704884924853,1279.8731618540926,235,26,26,0,676,Brain,Brain
3.0,"[""Agrn"",""Dag1""]",Agrn,Dag1,Agrn_Dag1,5400.199421723362,1188.6837340366458,254,27,27,0,729,Brain,Brain
0.0,"[""Agt"",""Agtr1a""]",Agt,Agtr1a,Agt_Agtr1a,27.570370820793677,12.632363264977284,193,23,23,0,529,Liver,Liver
0.5,"[""Agt"",""Agtr1a""]",Agt,Agtr1a,Agt_Agtr1a,23.122125162048334,11.012274587327147,229,25,25,0,625,Liver,Liver
1.0,"[""Agt"",""Agtr1a""]",Agt,Agtr1a,Agt_Agtr1a,18.402617687925122,10.087588222568302,205,23,23,0,529,Liver,Liver
1.5,"[""Agt"",""Agtr1a""]",Agt,Agtr1a,Agt_Agtr1a,17.689308003331668,10.219820756383712,206,24,24,0,576,Liver,Liver
2.0,"[""Agt"",""Agtr1a""]",Agt,Agtr1a,Agt_Agtr1a,14.512228178089927,7.8525040481844,218,27,27,0,729,Liver,Liver
2.5,"[""Agt"",""Agtr1a""]",Agt,Agtr1a,Agt_Agtr1a,12.204318721454632,6.640224528656982,235,26,26,0,676,Liver,Liver
3.0,"[""Agt"",""Agtr1a""]",Agt,Agtr1a,Agt_Agtr1a,12.220347965000851,7.278744744951979,254,27,27,0,729,Liver,Liver
0.0,"[""Agt"",""Agtr1b""]",Agt,Agtr1b,Agt_Agtr1b,1.75548541094903,0.29480378115931793,193,23,23,0,529,Liver,Liver
0.5,"[""Agt"",""Agtr1b""]",Agt,Agtr1b,Agt_Agtr1b,1.518931758811454,0.334928541650885,229,25,25,0,625,Liver,Liver
1.0,"[""Agt"",""Agtr1b""]",Agt,Agtr1b,Agt_Agtr1b,1.2593284599983496,0.3983930387354245,205,23,23,0,529,Liver,Liver
1.5,"[""Agt"",""Agtr1b""]",Agt,Agtr1b,Agt_Agtr1b,1.2471665021967895,0.47446104690853824,206,24,24,0,576,Liver,Liver
2.0,"[""Agt"",""Agtr1b""]",Agt,Agtr1b,Agt_Agtr1b,1.128455495073449,0.4035880415888048,218,27,27,0,729,Liver,Liver
2.5,"[""Agt"",""Agtr1b""]",Agt,Agtr1b,Agt_Agtr1b,1.026429403922915,0.3683050226955755,235,26,26,0,676,Liver,Liver
3.0,"[""Agt"",""Agtr1b""]",Agt,Agtr1b,Agt_Agtr1b,1.0895804908085926,0.44663034596100964,254,27,27,0,729,Liver,Liver
0.0,"[""Agt"",""Mas1""]",Agt,Mas1,Agt_Mas1,9.796097818632868,1.2619919845472614,193,23,23,0,529,Liver,Muscle
0.5,"[""Agt"",""Mas1""]",Agt,Mas1,Agt_Mas1,8.584480829092042,1.7412460315331308,229,25,25,0,625,Liver,Liver
1.0,"[""Agt"",""Mas1""]",Agt,Mas1,Agt_Mas1,6.647835781669712,1.9734922432873856,205,23,23,0,529,Liver,Liver
1.5,"[""Agt"",""Mas1""]",Agt,Mas1,Agt_Mas1,6.261813605772528,2.241116124468083,206,24,24,0,576,Liver,Liver
