variant,reference,timepoint,velocity_key,celltype,n_cells,mean_cosine_rigid_adjusted,median_cosine_rigid_adjusted
baseline_repeat,accepted_baseline,D10,interaction,Mural cells,3,0.29766617610144736,0.8645970056612081
baseline_repeat,accepted_baseline,D10,interaction,TMSB4X high cells,13,0.906936101899164,0.9402821404181129
baseline_repeat,accepted_baseline,D10,interaction,Valve cells,46,0.2002431360086883,0.5326287433958897
baseline_repeat,accepted_baseline,D10,interaction,Vascular endothelial cells,50,0.6012761114781167,0.9101514903667034
baseline_repeat,accepted_baseline,D14,full,Cardiomyocytes-1,977,0.9825936609567552,0.9982658302305466
baseline_repeat,accepted_baseline,D14,full,Cardiomyocytes-2,1,0.9631777368209484,0.9631777368209484
baseline_repeat,accepted_baseline,D14,full,Endocardial cells,28,0.9898044024846745,0.9971708109905097
baseline_repeat,accepted_baseline,D14,full,Epi-epithelial cells,6,0.9991228293828233,0.9994002789611163
baseline_repeat,accepted_baseline,D14,full,Erythrocytes,241,0.9952268137544247,0.9986799675089262
baseline_repeat,accepted_baseline,D14,full,Fibroblast cells,264,0.99217327903619,0.9973541883546264
baseline_repeat,accepted_baseline,D14,full,Immature myocardial cells,203,0.9896328971141695,0.9983728149176306
baseline_repeat,accepted_baseline,D14,full,Macrophages,3,0.9964049094778082,0.999725960292598
baseline_repeat,accepted_baseline,D14,full,Mural cells,46,0.9780675704281768,0.9979379841777178
baseline_repeat,accepted_baseline,D14,full,TMSB4X high cells,101,0.9969079672040712,0.9995380134644063
baseline_repeat,accepted_baseline,D14,full,Valve cells,20,0.985981785579588,0.9979588974678392
baseline_repeat,accepted_baseline,D14,full,Vascular endothelial cells,77,0.9867863643505269,0.9948681372816991
baseline_repeat,accepted_baseline,D14,interaction,Cardiomyocytes-1,977,0.8450718513430692,0.9735620482722679
baseline_repeat,accepted_baseline,D14,interaction,Endocardial cells,28,0.7700414780872006,0.9764629380069404
baseline_repeat,accepted_baseline,D14,interaction,Epi-epithelial cells,6,0.8999150327492496,0.9677741951156253
baseline_repeat,accepted_baseline,D14,interaction,Erythrocytes,241,0.8528182118605666,0.9788582358502784
baseline_repeat,accepted_baseline,D14,interaction,Fibroblast cells,264,0.78681831408944,0.9643436643223151
baseline_repeat,accepted_baseline,D14,interaction,Immature myocardial cells,203,0.8323137286287068,0.9703546745250429
baseline_repeat,accepted_baseline,D14,interaction,Mural cells,46,0.7966254427238436,0.974823236472307
baseline_repeat,accepted_baseline,D14,interaction,TMSB4X high cells,101,0.830564629807618,0.9559621355779009
baseline_repeat,accepted_baseline,D14,interaction,Valve cells,20,0.7838404718743409,0.9192490117430948
baseline_repeat,accepted_baseline,D14,interaction,Vascular endothelial cells,77,0.8448597255808292,0.9763430156530671
