cytobridge_view,external_method,n_pairs,n_strata,n_permutations,adjusted_spearman_rho,null_adjusted_spearman_mean,null_adjusted_spearman_q025,null_adjusted_spearman_q975,adjusted_spearman_empirical_p_upper
attention,COMMOT,361,22,1000,0.88607732320729982,0.70512772548453051,0.66124190197607069,0.75122648239468659,0.000999000999000999
attention,CellAgentChat,361,22,1000,0.22112511247107317,0.16328422631147499,0.13093183968040975,0.19725556990271009,0.000999000999000999
exact_message,COMMOT,361,22,1000,0.90134775241535303,0.7324203126155937,0.69526755990936151,0.77178533830707596,0.000999000999000999
exact_message,CellAgentChat,361,22,1000,0.23441567012991479,0.18010148068250426,0.14538483906359792,0.21489615459517306,0.000999000999000999
