display_rank,jam_compatible_orientation,source_x,source_y,target_x,target_y
1,source_jam2a_target_jam3b,0.16698448359966278,4.0590333938598633,0.15544849634170532,4.0613470077514648
2,source_jam2a_target_jam3b,0.18639136850833893,4.110013484954834,0.15544849634170532,4.0613470077514648
3,source_jam3b_target_jam2a,0.18639136850833893,4.110013484954834,0.16698448359966278,4.0590333938598633
4,source_jam2a_target_jam3b,0.22579666972160339,4.0958719253540039,0.15544849634170532,4.0613470077514648
5,both,0.33358243107795715,3.9031498432159424,0.34579578042030334,3.8473148345947266
6,source_jam2a_target_jam3b,0.10226395726203918,4.0580072402954102,0.15544849634170532,4.0613470077514648
7,source_jam2a_target_jam3b,0.084200635552406311,4.0235028266906738,0.15544849634170532,4.0613470077514648
8,source_jam2a_target_jam3b,0.10230419039726257,4.1218938827514648,0.15544849634170532,4.0613470077514648
9,both,0.34579578042030334,3.8473148345947266,0.28252542018890381,3.84012770652771
10,source_jam2a_target_jam3b,0.12439072132110596,4.1105456352233887,0.15544849634170532,4.0613470077514648
11,source_jam3b_target_jam2a,0.38525208830833435,3.7508318424224854,0.32665291428565979,3.7594742774963379
12,source_jam3b_target_jam2a,0.31227836012840271,3.7712945938110352,0.28252542018890381,3.84012770652771
13,source_jam2a_target_jam3b,0.31296142935752869,4.0605373382568359,0.31585744023323059,4.0172371864318848
14,source_jam3b_target_jam2a,0.31227836012840271,3.7712945938110352,0.34579578042030334,3.8473148345947266
15,source_jam3b_target_jam2a,0.15544849634170532,4.0613470077514648,0.16698448359966278,4.0590333938598633
