condition,sender_type,receiver_type,raw_attention_mean,n_directed_edges,zero_completed_no_edge,rank_from_top,n_complete_directed_type_pairs
trained,"Immature Eye, Midbrain","Yolk Syncytial Layer, Periderm",0,0,True,119,196
trained,Nervous System,Angioblastic Mesenchymal Cell,0.40949874451117857,84,False,29,196
trained,Nervous System,Erythroid Lineage Cell,0.47408810630440712,8,False,14,196
trained,Nervous System,Forebrain,0.66178369098866474,169,False,3,196
trained,Nervous System,Hatching Gland,0.169576421380043,2,False,117,196
trained,Nervous System,"Immature Eye, Midbrain",0.40504170244648341,21,False,32,196
trained,Nervous System,Nervous System,0.42691472836442895,925,False,24,196
trained,Nervous System,Neural Crest,0.36620852279935706,481,False,54,196
trained,Nervous System,"Neural Crest, Otic Vesicle",0.38399292482063174,64,False,43,196
trained,Nervous System,Notochord,0.43459719193928292,403,False,21,196
trained,Nervous System,Pronephros,0.28327740728855133,2,False,96,196
trained,Nervous System,"Segmental Plate, Tail Bud",0.43822435537974042,6,False,19,196
trained,Nervous System,Somite,0.42694996049006778,12,False,23,196
trained,Nervous System,Yolk Syncytial Layer,0,0,True,119,196
trained,Nervous System,"Yolk Syncytial Layer, Periderm",0,0,True,119,196
trained,Neural Crest,Angioblastic Mesenchymal Cell,0.35142878916425008,192,False,61,196
trained,Neural Crest,Erythroid Lineage Cell,0,0,True,119,196
trained,Neural Crest,Forebrain,0.33663253167813473,220,False,68,196
trained,Neural Crest,Hatching Gland,0.24952580812184702,23,False,110,196
trained,Neural Crest,"Immature Eye, Midbrain",0.28623036619113834,46,False,94,196
trained,Neural Crest,Nervous System,0.35632560162778837,498,False,56,196
trained,Neural Crest,Neural Crest,0.32853781836821411,1093,False,74,196
trained,Neural Crest,"Neural Crest, Otic Vesicle",0.33146396685730323,88,False,72,196
trained,Neural Crest,Notochord,0.30634196701587413,102,False,83,196
trained,Neural Crest,Pronephros,0.32713574171066284,2,False,76,196
trained,Neural Crest,"Segmental Plate, Tail Bud",0.31529556587338448,4,False,80,196
trained,Neural Crest,Somite,0.40379153720794186,31,False,33,196
trained,Neural Crest,Yolk Syncytial Layer,0,0,True,119,196
trained,Neural Crest,"Yolk Syncytial Layer, Periderm",0,0,True,119,196
trained,"Neural Crest, Otic Vesicle",Angioblastic Mesenchymal Cell,0.4219610144694646,9,False,25,196
trained,"Neural Crest, Otic Vesicle",Erythroid Lineage Cell,0,0,True,119,196
trained,"Neural Crest, Otic Vesicle",Forebrain,0.40699038867439541,14,False,30,196
trained,"Neural Crest, Otic Vesicle",Hatching Gland,0.14283654093742371,1,False,118,196
trained,"Neural Crest, Otic Vesicle","Immature Eye, Midbrain",0.30526589974761004,4,False,84,196
trained,"Neural Crest, Otic Vesicle",Nervous System,0.37104425597935914,80,False,50,196
trained,"Neural Crest, Otic Vesicle",Neural Crest,0.33601108168353555,119,False,70,196
trained,"Neural Crest, Otic Vesicle","Neural Crest, Otic Vesicle",0.45593728816934992,56,False,16,196
trained,"Neural Crest, Otic Vesicle",Notochord,0.2957074455916881,12,False,88,196
trained,"Neural Crest, Otic Vesicle",Pronephros,0,0,True,119,196
trained,"Neural Crest, Otic Vesicle","Segmental Plate, Tail Bud",0,0,True,119,196
trained,"Neural Crest, Otic Vesicle",Somite,0.61698013544082642,2,False,5,196
trained,"Neural Crest, Otic Vesicle",Yolk Syncytial Layer,0,0,True,119,196
trained,"Neural Crest, Otic Vesicle","Yolk Syncytial Layer, Periderm",0,0,True,119,196
trained,Notochord,Angioblastic Mesenchymal Cell,0.38772551467021305,6,False,41,196
trained,Notochord,Erythroid Lineage Cell,0.38392310456870354,73,False,44,196
