time,pair_id,ligand,receptor,pair,cell_type,incoming,outgoing,total,n_cells,n_expression_cells,expression_supported
1.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,nptxEX,1.3183378567049966e-06,1.3263814899738166e-05,1.4582152756443163e-05,343,343,True
1.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,MSN,5.803630794374606e-07,5.665784932563551e-06,6.246148012001012e-06,604,604,True
1.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,CMPN,3.1298193937494823e-06,0.0,3.1298193937494823e-06,409,409,True
1.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,sstIN,5.234925885043052e-07,2.4909455765697596e-06,3.0144381650740647e-06,297,297,True
1.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,wntEGC,0.000618866581926964,0.0005524485015179086,0.0011713150834448726,432,432,True
1.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,sfrpEGC,0.00022416735279151364,0.0002039496264593652,0.0004281169792508788,351,351,True
1.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,MSN,5.3156774883489524e-05,2.8113938885112922e-05,8.127071376860245e-05,1819,1819,True
1.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,MCG,3.772246138442466e-05,1.2054273524397666e-05,4.977673490882233e-05,193,193,True
1.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,mpEX,2.1679747186453524e-05,2.4554299217842034e-05,4.623404640429556e-05,868,868,True
1.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,CMPN,1.753307322426275e-05,1.4053894060012362e-05,3.158696728427511e-05,920,920,True
1.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,nptxEX,1.2482040507713029e-05,1.7926749165216744e-05,3.0408789672929773e-05,421,421,True
1.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,VLMC,1.3952977593934069e-05,8.534248797370023e-06,2.248722639130409e-05,1154,1154,True
1.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,dpEX,1.1594105880885663e-06,3.263653080954097e-06,4.423063669042664e-06,530,530,True
1.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,sstIN,8.632033181619427e-07,1.3075882579335462e-06,2.170791576095489e-06,204,204,True
2.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,wntEGC,0.0021278970969185536,0.002234072189940619,0.004361969286859172,257,257,True
2.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,VLMC,4.801666663969937e-05,3.831481006481488e-05,8.633147670451425e-05,1471,1471,True
2.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,sfrpEGC,1.697670866107017e-05,0.0,1.697670866107017e-05,302,302,True
2.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,MSN,5.084858300222918e-06,8.350735900640446e-07,5.919931890286963e-06,1741,1741,True
2.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,CMPN,1.283198484392592e-06,0.0,1.283198484392592e-06,629,629,True
2.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,mpEX,1.0857245960365142e-06,0.0,1.0857245960365142e-06,761,761,True
2.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,dpEX,6.563118736992878e-07,0.0,6.563118736992878e-07,278,278,True
2.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,nptxEX,8.44302176923122e-08,0.0,8.44302176923122e-08,450,450,True
2.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,MCG,0.0,0.0,0.0,216,216,True
2.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,sstIN,0.0,0.0,0.0,239,239,True
2.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,sfrpEGC,0.0005237454583751943,0.0002754441146730577,0.0007991895730482519,962,962,True
2.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,wntEGC,0.00019219951229738991,0.00023787727387774522,0.00043007678617513513,152,152,True
