dataset,time_points_used_for_training,training_time_point_labels,observed_cells_or_spots,training_time_seconds,peak_host_memory_mib,peak_gpu_allocation_mib
admouse,3,"2.5, 5.7, 17.9 months",172092,696.4544131811708,2446.66015625,708.55419921875
arista,5,"2, 5, 10, 15, 20 DPI",46199,1324.5375007176772,9262.1328125,870.3583984375
chicken_heart,4,"D4, D7, D10, D14",3550,761.1574015710503,2833.04296875,1922.01904296875
mosta,4,"E12.5, E13.5, E14.5, E15.5",344603,1997.5040369811468,17023.75,1051.01806640625
zebrafish,5,"5.25, 10, 12, 18, 24 hpf",11999,1239.2258655983023,2174.1328125,577.80859375
