state_cluster,velocity_space,n,mean,std,se,ci95_low,ci95_high,median,q25,q75
C1,gene,17244.0,0.9400004837832648,0.06830560577528805,0.0005201604647499694,0.9389809692723549,0.9410199982941748,0.9614821374416351,0.921004593372345,0.9894520789384842
C2,gene,6581.0,0.9467067340797312,0.0752013511542751,0.0009269999234851134,0.9448898142297003,0.948523653929762,0.9722896218299866,0.932634711265564,0.9927796721458435
C3,gene,7991.0,0.9515005664799948,0.08075740378616753,0.0009034035302488237,0.9497298955607071,0.9532712373992825,0.9762043952941895,0.9474575519561768,0.9920284748077393
C1,physical,17244.0,0.939392946769285,0.22238293456539782,0.0016934892719720053,0.9360737077962199,0.94271218574235,0.9978601038455963,0.9828998893499374,0.9996641725301743
C2,physical,6581.0,0.9066226832984741,0.29784651171221393,0.003671525701727157,0.8994264929230888,0.9138188736738593,0.9975666403770447,0.9780285358428955,0.9996360540390015
C3,physical,7991.0,0.9144509307188304,0.2997396965633618,0.003353078322676758,0.907878897206384,0.9210229642312768,0.9971309304237366,0.9845081865787506,0.9995051622390747
