time,state_cluster,velocity_space,n,mean,std,se,ci95_low,ci95_high,median,q25,q75
0.0,C1,gene,3331.0,0.9556864766128355,0.0334193971218956,0.0005790436384867548,0.9545515510814014,0.9568214021442695,0.9657691121101379,0.9532926976680756,0.972924530506134
0.0,C2,gene,392.0,0.9516850776818334,0.05145123205044384,0.0025986796488051056,0.9465916655701754,0.9567784897934914,0.9682799279689789,0.947888970375061,0.9768518805503845
0.0,C3,gene,1300.0,0.9667701651041324,0.02884972581035803,0.0008001474284024828,0.9652018761444635,0.9683384540638013,0.9718638062477112,0.9626888036727905,0.9789183288812637
1.0,C1,gene,3922.0,0.8970619793800844,0.07945511329110072,0.0012687266327961893,0.8945752751798038,0.8995486835803649,0.9136638045310974,0.8538389652967453,0.958837479352951
1.0,C2,gene,1497.0,0.9380577441924559,0.060615321786186484,0.0015666483111055917,0.9349871135026889,0.9411283748822229,0.9530153870582581,0.9159234166145325,0.979941189289093
1.0,C3,gene,1906.0,0.9787571395181534,0.028075065805778104,0.0006430716066582447,0.9774967191691032,0.9800175598672035,0.9883753061294556,0.9750549346208572,0.9940955340862274
2.0,C1,gene,5122.0,0.913743239296153,0.07007981260567489,0.0009792039231365463,0.9118239996068054,0.9156624789855006,0.936859667301178,0.8969884514808655,0.9559054523706436
2.0,C2,gene,1912.0,0.8946139695781389,0.09819592116971322,0.002245688446217124,0.8902124202235533,0.8990155189327245,0.9297237694263458,0.8738704919815063,0.9529527425765991
2.0,C3,gene,2398.0,0.8930514687221742,0.11432182705425815,0.0023345574578914757,0.888475736104707,0.8976272013396415,0.9303902685642242,0.8821249008178711,0.9561153203248978
3.0,C1,gene,4869.0,0.9914780722854134,0.021935678587215714,0.0003143628277779136,0.9908619211429687,0.9920942234278581,0.9943854212760925,0.9919295310974121,0.9959267377853394
3.0,C2,gene,2780.0,0.9864899689345051,0.030250084902657945,0.0005737255618901706,0.9853654668332004,0.9876144710358099,0.9936133623123169,0.9889750778675079,0.9960538148880005
3.0,C3,gene,2387.0,0.9801387860028875,0.05150505574687487,0.0010542015539817557,0.9780725509570832,0.9822050210486918,0.9927261471748352,0.9849360585212708,0.9953456521034241
0.0,C1,physical,3331.0,0.9178482738983837,0.24324165010284485,0.004214544313691207,0.9095877670435489,0.9261087807532186,0.9910290837287903,0.9578502476215363,0.9982097148895264
0.0,C2,physical,392.0,0.9646393057738184,0.13324993516329825,0.006730138053331142,0.9514482351892893,0.9778303763583475,0.996113657951355,0.98309625685215,0.9989321082830429
0.0,C3,physical,1300.0,0.9831529706232967,0.09049961790202428,0.002510007790428056,0.9782333553540576,0.9880725858925357,0.9967967867851257,0.9908697456121445,0.9993399530649185
1.0,C1,physical,3922.0,0.9972509394330008,0.016208646376736156,0.0002588170916627955,0.9967436579333417,0.9977582209326599,0.999508798122406,0.9983320236206055,0.9998814463615417
1.0,C2,physical,1497.0,0.9921731139192919,0.054459817685695674,0.0014075547054153699,0.9894143066966777,0.994931921141906,0.9995276927947998,0.9979379177093506,0.9999197721481323
1.0,C3,physical,1906.0,0.9921984654721283,0.06957273563743076,0.001593593802966758,0.9890750216183135,0.9953219093259431,0.9994855225086212,0.9976154714822769,0.9998806118965149
2.0,C1,physical,5122.0,0.9954108095341295,0.01824452607993494,0.00025492521810471645,0.9949111561066443,0.9959104629616148,0.9993342757225037,0.997199296951294,0.9998643845319748
2.0,C2,physical,1912.0,0.9853430750095928,0.07630935006630514,0.001745154215581558,0.981922572747053,0.9887635772721327,0.9990130662918091,0.9963600635528564,0.9997706264257431
2.0,C3,physical,2398.0,0.9688341018457969,0.14417660674335228,0.002944219675271911,0.9630634312822639,0.9746047724093299,0.9981339573860168,0.9934684485197067,0.9994869828224182
3.0,C1,physical,4869.0,0.8485986902534389,0.34579672591204264,0.0049556541486438606,0.838885608122097,0.8583117723847808,0.9787532091140747,0.9013551473617554,0.996054470539093
3.0,C2,physical,2780.0,0.7982324316433091,0.42604833265649467,0.008080467206366099,0.7823947159188316,0.8140701473677867,0.981801837682724,0.8519003838300705,0.9972205460071564
3.0,C3,physical,2387.0,0.7603200980929161,0.48735516475596313,0.009975148353430226,0.7407688073201929,0.7798713888656393,0.9781211614608765,0.8760986328125,0.9956763982772827
