distance,true_coefficient,learned_coefficient,shape_aligned_learned,is_interior_assessment_point
0.0001,0.0005235986798999194,0.07342307269573212,0.1334884660337471,False
0.006,0.03139525976465669,0.06668101996183395,0.12123092566770613,True
0.007811320754716981,0.04085438320212675,0.06353390216827393,0.11550923749441536,True
0.009622641509433962,0.05029880811986545,0.05993666499853134,0.1089691996817997,True
0.011433962264150943,0.05972513661891742,0.055970899760723114,0.1017591511397186,True
0.013245283018867925,0.06912997731102571,0.051526352763175964,0.09367864266827251,True
0.015056603773584904,0.07850994653877953,0.046824730932712555,0.08513075352421304,True
0.016867924528301888,0.08786166959298086,0.042143866419792175,0.0766206026874194,True
0.018679245283018866,0.09718178192679133,0.037180691957473755,0.0675971919078367,True
0.020490566037735847,0.10646693036622328,0.03201601654291153,0.058207437797311815,True
0.022301886792452826,0.11571377431653873,0.02719995379447937,0.04945148677256193,True
0.024113207547169807,0.12491898696412311,0.022471927106380463,0.04085559168415565,True
0.02592452830188679,0.13407925647340016,0.017731860280036926,0.032237806752051734,True
0.02773584905660377,0.14319128717835866,0.013214332051575184,0.024024613114943687,True
0.029547169811320752,0.15225180076826164,0.00866132415831089,0.015746914876543464,True
0.03135849056603773,0.16125753746711088,0.0044932859018445015,0.008169119330838755,True
0.033169811320754715,0.17020525720644414,0.0006837714463472366,0.0012431460321582922,True
0.034981132075471696,0.17909174079104084,-0.0025436868891119957,-0.004624607067383761,True
0.03679245283018868,0.18791379105711908,-0.005205176770687103,-0.009463388510487976,True
0.03860377358490565,0.19666823402260525,-0.008145591244101524,-0.01480927507105322,True
0.040415094339622634,0.20535192002906427,-0.010860616341233253,-0.01974538741493646,True
0.042226415094339616,0.21396172487487805,-0.013174386695027351,-0.023951989562496646,True
0.0440377358490566,0.22249455093926535,-0.014979157596826553,-0.027233193826745883,True
0.04584905660377358,0.2309473282967386,-0.016346409916877747,-0.029718957608943525,True
0.04766037735849056,0.23931701582159645,-0.017602678388357162,-0.03200294471309662,True
0.04947169811320754,0.24760060228205433,-0.018414612859487534,-0.033479100410369896,True
0.051283018867924524,0.2557951074236209,-0.018915094435214996,-0.03438901217746344,True
0.053094339622641505,0.2638975830413283,-0.018981168046593666,-0.03450913879031713,True
0.05490566037735848,0.2719051140404325,-0.01832244172692299,-0.0333115266131029,True
0.05671698113207546,0.27981481948520137,-0.017047986388206482,-0.03099447446658228,True
0.05852830188679244,0.28762385363541215,-0.015270816162228584,-0.02776345023078471,True
0.060339622641509424,0.2953294069701874,-0.012858971022069454,-0.023378541015598674,True
0.062150943396226406,0.30292870719879966,-0.009494048543274403,-0.01726086814349978,True
0.06396226415094339,0.31041902025808105,-0.005767324939370155,-0.010485414611631284,True
0.06577358490566038,0.31779765129608023,-0.0017360663041472435,-0.003156294327722447,True
0.06758490566037735,0.32506194564161134,0.002474079839885235,0.004498056408506802,True
0.06939622641509434,0.33220928975934705,0.0067436592653393745,0.012260461156602414,True
0.07120754716981131,0.339237112190112,0.011171078309416771,0.02030982976763365,True
0.0730188679245283,0.3461428844760378,0.015372456051409245,0.0279482389136391,True
0.07483018867924528,0.35292412207024715,0.020090751349925995,0.03652644163069663,True
0.07664150943396227,0.3595783852307402,0.025540227070450783,0.046433983332683816,True
0.07845283018867924,0.3661032798981602,0.03155336156487465,0.05736629752554803,True
0.08026415094339623,0.37249645855712477,0.03757220506668091,0.06830899110747989,True
0.0820754716981132,0.37875562108081007,0.0438680462539196,0.07975528655141095,True
0.08388679245283018,0.38487851555848723,0.05089491233229637,0.09253063821388109,True
0.08569811320754717,0.39086293910571074,0.05895958095788956,0.10719279010123323,True
0.08750943396226414,0.39670673865686806,0.06756900995969772,0.12284535582318823,True
0.08932075471698113,0.40240781173980616,0.07612758129835129,0.1384054586286333,True
0.0911320754716981,0.4079641072322555,0.08450491726398468,0.15363606239450842,True
0.09294339622641509,0.41337362609977896,0.0929439514875412,0.1689788380636386,True
0.09475471698113207,0.4186344221149809,0.10154686868190765,0.18461956484785116,True
0.09656603773584906,0.42374460255771823,0.11015759408473969,0.20027448752079835,True
0.09837735849056603,0.42870232889605897,0.11864028126001358,0.21569662741902781,True
0.10018867924528302,0.4335058174477471,0.12686778604984283,0.23065482725126465,True
0.102,0.4381533400219318,0.13521604239940643,0.24583256216815966,True
0.10381132075471697,0.44264322454093374,0.14399152994155884,0.26178703434824147,True
0.10562264150943396,0.44697385564182207,0.15250617265701294,0.277267271733859,True
0.10743396226415093,0.4511436752575865,0.16107569634914398,0.2928472867114795,True
0.10924528301886792,0.45515118317769654,0.17006877064704895,0.30919734737878024,True
0.1110566037735849,0.4589949375878444,0.1790558397769928,0.32553649021562286,True
0.11286792452830188,0.4626735555886784,0.18727800250053406,0.34048497778428843,True
0.11467924528301886,0.4661857136933405,0.19519248604774475,0.3548740823174728,True
0.11649056603773585,0.46953014830362744,0.2031301110982895,0.3693052597804374,True
0.11830188679245282,0.47270565616460664,0.21094845235347748,0.3835195706607293,True
0.12011320754716981,0.47571109479752083,0.21856987476348877,0.39737586881272374,True
0.12192452830188678,0.47854538291082693,0.22591570019721985,0.4107311116934463,True
0.12373584905660376,0.4812075007892218,0.2323720008134842,0.422469134005443,True
0.12554716981132075,0.4836964906605132,0.23827797174453735,0.4332066170755572,True
0.1273584905660377,0.4860114570402054,0.2434019297361374,0.44252234396095363,True
0.1291698113207547,0.4881515670536754,0.2481507509946823,0.45115604508510254,True
0.13098113207547168,0.49011605073582304,0.25279533863067627,0.45960024193120075,True
0.13279245283018867,0.4919042013080873,0.2570631802082062,0.46735948714585424,True
0.13460377358490566,0.4935153754327304,0.2609090507030487,0.47435155835824333,True
0.13641509433962262,0.49494899344429655,0.2643222212791443,0.4805569497670532,True
0.1382264150943396,0.4962045395581629,0.26767608523368835,0.4866545174408178,True
0.1400377358490566,0.49728156205610774,0.27128714323043823,0.4932196825183215,True
0.14184905660377356,0.498179673448829,0.27448901534080505,0.4990409180067942,True
0.14366037735849055,0.4988985506153542,0.27771079540252686,0.5048983475932619,True
0.14547169811320754,0.4994379349192926,0.2807629704475403,0.5104474229706127,True
0.14728301886792453,0.499797632301887,0.283377468585968,0.5152007700198856,True
0.1490943396226415,0.4999775133518316,0.2854335606098175,0.5189388942935085,True
0.15090566037735847,0.4999775133518316,0.2869828939437866,0.5217556945516991,True
0.15271698113207546,0.499797632301887,0.28826165199279785,0.5240805693372886,True
0.15452830188679245,0.4994379349192926,0.289166122674942,0.5257249625709014,True
0.1563396226415094,0.4988985506153542,0.2897863984107971,0.5268526688007997,True
0.1581509433962264,0.498179673448829,0.29030290246009827,0.5277917105857595,True
0.1599622641509434,0.4972815620561078,0.2907698154449463,0.52864059222242,True
0.16177358490566035,0.4962045395581629,0.29116541147232056,0.5293598144631191,True
0.16358490566037734,0.49494899344429655,0.29139745235443115,0.5297816815993315,True
0.16539622641509433,0.4935153754327304,0.2907751798629761,0.5286503451230774,True
0.16720754716981132,0.4919042013080873,0.28949910402297974,0.5263303467878165,True
0.16901886792452828,0.49011605073582304,0.287860631942749,0.5233514858303694,True
0.17083018867924527,0.48815156705367546,0.28624409437179565,0.5204125034000545,True
0.17264150943396225,0.48601145704020543,0.2840628921985626,0.5164469198099894,True
0.17445283018867924,0.4836964906605132,0.2816403806209564,0.5120426182386872,True
0.1762641509433962,0.48120750078922186,0.278820276260376,0.5069154641803303,True
0.1780754716981132,0.478545382910827,0.2756693959236145,0.501186935430884,True
0.17988679245283018,0.4757110947975208,0.27227503061294556,0.49501573335715626,True
0.18169811320754714,0.4727056561646067,0.2685307264328003,0.48820831706387996,True
0.18350943396226413,0.4695301483036275,0.2650446593761444,0.4818703945716928,True
0.18532075471698112,0.4661857136933405,0.2613649070262909,0.47518033818299343,True
0.1871320754716981,0.46267355558867845,0.2574114203453064,0.4679926129468614,True
0.18894339622641507,0.4589949375878445,0.2531803548336029,0.46030022928449227,True
0.19075471698113206,0.45515118317769654,0.24878022074699402,0.45230046670307195,True
0.19256603773584904,0.45114367525758653,0.24408821761608124,0.4437700650517189,True
