velocity_space,n,mean,std,se,ci95_low,ci95_high,median,q25,q75
gene,31816.0,0.9442760367764322,0.07321482028850271,0.0004104650761776921,0.943471525227124,0.9450805483257405,0.9675016105175018,0.9303024709224701,0.9914597272872925
physical,31816.0,0.9263500515542803,0.26061892117955043,0.001461110809447837,0.9234862743677625,0.929213828740798,0.9976004660129547,0.9825606048107147,0.999623492360115
