time,cell_index,celltype,current_x,current_y,paper_x,paper_y,direct_spatial_vx,direct_spatial_vy,direct_embedded_vx,direct_embedded_vy,display_direct_embedded_vx_paper_basis,display_direct_embedded_vy_paper_basis,full_embedded_vx,full_embedded_vy,interaction_embedded_vx,interaction_embedded_vy,cosine_full_vs_interaction,in_roi,in_nested_red_display_annotation,low_quintile_threshold,high_quintile_threshold,is_low_extreme,is_high_extreme,hotspot,alignment_class,full_embedded_norm,interaction_embedded_norm,interaction_to_full_norm_ratio,two_niche_region
1.0,7888,dpEX,0.39389086,-0.5930536,0.3435885906219482,-0.7023364901542664,0.004837962,-0.0418761,0.003718362,-0.0031297717,0.0034068334993093,-0.0034760753733464,0.0057176985,-0.00020121165,-0.0003621462,0.007234148,-0.08509238,True,False,-0.913782716,0.7811685080000003,False,False,,intermediate,0.005721238,0.007243207,1.266021,
1.0,7889,dpEX,0.3747512,-0.6073246,0.3329790830612182,-0.7195572257041931,0.014334072,-0.020399543,0.0033356466,-0.003124275,0.0030258520772609,-0.003433936163381,0.002863606,-0.0028417928,0.00426861,0.006750454,-0.21599607,True,False,-0.913782716,0.7811685080000003,False,False,,intermediate,0.0040343557,0.007986843,1.9797071,
1.0,7891,reaEGC,0.51876426,-0.67872375,0.527922511100769,-0.7508301138877869,0.050045274,0.026288198,0.004221383,-0.002643338,0.0039548625318409,-0.0030393601200504,0.0071468153,0.000116646486,-0.0016490481,0.002486741,-0.5389874,True,True,-0.913782716,0.7811685080000003,False,False,,intermediate,0.007147767,0.0029838297,0.4174492,
1.0,7892,reaEGC,0.4493479,-0.6034877,0.4056664109230041,-0.7063246369361877,0.03440927,-0.008273178,0.003321377,-0.0034541464,0.0029800295820477,-0.0037614000220612,0.0031110696,0.0044041793,0.005391919,0.006059757,0.9937184,True,True,-0.913782716,0.7811685080000003,False,True,,high_dispersed,0.0053921747,0.008111316,1.5042754,
1.0,7894,reaEGC,0.5678104,-0.68412745,0.5483620762825012,-0.7605705857276917,0.058295216,-0.030964509,0.0037928123,-0.0015282419,0.003634457788379,-0.0018867297883211,0.0036021185,0.001858656,-0.004238867,0.0009324572,-0.7694054,True,True,-0.913782716,0.7811685080000003,False,False,,intermediate,0.004053376,0.0043402156,1.0707656,
1.0,7895,MCG,0.43004125,-0.5908166,0.3950949311256408,-0.7072873711585999,0.04990661,-0.058738217,0.0031673152,-0.0036128683,0.0028112499022306,-0.0039048636600947,0.006760019,0.0019559823,-0.0060343086,0.0033654475,-0.70355844,True,True,-0.913782716,0.7811685080000003,False,False,,intermediate,0.0070373095,0.00690935,0.981817,
1.0,7896,WSN,0.62708956,-0.6380861,0.5630055069923401,-0.7713053822517395,0.015290808,-0.02347088,0.0028452834,-0.0028414612,0.0025641263259703,-0.0031050432626696,-0.0068093985,-0.00017057327,0.0032277517,0.0004260151,-0.9943679,True,True,-0.913782716,0.7811685080000003,True,False,L1,low_hotspot,0.006811535,0.003255744,0.47797507,
1.0,7897,reaEGC,0.5685458,-0.6838757,0.5644307732582092,-0.744399905204773,0.032919478,-0.01977347,0.0037253187,-0.0015135955,0.0035685800454831,-0.0018656644096544,0.0027880066,0.0018675105,-0.0012264062,6.151298e-05,-0.8019108,True,True,-0.913782716,0.7811685080000003,False,False,,intermediate,0.0033556782,0.0012279479,0.36593136,
1.0,7898,reaEGC,0.5749185,-0.68245256,0.5328967571258545,-0.7567709684371948,0.06275466,0.022925464,0.003959872,-0.0013846306,0.0038147465841937,-0.0017595739740785,0.002742564,0.0022078173,-0.003552707,0.00077729847,-0.6269297,True,True,-0.913782716,0.7811685080000003,False,False,,intermediate,0.0035208117,0.0036367457,1.0329282,
1.0,7899,MCG,0.32671344,-0.64576936,0.2923106849193573,-0.7081358432769775,0.029516745,-0.016570872,0.002972835,-0.0036752948,0.0026114035198381,-0.0039484642198757,-0.0012061225,-0.0031360756,0.0063188975,0.00095494423,-0.4944024,True,False,-0.913782716,0.7811685080000003,False,False,,intermediate,0.003360015,0.006390648,1.90197,
1.0,7901,reaEGC,0.46335766,-0.6078438,0.4685313403606415,-0.6961389183998108,0.17267662,0.07191137,0.0035052886,-0.0039430647,0.0031165279426734,-0.0042663924918414,-0.0020290185,0.0008487679,-0.002416007,0.0037601197,0.8233584,True,True,-0.913782716,0.7811685080000003,False,True,,high_dispersed,0.0021993916,0.004469406,2.03211,
1.0,7902,reaEGC,0.48008168,-0.57594955,0.4333021938800812,-0.7125046849250793,0.058843274,-0.055873126,0.003597301,-0.0034268966,0.0032576931686862,-0.0037606666373354,0.0044817002,0.0013457449,-0.003048438,-0.0006139433,-0.9956812,True,True,-0.913782716,0.7811685080000003,True,False,L1,low_hotspot,0.0046793874,0.0031096465,0.66454136,
1.0,7903,MCG,0.4212063,-0.61960804,0.3820091187953949,-0.7140567898750305,0.046064444,-0.06177353,0.0030776379,-0.0031737476,0.0027639184307788,-0.003458538264087,0.007085653,0.00033421823,-0.0014899711,0.004231151,-0.28734085,True,True,-0.913782716,0.7811685080000003,False,False,,intermediate,0.007093531,0.0044858283,0.632383,
1.0,7904,MCG,0.74366856,-0.6354278,0.6879462003707886,-0.7864913940429688,0.03744761,-0.032851364,0.00066091365,-0.0009931563,0.0005636951739667,-0.001053331224007,-0.00052838254,-0.0010476379,0.0010835503,0.00298874,-0.99288976,True,False,-0.913782716,0.7811685080000003,True,False,,low_dispersed,0.0011733428,0.0031790957,2.7094347,
1.0,7905,mpEX,0.33557007,-0.5994484,0.3180782496929168,-0.7040742635726929,0.009247354,-0.013704768,0.0034032653,-0.0032419388,0.003081986540119,-0.0035577058244415,-0.003965737,-0.0049416074,0.006755406,0.005472182,-0.9772561,True,False,-0.913782716,0.7811685080000003,True,False,L3,low_hotspot,0.0063361307,0.008693692,1.3720822,
1.0,7907,WSN,0.65590596,-0.6745795,0.5835756659507751,-0.786121666431427,-0.0027398579,-0.02630162,0.0023099363,-0.00032351693,0.0022716593809083,-0.000543762531786,-0.009285242,-0.0020228906,0.00019568532,0.0016871539,-0.32402265,True,True,-0.913782716,0.7811685080000003,False,False,,intermediate,0.009503042,0.0016984643,0.17872848,
1.0,7908,dpEX,0.3764749,-0.60586375,0.3429600596427917,-0.7059615850448608,-0.0037941122,-0.05386973,0.0033503196,-0.00315663,0.0030373795152196,-0.0034675946732458,0.0044560945,-0.0014809361,0.004984741,0.004226515,0.5198474,True,False,-0.913782716,0.7811685080000003,False,False,,intermediate,0.0046957373,0.006535371,1.3917667,
1.0,7909,MCG,0.29414308,-0.61281466,0.2786512970924377,-0.7050262093544006,0.0054454603,-0.01383651,0.0026859406,-0.0038176377,0.0023117793902426,-0.0040628767204837,-0.0014501442,-0.0037777408,0.0023194682,0.0024521989,-0.9245023,True,False,-0.913782716,0.7811685080000003,True,False,L3,low_hotspot,0.00404651,0.0033753833,0.8341468,
1.0,7910,WSN,0.6545006,-0.62847364,0.6158474087715149,-0.7738926410675049,-0.0105610555,-0.04141536,0.0029543324,-0.002593228,0.0026966093107277,-0.0028680387786002,-0.005676079,-0.0019713645,0.002552659,0.0011128215,-0.9970502,True,True,-0.913782716,0.7811685080000003,True,False,L1,low_hotspot,0.006008673,0.0027846794,0.46344334,
1.0,7911,reaEGC,0.47907764,-0.65259326,0.4623384773731231,-0.7099011540412903,0.06658787,-0.008092542,0.003023815,-0.0041478006,0.0026169620014219,-0.0044243626517925,0.000762681,-0.0018482856,-0.0008234565,0.0014809619,-0.9932676,True,True,-0.913782716,0.7811685080000003,True,False,L1,low_hotspot,0.0019994604,0.0016944996,0.84747845,
1.0,7912,reaEGC,0.4741264,-0.6034747,0.4278036653995514,-0.7059234976768494,0.03609881,-0.04351502,0.0035608988,-0.0036129989,0.0032035793453226,-0.003942694814253,0.0056058983,0.0023124183,-0.0024046984,0.001062028,-0.691582,True,True,-0.913782716,0.7811685080000003,False,False,,intermediate,0.006064106,0.0026287788,0.43349817,
1.0,7914,reaEGC,0.5524411,-0.65375257,0.5444194078445435,-0.7437519431114197,0.045107443,0.03382971,0.0029909322,-0.0029844432,0.0026956195687046,-0.0032615257080037,0.0051953043,0.0018619963,-0.0027876736,0.0005464253,-0.85888946,True,True,-0.913782716,0.7811685080000003,False,False,,intermediate,0.0055188965,0.0028407224,0.5147265,
1.0,7915,MCG,0.39276022,-0.61250144,0.3636589050292969,-0.7349507212638855,0.027616447,-0.043574505,0.003179464,-0.0033583122,0.0028477440907458,-0.0036522744150723,0.0019999142,-0.0032809386,0.0014132235,0.007924869,-0.749236,True,True,-0.913782716,0.7811685080000003,False,False,,intermediate,0.003842423,0.00804989,2.0950036,
1.0,7916,reaEGC,0.5521451,-0.6861995,0.5400701761245728,-0.7521273493766785,0.054343894,0.030956201,0.0036832741,-0.0018307689,0.0034962864394726,-0.0021778097849304,0.005120712,0.0019479035,-0.0032418058,0.0012321672,-0.74735993,True,True,-0.913782716,0.7811685080000003,False,False,,intermediate,0.0054786876,0.0034680746,0.63301194,
1.0,7918,dpEX,0.42461336,-0.6180666,0.37807297706604,-0.7224347591400146,-0.008011754,-0.033730987,0.0031722519,-0.0031358397,0.0028618650766463,-0.003429812974496,0.0036850802,0.00014659444,-0.004835675,0.0071328105,-0.52780366,True,True,-0.913782716,0.7811685080000003,False,False,,intermediate,0.0036879948,0.008617467,2.3366268,
1.0,7919,WSN,0.67058676,-0.6592789,0.598835289478302,-0.7668978571891785,-0.01668569,-0.034617722,0.0029233638,-0.00058034825,0.0028585499758772,-0.0008585431219774,-0.006342082,-0.0016008754,-9.107008e-05,0.00088105554,-0.1437573,True,True,-0.913782716,0.7811685080000003,False,False,,intermediate,0.0065410095,0.00088574976,0.13541484,
1.0,7920,MCG,0.40045202,-0.61907494,0.3806513249874115,-0.7322993874549866,0.055043116,-0.047331538,0.003130697,-0.003024653,0.0028310917101559,-0.0033149966135103,0.0019734926,-0.004458496,-0.0025688796,0.007313542,-0.99688697,True,True,-0.913782716,0.7811685080000003,True,False,,low_dispersed,0.004875742,0.007751583,1.5898263,
1.0,7921,reaEGC,0.5111228,-0.5959285,0.4361912310123443,-0.7264434099197388,0.038911413,-0.04546495,0.0037071502,-0.0026778588,0.0034389453825774,-0.003024514283787,-0.0018104669,0.0048271976,-0.008635959,0.008135891,0.89765114,True,True,-0.913782716,0.7811685080000003,False,True,,high_dispersed,0.0051555433,0.011864758,2.3013594,
1.0,7922,VLMC,0.3251737,-0.6060039,0.2553971707820892,-0.7187051177024841,0.00054949964,-0.017678792,0.0033502865,-0.0033813003,0.0030158256491441,-0.0036915528567223,-0.002362343,-0.003908717,0.0043523293,0.005416438,-0.9911335,True,False,-0.913782716,0.7811685080000003,True,False,L3,low_hotspot,0.004567136,0.006948422,1.5213959,
1.0,7924,WSN,0.67426103,-0.62983596,0.613118588924408,-0.7763002514839172,0.014113247,-0.0344275,0.0032052887,-0.0019783403,0.0030056732509191,-0.0022791299449837,-0.00472945,-0.0032105194,-0.00017937267,0.00028801404,-0.039360322,True,True,-0.913782716,0.7811685080000003,False,False,,intermediate,0.0057162168,0.00033930317,0.059357993,
1.0,7925,reaEGC,0.52375996,-0.67801523,0.5434533357620239,-0.7314572930335999,0.048242923,0.03305422,0.00391845,-0.0025259368,0.003664130824443,-0.0028933117473463,0.0067082704,-0.00012207027,-0.004213249,0.0025358186,-0.86602634,True,True,-0.913782716,0.7811685080000003,False,False,,intermediate,0.006709381,0.004917504,0.7329296,
1.0,7928,MCG,0.70310616,-0.63853574,0.6421340703964233,-0.7941229343414307,-0.013250073,-0.02092287,0.002363298,-0.0010812565,0.0022522697397915,-0.0013042230201868,-0.005672637,-0.0015058018,-0.0050810883,-0.00024879802,0.9779182,True,False,-0.913782716,0.7811685080000003,False,True,,high_dispersed,0.005869093,0.005087176,0.8667738,
1.0,7929,reaEGC,0.5591353,-0.69048357,0.5453987717628479,-0.7801284193992615,0.057640795,-0.0050613657,0.0037411689,-0.0013855282,0.0035966476366981,-0.0017395195052372,0.0039424747,0.0019332556,-0.006146279,0.0003097447,-0.8745625,True,True,-0.913782716,0.7811685080000003,False,False,,intermediate,0.004390966,0.006154079,1.4015318,
1.0,7930,MCG,0.7223699,-0.64753556,0.6420517563819885,-0.8128742575645447,0.011208051,-0.0119815385,0.0013694722,-0.00059157005,0.0013084858494974,-0.0007208839453826,-0.0032184275,-0.0019956362,-0.0012780607,0.00087169145,0.40518513,True,False,-0.913782716,0.7811685080000003,False,False,,intermediate,0.00378693,0.0015470247,0.40851682,
1.0,7931,WSN,0.61752224,-0.7034425,0.5270375609397888,-0.8144548535346985,0.036403067,-0.0034958823,0.002068377,-0.00035729294,0.0020276268772426,-0.000554293291858,-0.005107887,-0.0006773857,9.997818e-05,-0.0013956272,0.060295142,True,True,-0.913782716,0.7811685080000003,False,False,,intermediate,0.0051526073,0.0013992037,0.27155256,
