condition,maximum_coordinate_residual_percent,minimum_median_full_velocity_cosine,minimum_median_interaction_velocity_cosine,minimum_interaction_weight_overlap
baseline_repeat,1.1508370685728802,0.9964829464968008,0.9299375674320738,0.8028359627800696
translate_low,2.2358972786465555e-14,0.9973259451980364,0.9939468142970656,0.9432924071155622
translate_moderate,2.2358972786465555e-14,0.9973359382971518,0.9855480560032988,0.9407353311196812
rotate_low,1.22321004192362,0.9972115015734258,0.946780951637736,0.8461389711059397
rotate_moderate,1.5468739181828899,0.9753761538792824,0.8770742789718056,0.8450463990429219
translate_rotate_low,1.22321004192362,0.9962327794037916,0.9467709285069164,0.8472357765892892
translate_rotate_moderate,1.5468739181828899,0.9752151016583112,0.8952291320439181,0.8384833625819924
