variant,reference,timepoint,velocity_key,celltype,n_cells,mean_cosine_rigid_adjusted,median_cosine_rigid_adjusted
baseline_repeat,accepted_baseline,D10,interaction,Mural cells,3,0.8578121142383354,0.9477467400263644
baseline_repeat,accepted_baseline,D10,interaction,TMSB4X high cells,13,0.9807204500617523,0.9873393834694533
baseline_repeat,accepted_baseline,D10,interaction,Valve cells,46,0.8228565422118451,0.9772549978492757
baseline_repeat,accepted_baseline,D10,interaction,Vascular endothelial cells,50,0.9430263876425028,0.9945042183771367
baseline_repeat,accepted_baseline,D14,full,Cardiomyocytes-1,977,0.9966976525904487,0.9996240176136717
baseline_repeat,accepted_baseline,D14,full,Cardiomyocytes-2,1,0.9850794862734709,0.9850794862734709
baseline_repeat,accepted_baseline,D14,full,Endocardial cells,28,0.9990914485548298,0.9993748356816583
baseline_repeat,accepted_baseline,D14,full,Epi-epithelial cells,6,0.9997235012342013,0.999892054963573
baseline_repeat,accepted_baseline,D14,full,Erythrocytes,241,0.9992250731773635,0.9998566336436837
baseline_repeat,accepted_baseline,D14,full,Fibroblast cells,264,0.9968193833839065,0.9995089450210426
baseline_repeat,accepted_baseline,D14,full,Immature myocardial cells,203,0.9980533739755008,0.9997727426203483
baseline_repeat,accepted_baseline,D14,full,Macrophages,3,0.9835093409570606,0.9979971221950542
baseline_repeat,accepted_baseline,D14,full,Mural cells,46,0.986747976977355,0.9994948333046609
baseline_repeat,accepted_baseline,D14,full,TMSB4X high cells,101,0.9989391863601484,0.9999029605150841
baseline_repeat,accepted_baseline,D14,full,Valve cells,20,0.9970684198031551,0.9992377598744314
baseline_repeat,accepted_baseline,D14,full,Vascular endothelial cells,77,0.9984076655825239,0.9995395402151812
baseline_repeat,accepted_baseline,D14,interaction,Cardiomyocytes-1,977,0.9835508471569518,0.9982922658114598
baseline_repeat,accepted_baseline,D14,interaction,Endocardial cells,28,0.9853008107154417,0.9987952334863743
baseline_repeat,accepted_baseline,D14,interaction,Epi-epithelial cells,6,0.9981369877167455,0.9998927200074834
baseline_repeat,accepted_baseline,D14,interaction,Erythrocytes,241,0.987084379853868,0.9986615250249308
baseline_repeat,accepted_baseline,D14,interaction,Fibroblast cells,264,0.981353809800567,0.9979830289168646
baseline_repeat,accepted_baseline,D14,interaction,Immature myocardial cells,203,0.9860604587511673,0.9978297219429787
baseline_repeat,accepted_baseline,D14,interaction,Mural cells,46,0.9916430041660955,0.9988279199187954
baseline_repeat,accepted_baseline,D14,interaction,TMSB4X high cells,101,0.9582479385936002,0.9982312508789292
baseline_repeat,accepted_baseline,D14,interaction,Valve cells,20,0.9826041888435417,0.9962106142616052
baseline_repeat,accepted_baseline,D14,interaction,Vascular endothelial cells,77,0.9865592603156101,0.9985986032402169
translate_low,baseline_repeat,D4,full,Cardiomyocytes-1,1,0.9995380940527419,0.9995380940527419
translate_low,baseline_repeat,D4,full,Endocardial cells,32,0.9934435926978168,0.9978304833846263
translate_low,baseline_repeat,D4,full,Epi-epithelial cells,2,0.9946673773421766,0.9946673773421766
translate_low,baseline_repeat,D4,full,Immature myocardial cells,61,0.9919422278394661,0.9989175260010712
translate_low,baseline_repeat,D4,full,TMSB4X high cells,5,0.9997986168121227,0.9998511034244525
translate_low,baseline_repeat,D4,full,Valve cells,46,0.928551556802321,0.9915426329450936
translate_low,baseline_repeat,D4,interaction,Cardiomyocytes-1,1,0.9999421328075481,0.9999421328075481
translate_low,baseline_repeat,D4,interaction,Endocardial cells,32,0.9427453575245159,0.9981268928058411
translate_low,baseline_repeat,D4,interaction,Epi-epithelial cells,2,0.9947815597764119,0.9947815597764119
translate_low,baseline_repeat,D4,interaction,Immature myocardial cells,61,0.9696723823045502,0.9990671501505598
translate_low,baseline_repeat,D4,interaction,TMSB4X high cells,5,0.9988972660450275,0.9995689810507369
translate_low,baseline_repeat,D4,interaction,Valve cells,46,0.9157706692920698,0.989066087502756
translate_low,baseline_repeat,D7,full,Cardiomyocytes-1,79,0.9653038018160289,0.9973245358368285
translate_low,baseline_repeat,D7,full,Cardiomyocytes-2,10,0.9905103673379353,0.991919984364637
translate_low,baseline_repeat,D7,full,Endocardial cells,89,0.9572856727128976,0.995115758935109
translate_low,baseline_repeat,D7,full,Epi-epithelial cells,36,0.9911174986751665,0.997233933841841
translate_low,baseline_repeat,D7,full,Erythrocytes,34,0.9941748466501616,0.9963754078825819
translate_low,baseline_repeat,D7,full,Fibroblast cells,1,0.9340711597156893,0.9340711597156893
translate_low,baseline_repeat,D7,full,Immature myocardial cells,202,0.979949041734011,0.996453202809639
translate_low,baseline_repeat,D7,full,MT-enriched cardiomyocytes,18,0.9973155820881175,0.9989386511313705
translate_low,baseline_repeat,D7,full,Macrophages,3,0.9999139799482705,0.9999964089726948
translate_low,baseline_repeat,D7,full,Valve cells,54,0.9869818989488536,0.9981638939157431
translate_low,baseline_repeat,D7,full,Vascular endothelial cells,2,0.9658387150725489,0.9658387150725489
translate_low,baseline_repeat,D7,interaction,Cardiomyocytes-1,79,0.6057910215911139,0.873101142822646
translate_low,baseline_repeat,D7,interaction,Cardiomyocytes-2,10,0.9347726255388732,0.9756254270506678
translate_low,baseline_repeat,D7,interaction,Endocardial cells,89,0.900859874713329,0.9825939278167805
translate_low,baseline_repeat,D7,interaction,Epi-epithelial cells,36,0.7252904571856608,0.9526566064379638
translate_low,baseline_repeat,D7,interaction,Erythrocytes,34,0.7328930088338957,0.9736894367748135
translate_low,baseline_repeat,D7,interaction,Fibroblast cells,1,0.9994811921347858,0.9994811921347858
translate_low,baseline_repeat,D7,interaction,Immature myocardial cells,202,0.8807722089680069,0.9873391081427245
translate_low,baseline_repeat,D7,interaction,MT-enriched cardiomyocytes,18,0.8778592919329125,0.9842520887033088
translate_low,baseline_repeat,D7,interaction,Macrophages,1,0.9839704997631048,0.9839704997631048
translate_low,baseline_repeat,D7,interaction,Valve cells,54,0.9192845120686636,0.9867885887139995
translate_low,baseline_repeat,D7,interaction,Vascular endothelial cells,2,0.7797893436274632,0.7797893436274632
translate_low,baseline_repeat,D10,full,Cardiomyocytes-1,225,0.9679337562867333,0.9953602377175295
translate_low,baseline_repeat,D10,full,Endocardial cells,65,0.9454759642427213,0.9941299242364189
translate_low,baseline_repeat,D10,full,Epi-epithelial cells,84,0.9820602932344982,0.9972973275287611
translate_low,baseline_repeat,D10,full,Erythrocytes,133,0.9909973659254515,0.9965213954602743
translate_low,baseline_repeat,D10,full,Fibroblast cells,12,0.9788728348573382,0.9886632251016256
translate_low,baseline_repeat,D10,full,Immature myocardial cells,263,0.9587064635514827,0.9937101110513556
translate_low,baseline_repeat,D10,full,MT-enriched cardiomyocytes,11,0.9105577643937637,0.9951417038443485
translate_low,baseline_repeat,D10,full,Macrophages,3,0.878100069347964,0.9811025539648902
translate_low,baseline_repeat,D10,full,Mural cells,3,0.9786580625838988,0.999311292927258
translate_low,baseline_repeat,D10,full,TMSB4X high cells,13,0.8695039900722331,0.9972322992935524
translate_low,baseline_repeat,D10,full,Valve cells,46,0.9870410279559604,0.9924171514185194
translate_low,baseline_repeat,D10,full,Vascular endothelial cells,50,0.9883912686999133,0.9962538358232125
translate_low,baseline_repeat,D10,interaction,Cardiomyocytes-1,225,0.5762491221314485,0.8173846187964809
translate_low,baseline_repeat,D10,interaction,Endocardial cells,65,0.8255779541766093,0.9722318452084859
translate_low,baseline_repeat,D10,interaction,Epi-epithelial cells,84,0.06834934175603556,0.03361052251122605
translate_low,baseline_repeat,D10,interaction,Erythrocytes,133,0.5724490555884395,0.8759701335467315
translate_low,baseline_repeat,D10,interaction,Fibroblast cells,11,0.45634084029969074,0.9769233917434206
translate_low,baseline_repeat,D10,interaction,Immature myocardial cells,263,0.5936692401281078,0.8690478292851809
translate_low,baseline_repeat,D10,interaction,MT-enriched cardiomyocytes,11,0.6983664254413248,0.956105672624828
translate_low,baseline_repeat,D10,interaction,Mural cells,3,0.2888895012098737,0.7952251993302265
translate_low,baseline_repeat,D10,interaction,TMSB4X high cells,13,0.7465517928428549,0.8734692260078353
translate_low,baseline_repeat,D10,interaction,Valve cells,46,0.5864302888181046,0.8506686731721305
translate_low,baseline_repeat,D10,interaction,Vascular endothelial cells,50,0.36827053318504066,0.7018483237182873
translate_low,baseline_repeat,D14,full,Cardiomyocytes-1,977,0.9724601093440143,0.9969236930427015
translate_low,baseline_repeat,D14,full,Cardiomyocytes-2,1,0.9970108188628956,0.9970108188628956
translate_low,baseline_repeat,D14,full,Endocardial cells,28,0.9886632397808289,0.9948006915444527
translate_low,baseline_repeat,D14,full,Epi-epithelial cells,6,0.9989665473665665,0.9994014055818474
translate_low,baseline_repeat,D14,full,Erythrocytes,241,0.9917151183559513,0.9988524559839332
translate_low,baseline_repeat,D14,full,Fibroblast cells,264,0.9840016540175629,0.9970590948109823
translate_low,baseline_repeat,D14,full,Immature myocardial cells,203,0.9829044692467344,0.9985923688364623
translate_low,baseline_repeat,D14,full,Macrophages,3,0.8285147495486846,0.9939708378076159
translate_low,baseline_repeat,D14,full,Mural cells,46,0.8954481067042456,0.9958078748678352
translate_low,baseline_repeat,D14,full,TMSB4X high cells,101,0.9923273768740976,0.9992649715202847
translate_low,baseline_repeat,D14,full,Valve cells,20,0.9910566972120115,0.9937778035556373
translate_low,baseline_repeat,D14,full,Vascular endothelial cells,77,0.9694903661196541,0.9931343401003493
translate_low,baseline_repeat,D14,interaction,Cardiomyocytes-1,977,0.7959243962296341,0.953859659900264
translate_low,baseline_repeat,D14,interaction,Endocardial cells,28,0.8774012194025914,0.9781741679633329
translate_low,baseline_repeat,D14,interaction,Epi-epithelial cells,6,0.9872444215093141,0.987431058679546
translate_low,baseline_repeat,D14,interaction,Erythrocytes,241,0.7389759910086707,0.9420120546595515
translate_low,baseline_repeat,D14,interaction,Fibroblast cells,264,0.7647204181391851,0.9451333161788198
translate_low,baseline_repeat,D14,interaction,Immature myocardial cells,203,0.8031169809702065,0.9580110280710585
translate_low,baseline_repeat,D14,interaction,Mural cells,46,0.817933872289674,0.9641776723213177
translate_low,baseline_repeat,D14,interaction,TMSB4X high cells,101,0.7339861116285019,0.9443732866869785
translate_low,baseline_repeat,D14,interaction,Valve cells,20,0.6764281315455435,0.9029764394607721
