time,n_brain,n_final_knn10_support_lt5,fraction_final_knn10_support_lt5,n_final_knn10_support_eq1,fraction_final_knn10_support_eq1,median_final_knn10_brain_support,mean_growth_all_package_brain,mean_growth_sensitivity_excluding_support_lt5,absolute_mean_shift_in_sensitivity
0.0,11397,42,0.0036851803106080546,6,0.0005264543300868649,10.0,0.5034122603907168,0.5039453017343021,0.0005330413435852277
0.25,13108,99,0.00755263960939884,6,0.00045773573390296,10.0,0.4612760681515868,0.4620219483527558,0.0007458802011690024
0.5,15055,189,0.012553968781135835,10,0.0006642311524410495,10.0,0.41327922707892395,0.41458848999739,0.0013092629184660587
0.75,17019,199,0.01169281391386098,16,0.0009401257418179682,10.0,0.36338039560579943,0.3644777970669204,0.0010974014611209726
1.0,18429,316,0.017146888056866896,18,0.0009767214715936839,10.0,0.3140600497895014,0.3152421203077194,0.0011820705182180036
1.25,19975,324,0.016220275344180225,29,0.0014518147684605758,10.0,0.2666506625276645,0.2680678646994285,0.0014172021717639982
1.5,21568,415,0.01924146884272997,25,0.0011591246290801186,10.0,0.2208405379951694,0.2219942386907693,0.0011537006955999185
1.75,23255,449,0.019307675768651902,41,0.0017630617071597507,10.0,0.17884886122223995,0.1798998567801127,0.001050995557872747
2.0,24684,469,0.01900016204829039,33,0.001336898395721925,10.0,0.1417535144044548,0.14252284048912706,0.000769326084672256
2.25,25919,497,0.019175122497009915,52,0.0020062502411358463,10.0,0.10895929019321747,0.10949116659872801,0.0005318764055105424
2.5,26952,506,0.01877411694864945,47,0.0017438409023449095,10.0,0.08115582668752318,0.08171626966890021,0.0005604429813770295
2.75,27454,599,0.02181831427114446,47,0.0017119545421432213,10.0,0.05761191303244545,0.05796098073023683,0.00034906769779138175
3.0,27595,609,0.02206921543757927,60,0.0021743069396629824,10.0,0.03848752854513999,0.03873636205053131,0.00024883350539132293
