niche,n_cells,n_internal_edges,attention_sum,attention_per_cell,upper_quantile,cosine_threshold,minimum_size,interaction_cutoff
N1_sfrpEGC_VLMC,203,419,581.5975020229816,2.865012325236363,0.75,0.6080781975,20,0.03154105148551745
N2_reaEGC_wntEGC,77,122,247.12461584806442,3.209410595429408,0.75,0.6080781975,20,0.03154105148551745
