module,pathway,observed_lr_score,null_mean,null_sd,empirical_p_greater,n_permutations,fold_over_null_mean,adjusted_p_value
N1_sfrpEGC_VLMC,AGRN,11.253510509245876,4.051129136368757,0.9344996597259473,0.0005,1999,2.77787010249024,0.005
N1_sfrpEGC_VLMC,LAMININ,9.122966307655766,3.4991439966618048,0.8783620829492812,0.0005,1999,2.6071994511683734,0.005
N1_sfrpEGC_VLMC,NTS,2.477533331410884,1.0767251993034455,0.2918776003917084,0.0005,1999,2.3009894567468545,0.005
N1_sfrpEGC_VLMC,CNTN,8.030377855328062,3.558016849556284,0.8781716031034399,0.0005,1999,2.2569814014032907,0.005
N1_sfrpEGC_VLMC,GRN,7.253727371890529,3.302138250873916,0.7599985400267923,0.0005,1999,2.1966758569150815,0.005
N1_sfrpEGC_VLMC,SEMA5,12.245393094639185,5.839199095557021,1.2065013177429236,0.0005,1999,2.097101485023274,0.005
N1_sfrpEGC_VLMC,PSAP,63.037169149750554,31.093064841324246,5.087478898313124,0.0005,1999,2.0273707166355304,0.005
N1_sfrpEGC_VLMC,NRXN,26.623788110740925,13.568343526725524,2.565082080817641,0.0005,1999,1.9621988534046277,0.005
N1_sfrpEGC_VLMC,NRG,2.6668563083324472,0.5878039528960689,0.3227439254276932,0.001,1999,4.536982603116282,0.007272727272727273
N1_sfrpEGC_VLMC,TENASCIN,4.609291379588348,1.8130634571859185,0.482000487277946,0.001,1999,2.5422669908876188,0.007272727272727273
N1_sfrpEGC_VLMC,SEMA6,3.318930450191332,1.5293571605308802,0.3122974610050286,0.001,1999,2.1701473899263948,0.007272727272727273
N1_sfrpEGC_VLMC,GDF,0.10123648842738693,0.021259480458946222,0.014897013482859198,0.0015,1999,4.761945552850305,0.00923076923076923
N1_sfrpEGC_VLMC,NCAM,4.125156924354437,1.7376399138830418,0.43019754774082014,0.0015,1999,2.373999866943719,0.00923076923076923
N1_sfrpEGC_VLMC,FGF,6.119122103465765,2.758726749461581,0.9178471460795876,0.0035,1999,2.2180964840610002,0.02
N1_sfrpEGC_VLMC,TAC,0.048653900302133866,0.012180005318984685,0.010104922029692228,0.0045,1999,3.994571350990971,0.0225
N1_sfrpEGC_VLMC,NGL,0.47319942342485943,0.18482923863488548,0.07733877301401437,0.0045,1999,2.5601978719374854,0.0225
N1_sfrpEGC_VLMC,VISTA,0.5803674094280932,0.1475299141696255,0.10599799630946775,0.005,1999,3.933896475807639,0.023529411764705882
N1_sfrpEGC_VLMC,NPY,0.3001282230554191,0.09686955362321709,0.04862834775385648,0.006,1999,3.0982719732847643,0.026666666666666665
N1_sfrpEGC_VLMC,THBS,4.6428283120891995,2.808583145312719,0.6315950549843486,0.0065,1999,1.6530855851063824,0.02736842105263158
N1_sfrpEGC_VLMC,WNT,27.622728287585076,17.585377408114766,3.907210799966739,0.0075,1999,1.5707782464104851,0.03
N1_sfrpEGC_VLMC,UCN,0.03447418919295011,0.005601759797183457,0.008214627762060183,0.0085,1999,6.154171267801165,0.03090909090909091
N1_sfrpEGC_VLMC,ANGPTL,7.482729616801648,4.078643941166111,1.2096417413923883,0.0085,1999,1.8346121222492118,0.03090909090909091
N1_sfrpEGC_VLMC,MAG,0.00740810419768845,0.004160251014418628,0.002893366450203536,0.0105,1999,1.780686831639098,0.036521739130434785
N1_sfrpEGC_VLMC,THY1,0.0017608534528755478,0.00025724471405505505,0.00048116341872312806,0.017,1999,6.845052032823085,0.05666666666666667
N1_sfrpEGC_VLMC,COLLAGEN,2.8034187661881744,1.300567689071651,0.5671728815183544,0.0205,1999,2.155534686694595,0.06307692307692309
N1_sfrpEGC_VLMC,EPHB,8.094890248061304,5.470046801858995,1.2000625533763059,0.0205,1999,1.4798575846389936,0.06307692307692309
N1_sfrpEGC_VLMC,VIP,0.01352300554420479,0.00493827430637977,0.004534956537318811,0.028,1999,2.7384071246780244,0.08296296296296297
