niche,time,dpi,inj,uninj,log2_inj_over_uninj
N1_sfrpEGC_VLMC,0.0,2,4.034407455923653,4.111418168366109,-0.027279317850114136
N1_sfrpEGC_VLMC,1.0,5,3.2912847048095095,3.653959030964795,-0.1508096294378683
N1_sfrpEGC_VLMC,2.0,10,9.552742110961516,9.954448722075762,-0.05942650397086594
N1_sfrpEGC_VLMC,3.0,15,12.986651948804772,3.428600028843472,1.921338023361912
N1_sfrpEGC_VLMC,4.0,20,5.776664365618766,8.761165838070982,-0.6008861863506407
N2_reaEGC_wntEGC,0.0,2,5.792269676923752,20.98960094153881,-1.8574740598852357
N2_reaEGC_wntEGC,1.0,5,6.675911162869405,11.286481577785391,-0.7575591518820577
N2_reaEGC_wntEGC,2.0,10,14.076952863937963,16.639149719203004,-0.24124663387031775
N2_reaEGC_wntEGC,3.0,15,16.7551747898894,17.994740764877115,-0.10296858190862841
N2_reaEGC_wntEGC,4.0,20,44.856406900389445,17.81551392442487,1.3321799603984934
