niche,time,dpi,pathway,interaction_class,inj,uninj,log2_inj_over_uninj
N1_sfrpEGC_VLMC,0.0,2,NPW-B,Secreted Signaling,0.0013175124657214756,7.775664446143568e-05,4.082706822686975
N1_sfrpEGC_VLMC,0.0,2,NPY,Secreted Signaling,0.29131751745080414,0.18737966099194098,0.636628090889102
N1_sfrpEGC_VLMC,0.0,2,NRG,Secreted Signaling,1.6085488392409981,2.2537970723470186,-0.48659788361305617
N1_sfrpEGC_VLMC,0.0,2,NRXN,Cell-Cell Contact,15.91888248761555,25.324093917114823,-0.6697715894478995
N1_sfrpEGC_VLMC,0.0,2,NTS,Secreted Signaling,0.6529761108158156,0.6731246431467415,-0.043843463198650914
N1_sfrpEGC_VLMC,0.0,2,PARs,Secreted Signaling,0.040760865028746325,0.3517249834643974,-3.10919124112585
N1_sfrpEGC_VLMC,0.0,2,PDGF,Secreted Signaling,0.07819184412930674,0.05815938430678848,0.4270061372458741
N1_sfrpEGC_VLMC,0.0,2,PECAM1,Cell-Cell Contact,0.03302377872204623,0.010051528387557775,1.7160903215112153
N1_sfrpEGC_VLMC,0.0,2,PROS,Secreted Signaling,0.8733720468721121,0.9644485233451627,-0.14310788066664024
N1_sfrpEGC_VLMC,0.0,2,PSAP,Secreted Signaling,19.330095345897433,47.359451742435105,-1.2928036260027171
N1_sfrpEGC_VLMC,0.0,2,PTH,Secreted Signaling,0.0009626408386084035,0.0,29.84242238939388
N1_sfrpEGC_VLMC,0.0,2,PTPRM,Cell-Cell Contact,0.09293378123202127,0.3254192666793568,-1.8080246556770905
N1_sfrpEGC_VLMC,0.0,2,RELN,ECM-Receptor,0.053375539014689284,0.04333262379229778,0.30072513940172313
N1_sfrpEGC_VLMC,0.0,2,SEMA3,Secreted Signaling,3.2720522851488463,3.6425919869528123,-0.15476960361629505
N1_sfrpEGC_VLMC,0.0,2,SEMA4,Cell-Cell Contact,1.8003428688957508,4.043782233956504,-1.1674336183577123
N1_sfrpEGC_VLMC,0.0,2,SEMA5,Cell-Cell Contact,13.740577694613005,26.285821145043027,-0.9358421434822768
N1_sfrpEGC_VLMC,0.0,2,SEMA6,Cell-Cell Contact,5.647609836021859,5.780477093858318,-0.033548147261813065
N1_sfrpEGC_VLMC,0.0,2,SEMATOSTATIN,Secreted Signaling,0.769823549834568,0.2562010313018264,1.5872515225476678
N1_sfrpEGC_VLMC,0.0,2,TAC,Secreted Signaling,0.010951623321362567,0.0038878321226792968,1.4941069015901771
N1_sfrpEGC_VLMC,0.0,2,TENASCIN,ECM-Receptor,14.974659873510657,2.7451273307072523,2.44757826053418
N1_sfrpEGC_VLMC,0.0,2,TGFb,Secreted Signaling,0.06580758619377193,0.048191684079607035,0.44946968755499084
N1_sfrpEGC_VLMC,0.0,2,THBS,ECM-Receptor,13.933064466836992,3.4898673364481105,1.9972685020612178
N1_sfrpEGC_VLMC,0.0,2,THY1,Cell-Cell Contact,0.0024484615616311954,0.0006113268968686281,2.0018595969828428
N1_sfrpEGC_VLMC,0.0,2,UCN,Secreted Signaling,0.029097227891334038,0.025991966249682332,0.16281593788067772
N1_sfrpEGC_VLMC,0.0,2,UROTENSIN,Secreted Signaling,0.0,0.0004954551135097603,-28.884179122247577
N1_sfrpEGC_VLMC,0.0,2,VEGF,Secreted Signaling,0.376600261724243,0.04573901601087105,3.0415367682296908
N1_sfrpEGC_VLMC,0.0,2,VIP,Secreted Signaling,0.0004758223275371129,0.00019641604236038027,1.2765101990418277
N1_sfrpEGC_VLMC,0.0,2,VISTA,Cell-Cell Contact,0.5957062299648308,0.4701530478771029,0.3414705764735754
N1_sfrpEGC_VLMC,0.0,2,WNT,Secreted Signaling,22.515936312432977,42.94090188995881,-0.9314060199309152
N1_sfrpEGC_VLMC,0.0,2,ncWNT,Secreted Signaling,0.611776270570704,0.6003134691934318,0.027288111095937713
N1_sfrpEGC_VLMC,1.0,5,ACTIVIN,Secreted Signaling,0.05145630557688622,0.0,35.58262882810245
N1_sfrpEGC_VLMC,1.0,5,ADIPONECTIN,Secreted Signaling,0.0015532369392774821,0.0,30.532630778038175
N1_sfrpEGC_VLMC,1.0,5,AGRN,ECM-Receptor,8.457883640205234,8.329607683261031,0.02204816494511661
